,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Cash & Equivalents,3822,4358,4373,4187,4048,3879,182.5,147.1,-
1,Short-Term Investments,-,5.21,-,4.66,-,4.88,-,1.6,-
2,Trading Asset Securities,42.69,42.64,39.65,29.64,29.64,29.64,-,-,-
3,Cash & Short-Term Investments,3865,4406,4413,4222,4078,3914,182.5,148.7,-
4,Cash Growth,-12.42%,4.37%,8.21%,7.87%,2134.59%,2531.98%,-,-,-
5,Receivables,136.96,155.92,134.72,124.21,102.29,95.87,70.96,58.24,-
6,Inventory,-,0.1,0.21,0.2,0.21,0.09,-,-,-
7,Other Current Assets,40.49,10.46,19.46,5.76,8.45,3.41,8.43,1.43,-
8,Total Current Assets,4042,4573,4567,4352,4189,4013,261.89,208.36,-
9,"Property, Plant & Equipment",19.53,11.08,11.61,14.57,17.41,16.87,13.52,15.19,-
10,Long-Term Investments,606.39,42.37,94.32,92.79,0.34,0.34,-,-,-
11,Goodwill,192.53,192.53,170.68,111.52,108.86,69.72,-,-,-
12,Other Intangible Assets,72.27,27.54,29.36,16.19,19.22,9.3,-,-,-
13,Long-Term Deferred Tax Assets,9.25,8.52,9.46,8.28,8.44,6.33,4.3,3.51,-
14,Long-Term Deferred Charges,-,39.2,-,8.14,-,-,-,-,-
15,Other Long-Term Assets,-,-,-,-,0.63,-,0.06,-,-
16,Total Assets,4942,4894,4883,4603,4344,4116,279.76,227.06,-
17,Accounts Payable,10.11,14.77,3.68,2.71,3.33,6.22,12.78,6.27,-
18,Accrued Expenses,-,74.55,-,62.85,-,45.79,-,25.36,-
19,Short-Term Debt,-,-,-,-,-,-,6.46,-,-
20,Current Portion of Leases,7.18,4.55,4.32,5.14,5.3,4.21,2.74,2.59,-
21,Current Income Taxes Payable,13.47,16.97,20.78,25.03,27.13,24.22,9.03,9.99,-
22,Current Unearned Revenue,-,43.77,-,12.81,-,7.81,-,19.64,-
23,Other Current Liabilities,119.45,35.16,187.06,24.21,84.16,24.97,54.63,0.23,-
24,Total Current Liabilities,150.21,189.77,215.84,132.75,119.91,113.21,85.64,64.08,-
25,Long-Term Leases,8.86,3.64,4.22,6.13,8.5,8.96,8.37,9.48,-
26,Long-Term Deferred Tax Liabilities,7.28,7.54,3.13,4.64,4.24,2.71,9.92,2.08,-
27,Other Long-Term Liabilities,47.66,47.66,18.22,27.8,22.84,18.49,-,-,-
28,Total Liabilities,214.01,248.61,241.41,171.32,155.49,143.37,103.92,75.65,-
29,Common Stock,0.05,0.05,0.05,0.05,0.04,0.04,0.03,0.03,-
30,Additional Paid-In Capital,3904,3904,3898,3898,3898,3898,10.06,10.06,-
31,Retained Earnings,368.07,312.07,246.5,194.46,104.11,89.27,160.3,140.65,-
32,Comprehensive Income & Other,409.11,381.6,461.34,308.13,163.46,-39.01,5.45,0.67,-
33,Total Common Equity,4681,4597,4606,4401,4166,3949,175.84,151.41,-
34,Minority Interest,47.38,47.83,35.07,30.89,22.41,23.49,-,-,-
35,Shareholders' Equity,4728,4645,4641,4432,4188,3972,175.84,151.41,-
36,Total Liabilities & Equity,4942,4894,4883,4603,4344,4116,279.76,227.06,-
37,Total Debt,16.04,8.19,8.53,11.26,13.8,13.17,17.57,12.08,-
38,Net Cash (Debt),3849,4398,4404,4210,4064,3900,164.93,136.62,-
39,Net Cash Growth,-12.61%,4.46%,8.37%,7.94%,2364.21%,2754.96%,-,-,-
40,Net Cash Per Share,5.20,6.01,5.98,5.74,5.50,5.39,0.30,0.26,-
41,Filing Date Shares Outstanding,726.96,726.96,720.33,717.35,713.73,713.23,535.08,535.08,535.08
42,Total Common Shares Outstanding,726.96,726.96,720.33,717.35,713.73,713.23,535.08,535.08,535.08
43,Working Capital,3892,4383,4351,4219,4069,3900,176.26,144.28,-
44,Book Value Per Share,6.44,6.32,6.39,6.14,5.84,5.54,0.33,0.28,-
45,Tangible Book Value,4416,4377,4406,4273,4038,3870,175.84,151.41,-
46,Tangible Book Value Per Share,6.07,6.02,6.12,5.96,5.66,5.43,0.33,0.28,-
47,Machinery,-,8.08,-,7.21,-,5.87,-,3.19,-
48,Leasehold Improvements,-,7.07,-,7.07,-,7.07,-,6.64,-
