,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 12, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,3530,2544,2229,2012,2395,3458,4132,5064,4182,4017,3197,4221,4177,-,-,-,-,-,-,-,-
1,Market Cap Growth,-26.44%,-26.44%,-46.06%,-60.27%,-42.72%,-13.91%,29.26%,19.97%,0.11%,-,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,3102,2116,1717,1307,1485,2548,3197,4065,3099,2935,2011,2981,4189,-,-,-,-,-,-,-,-
3,Last Close Price,42.88,30.90,26.12,23.58,27.22,39.30,46.96,57.55,47.05,45.19,35.97,46.85,46.37,-,-,-,-,-,-,-,-
4,PE Ratio,-,-609.96,-,-,-,-,-,145.54,79.57,-,43.11,55.09,51.63,-,-,-,-,-,-,-,-
5,PS Ratio,20.93,14.89,31.71,76.56,96.60,159.00,152.84,65.79,29.06,19.62,12.16,13.70,12.32,-,-,-,-,-,-,-,-
6,PB Ratio,2.82,1.96,1.72,1.52,1.80,2.50,2.82,3.43,2.74,2.66,2.11,2.83,2.74,-,-,-,-,-,-,-,-
7,P/TBV Ratio,2.25,2.25,1.97,1.74,1.82,2.54,2.86,3.48,2.78,2.70,2.14,2.87,2.78,-,-,-,-,-,-,-,-
8,P/FCF Ratio,-,-,-,-18.24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,P/OCF Ratio,-,-,-,-70.99,-,968.52,-,-,-264.36,-,-,-,-,-,-,-,-,-,-,-,-
10,EV/Sales Ratio,18.15,12.38,24.42,49.73,59.90,117.17,118.24,52.81,21.54,14.34,7.65,9.68,12.36,-,-,-,-,-,-,-,-
11,EV/EBITDA Ratio,837.58,509.25,-26.73,-,-,-,-,-,88.29,-,28.76,37.83,44.99,-,-,-,-,-,-,-,-
12,EV/EBIT Ratio,-,-362.77,-23.13,-,-,-,-,-,98.20,-,30.27,39.54,46.70,-,-,-,-,-,-,-,-
13,EV/FCF Ratio,-,-,-,-11.85,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.01,0.01,0.01,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.18,-,-,-,-,-,-,-
15,Debt / EBITDA Ratio,3.25,0.04,0.86,-,-,-,-,-,0.12,-,0.00,0.01,1.04,0.57,-,-,-,-,-,-,-
16,Debt / FCF Ratio,-,-,-,-0.30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
17,Asset Turnover,-,0.13,0.00,0.03,0.02,0.01,0.00,0.02,0.03,0.13,0.14,0.22,-,-,-,-,0.78,0.83,0.80,-,
18,Inventory Turnover,-,-,0.84,0.19,0.60,0.60,0.45,0.07,0.64,0.78,2.60,2.22,1.94,-,-,-,-,3.91,3.06,2.20,-
19,Quick Ratio,-,-,3.30,3.04,4.76,4.33,6.60,6.39,6.24,5.69,5.93,4.77,4.96,0.93,-,0.93,-,1.03,1.03,1.14,1.14
20,Current Ratio,-,-,4.08,3.59,5.29,4.60,6.89,6.69,6.49,5.91,6.14,4.99,5.23,1.29,-,1.27,-,1.27,1.27,1.53,1.53
21,Return on Equity (ROE),9.65%,-1.09%,-4.25%,-5.24%,-7.60%,-2.68%,0.90%,2.89%,-0.16%,5.61%,5.60%,6.37%,-,-,50.02%,13.63%,39.17%,43.42%,45.85%,-,
22,Return on Assets (ROA),-,0.05%,-4.56%,-4.16%,-2.95%,-1.81%,-2.75%,0.83%,-0.98%,2.56%,1.94%,3.14%,-,-,-,-,13.19%,14.16%,13.58%,-,
23,Return on Capital (ROIC),9.39%,0.05%,-5.33%,-4.85%,-3.40%,-2.04%,-3.12%,0.95%,-1.14%,3.03%,2.34%,4.14%,-,-,35.37%,9.40%,29.41%,32.60%,32.50%,-,
24,Return on Capital Employed (ROCE),-,-,-5.67%,-,-,-,-,-,2.06%,-,4.39%,5.05%,5.63%,26.51%,-,36.45%,-,44.43%,32.67%,26.00%,13.00%
