,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,107.94,49.73,1.89,11.32,7.06,5.7,0.42,8.27,12.64,55.64,67.34,69.09,70.8,100.8,98.31,48.32,81.05,81.05,71.92,71.92
1,Other Revenue,-,-0.02,0.02,-,0.3,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
2,Revenue,107.94,49.71,1.91,11.32,7.36,5.7,0.42,8.27,12.65,55.64,67.34,69.09,70.8,100.8,98.31,48.32,81.05,81.05,71.92,71.92
3,Revenue Growth (YoY),1366.58%,772.66%,349.59%,36.85%,-41.81%,-89.76%,-99.37%,-88.03%,-82.14%,-44.81%,-31.50%,42.99%,-12.65%,24.37%,36.69%,-32.82%,-,-,-,-
4,Cost of Revenue,-45.35,31.53,4.88,8.94,7.87,5.34,0.8,7.18,8.24,35.08,42.15,42.84,43.25,61.44,62.13,33.43,50.57,50.57,44.27,44.27
5,Gross Profit,153.29,18.18,-2.97,2.38,-0.51,0.36,-0.38,1.09,4.41,20.56,25.19,26.25,27.55,39.36,36.18,14.88,30.48,30.48,27.65,27.65
6,"Selling, General & Admin",-29.47,10.54,11.18,7.75,9.73,6.14,5.67,3.52,3.62,2.94,5.89,3.62,3.14,2.83,2.17,2.4,2.93,2.93,2.53,2.53
7,Research & Development,-34.52,13,12.66,8.86,12.38,7.66,7.75,6.35,6.28,6.98,5.72,4.09,5.08,6.08,6.1,3.39,5.19,5.19,4.51,4.51
8,Other Operating Expenses,174.31,0.68,1.02,0.71,0.33,-0.44,0.02,-14.45,2.08,-12.58,-3.52,0.01,0.16,0.11,0.28,0.37,0.13,0.13,-0.12,-0.12
9,Operating Expenses,104.29,17.89,25.76,28.77,18.88,12.39,18.42,-4.7,11.29,2.37,10.73,10.52,9.49,12.22,7.42,7.84,8.43,8.43,8.06,8.06
10,Operating Income,49,0.29,-28.73,-26.39,-19.39,-12.03,-18.79,5.8,-6.88,18.19,14.45,15.73,18.06,27.14,28.77,7.05,22.05,22.05,19.59,19.59
11,Interest Expense,-10.93,-0.09,-0.2,-0.02,-0.03,-0.03,-0.03,-0.04,-0.01,-0,-0.01,-0.01,-0,-0,-0.01,-0.01,-,-,-,-
12,Interest & Investment Income,0.32,2.81,3.55,4.56,5.82,5.59,4.23,2.25,2.45,3.7,4.27,0.27,0.1,0.14,0.19,0.21,0.22,0.22,0.11,0.11
13,Other Non Operating Income (Expenses),-0,-0.01,-0.1,-0.04,0.19,-0.23,0.2,-0.01,-0.01,-0.02,-0.06,-0.08,-0.13,-0.09,-0.07,-0.06,-0.09,-0.09,-0.01,-0.01
14,EBT Excluding Unusual Items,38.39,3,-25.48,-21.89,-13.4,-6.7,-14.4,7.99,-4.46,21.87,18.66,15.91,18.04,27.19,28.87,7.19,22.18,22.18,19.69,19.69
15,Gain (Loss) on Sale of Investments,-2.38,1.15,0.86,0.37,-7.14,-0.04,12.59,3.76,4.11,3.41,3.87,0.53,-,-,-,-,-,-,0.09,0.09
16,Gain (Loss) on Sale of Assets,-,-,-,-,-0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
17,Asset Writedown,3.19,-3.19,0.01,-0.01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
18,Other Unusual Items,-0.15,-6.7,6.72,0.13,-12.23,-5.14,5.14,-,-3.06,-1.56,1.56,-,2.2,-0.28,0.28,-,-1.03,-1.03,0.04,0.04
19,Pretax Income,39.06,-5.75,-17.9,-21.39,-32.78,-11.88,3.33,11.76,-3.41,23.72,24.09,16.44,20.24,26.91,29.15,7.19,21.15,21.15,19.82,19.82
20,Income Tax Expense,7.77,-2.18,-3.78,-3.63,-5.75,-2.01,-0.05,0.78,-2.8,2.66,2.95,2.22,2.49,3.4,3.72,0.8,2.8,2.8,2.54,2.54
21,Earnings From Continuing Operations,31.28,-3.57,-14.12,-17.76,-27.03,-9.87,3.38,10.98,-0.62,21.06,21.14,14.23,17.75,23.51,25.43,6.39,18.35,18.35,17.27,17.27
22,Minority Interest in Earnings,-2.36,1.08,1.28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
23,Net Income,28.92,-2.48,-12.84,-17.76,-27.03,-9.87,3.38,10.98,-0.62,21.06,21.14,14.23,17.75,23.51,25.43,6.39,18.35,18.35,17.27,17.27
24,Net Income to Common,28.92,-2.48,-12.84,-17.76,-27.03,-9.87,3.38,10.98,-0.62,21.06,21.14,14.23,17.75,23.51,25.43,6.39,18.35,18.35,17.27,17.27
25,Net Income Growth,-,-,-,-,-,-,-84.02%,-22.82%,-,-10.44%,-16.87%,122.74%,-3.30%,28.11%,47.19%,-63.03%,-,-,-,-
26,Shares Outstanding (Basic),79,85,85,85,78,90,88,91,86,88,89,65,66,65,67,66,66,66,66,66
27,Shares Outstanding (Diluted),79,85,85,85,78,90,88,91,86,88,89,65,66,65,67,66,66,66,66,66
28,Shares Change (YoY),1.59%,-5.67%,-2.87%,-7.54%,-9.92%,1.74%,-1.26%,41.49%,31.52%,35.38%,33.82%,-2.00%,-0.41%,-1.47%,0.87%,-0.02%,-,-,-,-
29,EPS (Basic),0.37,-0.03,-0.15,-0.21,-0.35,-0.11,0.04,0.12,-0.01,0.24,0.24,0.22,0.27,0.36,0.38,0.10,0.28,0.28,0.26,0.26
30,EPS (Diluted),0.37,-0.03,-0.15,-0.21,-0.35,-0.11,0.04,0.12,-0.01,0.24,0.24,0.22,0.27,0.36,0.38,0.10,0.28,0.28,0.26,0.26
31,EPS Growth,-,-,-,-,-,-,-83.82%,-45.45%,-,-33.85%,-37.88%,127.27%,-2.90%,30.02%,45.92%,-63.02%,-,-,-,-
32,Free Cash Flow,-,-66.54,22.82,-105.37,-12.43,-15.33,-10.03,-16.64,-16.37,-48.1,-43.13,-33.95,-2.69,-57.1,13.34,-28.83,-22.22,-22.22,14.58,14.58
33,Free Cash Flow Per Share,-,-0.79,0.27,-1.25,-0.16,-0.17,-0.11,-0.18,-0.19,-0.55,-0.48,-0.53,-0.04,-0.88,0.20,-0.44,-0.34,-0.34,0.22,0.22
34,Dividend Per Share,-,-,-,-,-,-,-,-,0.550,-,-,-,0.625,-,-,-,-,-,-,-
35,Dividend Growth,-,-,-,-,-,-,-,-,-12.00%,-,-,-,-,-,-,-,-,-,-,-
36,Gross Margin,142.01%,36.57%,-155.45%,21.03%,-6.88%,6.31%,-88.62%,13.22%,34.84%,36.96%,37.41%,38.00%,38.91%,39.05%,36.80%,30.81%,37.60%,37.60%,38.45%,38.45%
37,Operating Margin,45.40%,0.58%,-1504.32%,-233.20%,-263.44%,-211.19%,-4424.44%,70.08%,-54.43%,32.70%,21.47%,22.77%,25.51%,26.93%,29.26%,14.58%,27.20%,27.20%,27.24%,27.24%
38,Profit Margin,26.79%,-5.00%,-672.40%,-156.97%,-367.30%,-173.32%,795.09%,132.77%,-4.87%,37.85%,31.39%,20.59%,25.07%,23.33%,25.86%,13.22%,22.64%,22.64%,24.02%,24.02%
39,Free Cash Flow Margin,-,-133.86%,1194.78%,-931.11%,-168.83%,-269.16%,-2361.64%,-201.24%,-129.47%,-86.45%,-64.05%,-49.14%,-3.80%,-56.65%,13.56%,-59.68%,-27.41%,-27.41%,20.27%,20.27%
40,EBITDA,51.09,2.38,-25.01,-24.3,-17.3,-11.13,-17.59,6.7,-5.98,19.06,15.32,16.6,18.93,27.96,29.63,7.87,22.9,22.9,20.38,20.38
41,EBITDA Margin,47.33%,4.78%,-,-214.74%,-235.05%,-195.34%,-,81.00%,-47.29%,34.26%,22.75%,24.03%,26.73%,27.74%,30.14%,16.28%,28.25%,28.25%,28.34%,28.34%
42,D&A For EBITDA,2.09,2.09,3.72,2.09,2.09,0.9,1.21,0.9,0.9,0.87,0.87,0.87,0.87,0.82,0.86,0.82,0.85,0.85,0.79,0.79
43,EBIT,49,0.29,-28.73,-26.39,-19.39,-12.03,-18.79,5.8,-6.88,18.19,14.45,15.73,18.06,27.14,28.77,7.05,22.05,22.05,19.59,19.59
44,EBIT Margin,45.40%,0.58%,-,-233.20%,-263.44%,-211.19%,-,70.08%,-54.43%,32.70%,21.46%,22.77%,25.51%,26.93%,29.26%,14.58%,27.20%,27.20%,27.24%,27.24%
45,Effective Tax Rate,19.91%,-,-,-,-,-,-,6.61%,-,11.23%,12.25%,13.48%,12.31%,12.63%,12.78%,11.12%,13.23%,13.23%,12.84%,12.84%
46,Revenue as Reported,-,49.71,1.91,11.32,7.36,5.7,0.42,8.27,12.65,55.64,67.34,69.09,70.8,100.8,98.31,48.32,81.05,81.05,71.92,71.92
