,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Revenue,62.8,40.74,73.29,112.32,82.89,237.16,225.48,341.72,54.69,82.95,Upgrade
1,Revenue Growth (YoY),-14.32%,-63.73%,-11.59%,-52.64%,-63.24%,-30.60%,312.27%,311.96%,-15.22%,-69.25%,Upgrade
2,Cost of Revenue,45.6,38.12,51.05,88.26,56.37,200.58,174.41,276.75,32.35,42.73,Upgrade
3,Gross Profit,17.19,2.62,22.24,24.05,26.52,36.58,51.07,64.97,22.34,40.22,Upgrade
4,"Selling, General & Admin",8.58,10.86,10.29,16.99,17.75,41.99,39.87,31.62,20.21,35.14,Upgrade
5,Other Operating Expenses,-0.12,0.63,0.39,-0.41,0.09,0.2,-0.38,0.14,-0.53,-0.29,Upgrade
6,Operating Expenses,14.84,9.96,8.13,16.41,41.57,44,40.09,49.03,19.69,256.14,Upgrade
7,Operating Income,2.36,-7.35,14.11,7.64,-15.05,-7.42,10.99,15.93,2.66,-215.92,Upgrade
8,Interest Expense,-4.36,-4.79,-5.09,-5.85,-5.97,-6.52,-6.8,-7.82,-13.43,-27.8,Upgrade
9,Interest & Investment Income,1.85,1.56,1.74,1.63,5.74,1.28,5.77,3.41,2.33,1.7,Upgrade
10,Earnings From Equity Investments,-,30.52,-,-,-265.85,-0.54,3,-3.06,-14.19,-14.02,Upgrade
11,Currency Exchange Gain (Loss),0.55,-1.27,-1.28,2.4,1.19,0.01,-0.49,-0.83,0.01,0.4,Upgrade
12,Other Non Operating Income (Expenses),-0.13,-,-,-,-,5.48,0.55,0.05,-0.05,-0.11,Upgrade
13,EBT Excluding Unusual Items,0.27,18.67,9.48,5.83,-279.94,-7.72,13.01,7.69,-22.68,-255.75,Upgrade
14,Impairment of Goodwill,-,-,-7.3,-,-,0.37,-0.37,0.14,-0.14,-,Upgrade
15,Gain (Loss) on Sale of Investments,-,-,-,-,-,-9.32,10.02,6.83,-4.76,-92.02,Upgrade
16,Gain (Loss) on Sale of Assets,-,-0.02,0,0.03,-8.49,-,0.75,-0.05,-0,0.86,Upgrade
17,Asset Writedown,-,-50.13,-1.37,1.07,-1.07,31.92,-31.92,5.47,-5.47,-,Upgrade
18,Other Unusual Items,-,6.3,-,8.07,0.23,2.09,-,13.95,-,-2.28,Upgrade
19,Pretax Income,0.27,-25.17,0.81,15,-289.27,17.35,-8.51,34.03,-33.05,-349.19,Upgrade
20,Income Tax Expense,-0.48,-4.03,0.07,3.66,28.21,38.17,0.71,2.89,-0.65,-66.32,Upgrade
21,Earnings From Continuing Operations,0.75,-21.15,0.75,11.33,-317.48,-20.82,-9.22,31.14,-32.4,-282.87,Upgrade
22,Net Income to Company,0.75,-21.15,0.75,11.33,-317.48,-20.82,-9.22,31.14,-32.4,-282.87,Upgrade
23,Minority Interest in Earnings,0.62,2.63,-0.4,0.06,-0.28,1.49,0.33,0.97,1.35,-0.08,Upgrade
24,Net Income,1.37,-18.52,0.34,11.39,-317.76,-19.33,-8.89,32.11,-31.05,-282.96,Upgrade
25,Net Income to Common,1.37,-18.52,0.34,11.39,-317.76,-19.33,-8.89,32.11,-31.05,-282.96,Upgrade
26,Net Income Growth,297.96%,-,-,-,-,-,-,-,-,-,Upgrade
27,Shares Outstanding (Basic),1485,1485,1485,1485,1485,1485,1485,1485,1485,1485,Upgrade
28,Shares Outstanding (Diluted),1485,1485,1485,1485,1485,1485,1485,1485,1485,1485,Upgrade
29,Shares Change (YoY),-,-,-,-,-,-,-,-,-,2.28%,Upgrade
30,EPS (Basic),0.00,-0.01,0.00,0.01,-0.21,-0.01,-0.01,0.02,-0.02,-0.19,Upgrade
31,EPS (Diluted),0.00,-0.01,0.00,0.01,-0.21,-0.01,-0.01,0.02,-0.02,-0.19,Upgrade
32,EPS Growth,350.00%,-,-,-,-,-,-,-,-,-,Upgrade
33,Free Cash Flow,6.12,4.02,12.82,24.98,-46.19,42.07,5.68,-152.43,341.23,103.52,Upgrade
34,Free Cash Flow Per Share,0.00,0.00,0.01,0.02,-0.03,0.03,0.00,-0.10,0.23,0.07,Upgrade
35,Operating Margin,3.75%,-18.03%,19.25%,6.80%,-18.15%,-3.13%,4.87%,4.66%,4.85%,-260.30%,Upgrade
36,Profit Margin,2.17%,-45.46%,0.47%,10.14%,-383.34%,-8.15%,-3.94%,9.40%,-56.77%,-341.11%,Upgrade
37,Free Cash Flow Margin,9.75%,9.87%,17.50%,22.24%,-55.72%,17.74%,2.52%,-44.61%,623.91%,124.79%,Upgrade
38,EBITDA,17.01,9.27,30.45,19.88,7.06,5.81,25.6,29.73,18.94,-202.96,Upgrade
39,D&A For EBITDA,14.65,16.61,16.34,12.24,22.11,13.23,14.61,13.8,16.29,12.96,Upgrade
40,EBIT,2.36,-7.35,14.11,7.64,-15.05,-7.42,10.99,15.93,2.66,-215.92,Upgrade
