,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 11, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,1822,1834,1613,1859,2284,2572,2539,-,-,-,-,-,-,-,-,-
1,Market Cap Growth,-28.66%,-28.66%,-36.46%,-,-,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,1597,1607,1333,1394,1819,2042,2690,-,-,-,-,-,-,-,-,-
3,Last Close Price,24.62,24.79,21.80,25.12,30.86,34.00,33.57,-,-,-,-,-,-,-,-,-
4,PE Ratio,47.61,54.44,67.86,71.47,75.94,-,31.28,-,-,-,-,-,-,-,-,-
5,Forward PE,-,16.95,18.02,-,-,-,-,-,-,-,-,-,-,-,-,-
6,PS Ratio,2.57,2.94,2.93,3.60,4.61,4.59,4.09,-,-,-,-,-,-,-,-,-
7,PB Ratio,1.39,1.40,1.23,1.42,1.78,1.94,1.90,-,-,-,-,-,-,-,-,-
8,P/TBV Ratio,1.58,1.58,1.40,1.62,2.02,2.03,2.00,-,-,-,-,-,-,-,-,-
9,P/FCF Ratio,-,-,-,-,-,-,-31.21,-,-,-,-,-,-,-,-,-
10,P/OCF Ratio,93.79,93.79,-40.93,-,-,-,27.76,-,-,-,-,-,-,-,-,-
11,EV/Sales Ratio,2.56,2.58,2.42,2.70,3.67,3.65,4.33,-,-,-,-,-,-,-,-,-
12,EV/EBITDA Ratio,18.17,20.79,22.92,19.85,24.61,-,20.88,-,-,-,-,-,-,-,-,-
13,EV/EBIT Ratio,62.08,62.48,-,52.31,52.90,-,28.77,-,-,-,-,-,-,-,-,-
14,EV/FCF Ratio,-9.42,-,-,-,-,-,-33.06,-,-,-,-,-,-,-,-,-
15,Debt / Equity Ratio,0.24,0.24,0.26,0.20,0.23,0.17,0.17,0.28,0.28,-,-,0.15,0.15,0.15,0.13,0.13
16,Debt / EBITDA Ratio,3.58,4.15,9.00,2.01,4.16,-,2.70,1.16,1.04,-,-,0.58,0.52,0.52,0.39,0.39
17,Debt / FCF Ratio,-,-,-,-,-,-,-2.84,-,-,-,-,-,1.99,11.76,-,-
18,Asset Turnover,0.35,0.30,0.39,0.31,0.21,-,-,-,-,-,-,0.93,1.01,0.93,-,
19,Inventory Turnover,2.94,2.70,2.66,3.52,2.92,2.68,-,-,-,-,-,-,4.21,3.61,2.37,-
20,Quick Ratio,1.69,1.69,1.61,1.61,1.60,2.38,2.68,-,0.75,-,-,-,0.78,0.78,0.73,0.73
21,Current Ratio,2.25,2.25,2.12,2.06,2.04,2.89,3.09,-,1.28,-,-,-,1.37,1.37,1.76,1.76
22,Return on Equity (ROE),0.50%,1.27%,5.45%,3.07%,-2.47%,2.69%,14.32%,-,-,-,16.98%,19.13%,20.11%,23.15%,-,
23,Return on Assets (ROA),0.89%,-0.82%,2.78%,0.66%,-1.17%,-,-,-,-,-,-,9.85%,10.72%,12.59%,-,
24,Return on Capital (ROIC),1.04%,-0.97%,3.23%,0.75%,-1.32%,2.08%,9.07%,-,-,-,10.49%,12.82%,13.58%,15.45%,-,
25,Return on Capital Employed (ROCE),1.78%,1.78%,-,1.96%,2.56%,-,6.68%,-,14.88%,-,-,-,23.46%,17.79%,13.61%,6.81%
26,Earnings Yield,1.85%,1.84%,1.47%,1.40%,1.32%,2.01%,3.20%,-,-,-,-,-,-,-,-,-
27,FCF Yield,-9.31%,-9.24%,-15.89%,-11.39%,-9.76%,-5.10%,-3.20%,-,-,-,-,-,-,-,-,-
28,Dividend Yield,0.00%,-,-,-,-,-,2.01%,-,-,-,-,-,-,-,-,-
29,Payout Ratio,171.01%,127.22%,36.17%,10.97%,518.97%,-,25.34%,8.54%,-,6.14%,3.69%,3.69%,3.06%,3.06%,43.16%,43.16%
30,Buyback Yield / Dilution,6.39%,32.85%,-32.65%,-32.12%,-42.47%,-100.17%,0.36%,-0.47%,0.29%,-0.44%,-0.34%,-0.34%,-,-,-,-
31,Total Shareholder Return,6.39%,32.85%,-32.65%,-32.12%,-42.47%,-100.17%,2.37%,-0.47%,0.29%,-0.44%,-0.34%,-0.34%,-,-,-,-
