,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,168.23,138.08,178.06,137.38,93.94,106.02,156.16,200.94,154.39,150.94,150.94,176.1,176.1,147.17,147.17
1,Other Revenue,-1.61,1.61,-,1.52,-0.26,0.26,-,2.7,-,-,-,1.19,1.19,1.12,1.12
2,Revenue,166.61,139.69,178.06,138.89,93.69,106.27,156.16,203.63,154.39,150.94,150.94,177.29,177.29,148.29,148.29
3,Revenue Growth (YoY),77.84%,31.44%,14.02%,-31.79%,-39.32%,-29.59%,3.46%,14.86%,-12.92%,1.79%,1.79%,-,-,-,-
4,Cost of Revenue,129.1,111.84,133.67,106.01,82.27,81.09,109.08,145.99,108.04,106.94,106.94,127.39,127.39,95.72,95.72
5,Gross Profit,37.51,27.85,44.38,32.88,11.42,25.18,47.08,57.64,46.34,44,44,49.89,49.89,52.56,52.56
6,"Selling, General & Admin",18.77,21.23,16.05,15.15,14.34,12.78,10.36,12.8,16.37,12.61,12.61,12.42,12.42,13.21,13.21
7,Research & Development,12.74,10.56,4.38,10.11,5.69,4.81,6.46,7.04,7.9,6.73,6.73,6.51,6.51,6.75,6.75
8,Other Operating Expenses,-0.5,0.55,0.39,1.4,0.03,-0.03,0,1.81,-0.23,-0.03,-0.03,0.55,0.55,0.64,0.64
9,Operating Expenses,30.7,34.07,23.98,28.16,19.64,15.45,18.94,26.19,22.17,19.46,19.46,19.91,19.91,20.48,20.48
10,Operating Income,6.82,-6.22,20.4,4.72,-8.22,9.74,28.14,31.45,24.17,24.53,24.53,29.99,29.99,32.08,32.08
11,Interest Expense,-2.48,-2.34,-2.27,-2.23,-1.87,-1.94,-1.72,-1.78,-0.96,-0.83,-0.83,-0.63,-0.63,-0.62,-0.62
12,Interest & Investment Income,1.92,2.31,2.86,4.63,2.37,0.1,0.01,0.02,0.03,0.02,0.02,0.05,0.05,0.05,0.05
13,Currency Exchange Gain (Loss),-1.66,1.66,-,1.3,-1.18,1.18,-,8.37,-5.03,2.51,2.51,-0.4,-0.4,-0.87,-0.87
14,Other Non Operating Income (Expenses),6.86,-2.07,-0.42,-1.29,-0.9,-0.4,-1.82,-7.15,5.21,-1.36,-1.36,-0.36,-0.36,-0.18,-0.18
15,EBT Excluding Unusual Items,11.45,-6.66,20.58,7.14,-9.79,8.67,24.6,30.91,23.43,24.88,24.88,28.65,28.65,30.46,30.46
16,Gain (Loss) on Sale of Investments,-,-,-,0.05,-,-,-,-,-,-,-,-,-,-0.01,-0.01
17,Gain (Loss) on Sale of Assets,0.79,-0.79,-0,-2.07,1.49,-0.94,-,-1.49,0.91,-0.4,-0.4,-0.87,-0.87,-0.41,-0.41
18,Asset Writedown,-,-,-,-0.8,-,-,-,-,-,-,-,-0.44,-0.44,-,-
19,Legal Settlements,-,-,-,-,-,-,-,-0.49,-,-,-,-,-,-,-
20,Other Unusual Items,-12.2,12.26,-0.05,2.25,-,-,-,1.29,-,-,-,0.12,0.12,0.52,0.52
21,Pretax Income,0.03,4.82,20.52,6.57,-8.3,7.73,24.6,30.23,24.33,24.48,24.48,27.47,27.47,30.56,30.56
22,Income Tax Expense,-1.6,0.67,2.88,-3.43,-0.1,1.21,2.87,-1.43,3.08,2.85,2.85,3.1,3.1,3.95,3.95
23,Earnings From Continuing Operations,1.64,4.15,17.64,10.01,-8.19,6.52,21.73,31.66,21.25,21.63,21.63,24.37,24.37,26.61,26.61
24,Minority Interest in Earnings,0.1,0.14,0.03,-,-,-,-,-,-,-,-,0.13,0.13,-2.01,-2.01
25,Net Income,1.73,4.29,17.67,10.01,-8.19,6.52,21.73,31.66,21.25,21.63,21.63,24.5,24.5,24.6,24.6
26,Net Income to Common,1.73,4.29,17.67,10.01,-8.19,6.52,21.73,31.66,21.25,21.63,21.63,24.5,24.5,24.6,24.6
27,Net Income Growth,-,-34.27%,-18.70%,-68.39%,-,-69.84%,0.47%,29.22%,-13.25%,-12.06%,-12.06%,-,-,-,-
28,Shares Outstanding (Basic),75,73,74,79,112,55,56,56,56,55,55,56,56,55,55
29,Shares Outstanding (Diluted),75,73,74,79,112,55,56,56,56,55,55,56,56,55,55
30,Shares Change (YoY),-32.85%,32.65%,32.12%,42.47%,100.17%,-0.36%,0.47%,-0.29%,0.44%,0.34%,0.34%,-,-,-,-
31,EPS (Basic),0.02,0.06,0.24,0.13,-0.07,0.12,0.39,0.57,0.38,0.39,0.39,0.44,0.44,0.45,0.45
32,EPS (Diluted),0.02,0.06,0.24,0.13,-0.07,0.12,0.39,0.57,0.38,0.39,0.39,0.44,0.44,0.45,0.45
33,EPS Growth,-,-50.45%,-38.46%,-77.81%,-,-69.73%,0%,29.60%,-13.63%,-12.36%,-12.36%,-,-,-,-
34,Free Cash Flow,-3.49,-27.79,-18.21,-120.07,-90.29,16.91,-29.37,-28.45,-40.43,-27.95,-27.95,31.34,31.34,-12.47,-12.47
35,Free Cash Flow Per Share,-0.05,-0.38,-0.25,-1.52,-0.81,0.31,-0.53,-0.51,-0.72,-0.50,-0.50,0.56,0.56,-0.23,-0.23
36,Dividend Per Share,-,-,-,-,-,0.675,-,-,-,-,-,-,-,-,-
37,Gross Margin,22.52%,19.94%,24.93%,23.67%,12.19%,23.70%,30.15%,28.31%,30.02%,29.15%,29.15%,28.14%,28.14%,35.45%,35.45%
38,Operating Margin,4.09%,-4.45%,11.46%,3.40%,-8.77%,9.16%,18.02%,15.44%,15.66%,16.25%,16.25%,16.91%,16.91%,21.64%,21.64%
39,Profit Margin,1.04%,3.07%,9.92%,7.21%,-8.75%,6.14%,13.92%,15.55%,13.77%,14.33%,14.33%,13.82%,13.82%,16.59%,16.59%
40,Free Cash Flow Margin,-2.09%,-19.89%,-10.23%,-86.45%,-96.37%,15.91%,-18.81%,-13.97%,-26.19%,-18.52%,-18.52%,17.68%,17.68%,-8.41%,-8.41%
41,EBITDA,18.99,8.83,32.57,16.9,-0.13,20.88,36.23,39.54,32.18,32.54,32.54,36.43,36.43,37.69,37.69
42,EBITDA Margin,11.40%,6.32%,18.29%,12.16%,-0.13%,19.65%,23.20%,19.42%,20.84%,21.56%,21.56%,20.55%,20.55%,25.42%,25.42%
43,D&A For EBITDA,12.17,15.05,12.17,12.17,8.09,11.14,8.09,8.09,8,8,8,6.44,6.44,5.61,5.61
44,EBIT,6.82,-6.22,20.4,4.72,-8.22,9.74,28.14,31.45,24.17,24.53,24.53,29.99,29.99,32.08,32.08
45,EBIT Margin,4.09%,-4.45%,11.46%,3.40%,-8.77%,9.16%,18.02%,15.44%,15.66%,16.25%,16.25%,16.91%,16.91%,21.64%,21.64%
46,Effective Tax Rate,-,13.84%,14.05%,-,-,15.59%,11.67%,-,12.65%,11.62%,11.62%,11.27%,11.27%,12.93%,12.93%
47,Revenue as Reported,166.61,139.69,178.06,138.89,93.69,106.27,156.16,203.63,154.39,150.94,150.94,177.29,177.29,148.29,148.29
