,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,121.03,220.25,432.5,368,191.24,760.85,-,17.47,-,-,-,68.98,68.98,20.26,20.26
1,Short-Term Investments,-,-,-,50,-,-,-,-,-,-,-,-,-,-,-
2,Trading Asset Securities,420,350,110,135.05,500,-,-,-,-,-,-,-,-,-,-
3,Cash & Short-Term Investments,541.03,570.25,542.5,553.05,691.24,760.85,17.47,17.47,-,-,68.98,68.98,68.98,20.26,20.26
4,Cash Growth,-21.73%,-25.05%,3005.09%,3065.48%,-,-,-74.67%,-74.67%,-,-,240.41%,-,-,-,-
5,Accounts Receivable,233.98,236.2,227.79,212.16,151.14,170.69,-,154.12,-,-,-,108.97,108.97,93.34,93.34
6,Other Receivables,6.26,5.3,7.24,19.43,17.48,2.52,-,2.29,-,-,-,3.52,3.52,7.52,7.52
7,Receivables,240.24,241.5,235.03,231.59,168.62,173.2,-,156.41,-,-,-,112.49,112.49,100.86,100.86
8,Inventory,192.83,189.58,147.31,156.47,133.87,111.4,-,90.9,-,-,-,121.17,121.17,161.26,161.26
9,Other Current Assets,65.19,67.51,70.53,57.64,50.83,33.9,-,33,-,-,-,15.97,15.97,8.87,8.87
10,Total Current Assets,1039,1069,995.37,998.75,1045,1079,-,297.78,-,-,-,318.62,318.62,291.25,291.25
11,"Property, Plant & Equipment",656.57,652.17,633.74,622.72,586.25,570.83,-,557.83,-,-,-,356.79,356.79,281.66,281.66
12,Other Intangible Assets,152.43,153.91,155.03,153.53,60.29,60.99,-,62.4,-,-,-,65.21,65.21,53.91,53.91
13,Long-Term Deferred Tax Assets,8.9,7.29,5.98,6.11,3.68,3.78,-,4.62,-,-,-,3.44,3.44,2.98,2.98
14,Long-Term Deferred Charges,4.76,5.22,4.94,4.75,4.24,3.98,-,4.44,-,-,-,3.41,3.41,1.89,1.89
15,Other Long-Term Assets,43.38,40.33,46.75,45.24,51.18,30.01,-,8.69,-,-,-,13.64,13.64,5.25,5.25
16,Total Assets,1905,1928,1842,1831,1750,1749,-,935.77,-,-,-,761.12,761.12,636.95,636.95
17,Accounts Payable,225.36,245.14,242.43,206.74,170.08,154.44,-,123.75,-,-,-,69.71,69.71,77.63,77.63
18,Accrued Expenses,11.04,11.7,9.69,9.8,7.83,7.27,-,9.27,-,-,-,12.39,12.39,7.96,7.96
19,Short-Term Debt,192.38,214.16,182.48,217.34,131.83,130.92,-,66.03,-,-,-,75.25,75.25,58.34,58.34
20,Current Portion of Long-Term Debt,18.39,21.33,35.46,38.07,42.16,44.19,-,19.47,-,-,-,-,-,0.27,0.27
21,Current Portion of Leases,-,1.49,-,1.38,-,1.08,-,0.97,-,-,-,-,-,-,-
22,Current Income Taxes Payable,5.39,2.33,2.11,-,2.18,1.61,-,0,-,-,-,3.87,3.87,5.67,5.67
23,Current Unearned Revenue,7.77,5.62,8.45,13.12,6.05,2.23,-,1.75,-,-,-,31.09,31.09,3.96,3.96
24,Other Current Liabilities,1.18,1.58,1.59,3.05,1.15,7.2,-,11.08,-,-,-,39.65,39.65,11.8,11.8
25,Total Current Liabilities,461.5,503.34,482.22,489.5,361.3,348.94,-,232.32,-,-,-,231.97,231.97,165.63,165.63
26,Long-Term Debt,102.5,103.32,40.6,41.57,49.53,51.22,-,77.87,-,-,-,-,-,0.61,0.61
27,Long-Term Leases,1.6,1.4,2.75,2.72,2.7,3.82,-,3.81,-,-,-,-,-,-,-
28,Long-Term Unearned Revenue,22.37,4.1,4.39,4.68,4.96,5.25,-,5.83,-,-,-,6.99,6.99,7.57,7.57
29,Long-Term Deferred Tax Liabilities,4.81,5.07,5.35,5.55,5.15,5.35,-,6.43,-,-,-,1.55,1.55,1.72,1.72
30,Other Long-Term Liabilities,0.27,0.34,1.23,1.47,0.99,0.9,-,2.2,-,-,-,10.95,10.95,1.57,1.57
31,Total Liabilities,593.04,617.56,536.54,545.47,424.63,415.48,-,328.47,-,-,-,251.46,251.46,177.11,177.11
32,Common Stock,74,74,74,74,74,74,-,55.5,-,-,-,55.5,55.5,55.5,55.5
33,Additional Paid-In Capital,846.35,846.21,846.06,845.91,845.7,845.49,-,166.21,-,-,-,164.62,164.62,163.79,163.79
34,Retained Earnings,389.41,387.68,383.39,365.72,405.77,413.97,-,385.59,-,-,-,289.54,289.54,240.54,240.54
35,Comprehensive Income & Other,1.29,0.99,0.35,-,0.11,0,-,-,-,-,-,-,-,0.01,0.01
36,Total Common Equity,1311,1309,1304,1286,1326,1333,607.3,607.3,-,-,509.65,509.65,509.65,459.83,459.83
37,Minority Interest,1.23,1.33,1.47,-,-,-,-,-,-,-,-,-,-,-,-
38,Shareholders' Equity,1312,1310,1305,1286,1326,1333,607.3,607.3,-,-,509.65,509.65,509.65,459.83,459.83
39,Total Liabilities & Equity,1905,1928,1842,1831,1750,1749,-,935.77,-,-,-,761.12,761.12,636.95,636.95
40,Total Debt,314.87,341.69,261.29,301.07,226.23,231.23,168.15,168.15,-,-,75.25,75.25,75.25,59.22,59.22
41,Net Cash (Debt),226.16,228.56,281.21,251.98,465.01,529.62,-150.68,-150.68,-,-,-6.27,-6.27,-6.27,-38.96,-38.96
42,Net Cash Growth,-51.36%,-56.84%,-,-,-,-,-,-,-,-,-,-,-,-,-
43,Net Cash Per Share,3.01,3.12,3.82,3.19,4.15,9.58,-2.70,-2.71,-,-,-0.11,-0.11,-0.11,-0.70,-0.70
44,Filing Date Shares Outstanding,74,74,74,74,74,74,55.73,55.5,55.92,55.47,55.47,55.5,55.5,55.5,55.5
45,Total Common Shares Outstanding,74,74,74,74,74,74,55.73,55.5,55.92,55.47,55.47,55.5,55.5,55.5,55.5
46,Working Capital,577.79,565.51,513.14,509.25,683.27,730.41,-,65.46,-,-,-,86.65,86.65,125.62,125.62
47,Book Value Per Share,17.72,17.69,17.62,17.37,17.91,18.02,10.94,10.94,-,-,9.18,9.18,9.18,8.29,8.29
48,Tangible Book Value,1159,1155,1149,1132,1265,1272,544.9,544.9,-,-,444.44,444.44,444.44,405.93,405.93
49,Tangible Book Value Per Share,15.66,15.61,15.52,15.30,17.10,17.20,9.82,9.82,-,-,8.01,8.01,8.01,7.31,7.31
50,Buildings,-,180.56,-,161.15,-,149.3,-,148.06,-,-,-,108.95,108.95,100.75,100.75
51,Machinery,-,530.9,-,523.67,-,437.33,-,317.17,-,-,-,271.64,271.64,229.02,229.02
52,Construction In Progress,-,141.5,-,110.26,-,132.48,-,220.35,-,-,-,78.68,78.68,43.93,43.93
