,Fiscal Quarter,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,+2 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020",+2 Quarters
0,"Property, Plant & Equipment",1754,1845,1869,1843,1914,2010,2169,2083,1995,1914,Upgrade
1,Cash & Equivalents,232.84,139.43,255.59,130.02,161.56,188.11,239.66,209.61,198.85,134.29,Upgrade
2,Accounts Receivable,15.8,2.65,6.5,7.46,6.97,11.68,3.03,3.04,2.58,4.91,Upgrade
3,Other Receivables,0.83,13.07,19.4,236.77,13.68,9.56,11.64,6.79,9.41,18.26,Upgrade
4,Other Current Assets,12804,13081,13051,95.45,137.95,137.57,113.47,133.32,126.15,151.36,Upgrade
5,Other Long-Term Assets,0.99,1.19,1.32,83.63,317.77,328.33,342.57,335.4,329.2,300.68,Upgrade
6,Total Assets,14809,15082,15203,2396,2552,2685,2880,2771,2661,2523,Upgrade
7,Current Portion of Long-Term Debt,-,-,-,-,69.92,91.83,3.83,3.83,3.84,3.84,Upgrade
8,Current Portion of Leases,2.26,2.19,2.03,1.13,2.33,2.37,2.53,2.28,2.32,1.13,Upgrade
9,Long-Term Debt,-,-,-,-,-,-,89.92,91.83,93.75,95.67,Upgrade
10,Long-Term Leases,2.31,3.45,4.57,-,-,1.13,2.13,3.51,4.47,-,Upgrade
11,Accounts Payable,2.35,1.11,35.51,2.15,2.48,3.16,4.31,2.79,1.71,1.18,Upgrade
12,Accrued Expenses,51.69,5.8,51.91,3.99,3.73,5.89,6.89,7.46,5.51,5.41,Upgrade
13,Current Income Taxes Payable,88.42,88.83,88.78,87.46,89.43,93.82,97.79,96.71,94.23,88.4,Upgrade
14,Other Current Liabilities,35.45,80.53,-,28.22,37.99,37.3,46.03,41.39,40.38,39.81,Upgrade
15,Long-Term Deferred Tax Liabilities,7375,7497,7544,234.03,248.93,262.63,314.42,299.81,241.85,253.4,Upgrade
16,Other Long-Term Liabilities,6.65,8.81,15.17,15.17,12.96,11.11,15.62,11.55,9.42,9.08,Upgrade
17,Total Liabilities,7564,7688,7742,372.15,467.76,509.25,583.47,561.16,497.47,497.92,Upgrade
18,Common Stock,237.7,237.7,237.7,237.7,237.7,237.7,237.7,237.7,237.7,237.7,Upgrade
19,Additional Paid-In Capital,-,438.48,438.48,438.48,438.48,438.48,438.48,438.48,438.48,438.48,Upgrade
20,Retained Earnings,-,6435,6448,1084,1080,1079,1098,1052,1034,1068,Upgrade
21,Comprehensive Income & Other,6967,243.28,296.18,225.22,288.54,378.97,477.59,438.7,412.62,243.58,Upgrade
22,Total Common Equity,7205,7355,7421,1985,2044,2135,2252,2167,2123,1988,Upgrade
23,Minority Interest,39.4,39.94,40.14,39.22,40.13,41.64,44.62,43.27,40.45,37.29,Upgrade
24,Shareholders' Equity,7244,7395,7461,2024,2085,2176,2296,2210,2163,2025,Upgrade
25,Total Liabilities & Equity,14809,15082,15203,2396,2552,2685,2880,2771,2661,2523,Upgrade
26,Total Debt,4.57,5.65,6.6,1.13,72.25,95.34,98.41,101.46,104.38,100.64,Upgrade
27,Net Cash / Debt,228.27,133.78,248.99,128.89,89.31,92.77,141.25,108.16,94.47,33.65,Upgrade
28,Net Cash Growth,-8.32%,3.80%,178.81%,38.93%,-36.78%,-14.23%,49.52%,221.38%,-,-,Upgrade
29,Net Cash Per Share,0.96,0.56,1.05,0.54,0.38,0.39,0.59,0.46,0.40,0.14,Upgrade
30,Filing Date Shares Outstanding,237.7,237.7,237.7,237.7,237.7,237.7,237.7,237.7,237.7,237.7,Upgrade
31,Total Common Shares Outstanding,237.7,237.7,237.7,237.7,237.7,237.7,237.7,237.7,237.7,237.7,Upgrade
32,Book Value Per Share,30.31,30.94,31.22,8.35,8.60,8.98,9.47,9.12,8.93,8.36,Upgrade
33,Tangible Book Value,7205,7355,7421,1985,2044,2135,2252,2167,2123,1988,Upgrade
34,Tangible Book Value Per Share,30.31,30.94,31.22,8.35,8.60,8.98,9.47,9.12,8.93,8.36,Upgrade
