,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H1 2021
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","May '21 May 31, 2021"
0,Cash & Equivalents,100.46,86.83,147.53,89.53,-,-
1,Short-Term Investments,29.38,55.14,-,-,-,-
2,Cash & Short-Term Investments,129.84,141.97,147.53,89.53,-,-
3,Cash Growth,-11.99%,58.58%,-,-,-,-
4,Accounts Receivable,1.32,0.79,1.07,0.52,-,-
5,Other Receivables,-,4.23,-,81.97,-,-
6,Receivables,1.32,5.02,1.07,82.49,-,-
7,Inventory,2.81,2.51,2.34,2.5,-,-
8,Other Current Assets,12.28,2.81,22.72,1.99,-,-
9,Total Current Assets,146.25,152.31,173.65,176.51,-,-
10,"Property, Plant & Equipment",60.12,61.66,62.84,64.43,-,-
11,Goodwill,0.67,-,-,-,-,-
12,Other Intangible Assets,0.3,0.37,0.45,0.53,-,-
13,Long-Term Deferred Tax Assets,1.13,0.69,6.77,5.21,-,-
14,Other Long-Term Assets,15.95,17.39,3.01,6.04,-,-
15,Total Assets,224.43,232.43,246.72,252.72,-,-
16,Accounts Payable,7.36,6.64,6.67,5.48,-,-
17,Accrued Expenses,-,6.8,-,7.2,-,-
18,Current Portion of Leases,8.4,8.8,7.21,6.9,-,-
19,Current Income Taxes Payable,1.91,1.49,6.41,8.87,-,-
20,Current Unearned Revenue,3.78,3.3,6.63,4.2,-,-
21,Other Current Liabilities,22.81,10.93,11.36,8.58,-,-
22,Total Current Liabilities,44.26,37.96,38.29,41.23,-,-
23,Long-Term Leases,23.54,24.92,25.85,29.72,-,-
24,Long-Term Unearned Revenue,3.95,4.01,3.83,4.02,-,-
25,Total Liabilities,71.75,66.88,67.97,74.97,-,-
26,Common Stock,5.37,5.37,5.37,5.37,-,-
27,Additional Paid-In Capital,93.35,93.35,93.35,93.35,-,-
28,Retained Earnings,24.2,44.67,56.14,58.26,-,-
29,Treasury Stock,-0.09,-,-,-,-,-
30,Comprehensive Income & Other,28.68,21.79,23.51,20.39,-,-
31,Total Common Equity,151.5,165.18,178.38,177.37,-,-
32,Minority Interest,1.18,0.37,0.38,0.38,-,-
33,Shareholders' Equity,152.68,165.55,178.76,177.75,-,-
34,Total Liabilities & Equity,224.43,232.43,246.72,252.72,-,-
35,Total Debt,31.93,33.72,33.06,36.62,-,-
36,Net Cash (Debt),97.91,108.25,114.47,52.91,-,-
37,Net Cash Growth,-14.46%,104.58%,-,-,-,-
38,Net Cash Per Share,0.16,0.18,0.19,0.11,-,-
39,Filing Date Shares Outstanding,600,600,600,600,450,-
40,Total Common Shares Outstanding,600,600,600,600,450,-
41,Working Capital,102,114.35,135.36,135.28,-,-
42,Book Value Per Share,0.25,0.28,0.30,0.30,-,-
43,Tangible Book Value,150.53,164.81,177.93,176.84,-,-
44,Tangible Book Value Per Share,0.25,0.27,0.30,0.29,-,-
45,Machinery,-,28.03,-,26.27,-,-
46,Construction In Progress,-,4.25,-,0.75,-,-
47,Leasehold Improvements,-,29.41,-,28.52,-,-
