,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H1 2021
,Period Ending,"Mar '25 Mar 11, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","May '21 May 31, 2021"
0,Market Capitalization,204,225,261,294,297,-,-
1,Market Cap Growth,-23.47%,-23.47%,-12.12%,-,-,-,-
2,Enterprise Value,100,106,138,235,291,-,-
3,Last Close Price,0.34,0.38,0.42,0.48,0.48,-,-
4,PE Ratio,-,-,-,-,9.23,-,-
5,PS Ratio,2.62,2.90,3.22,2.59,2.06,-,-
6,PB Ratio,1.25,1.37,1.43,1.52,1.48,-,-
7,P/TBV Ratio,1.39,1.39,1.44,1.53,1.49,-,-
8,P/FCF Ratio,29.71,-,4645.34,-,10.87,-,-
9,P/OCF Ratio,23.28,-,42.06,-,8.26,-,-
10,EV/Sales Ratio,1.29,1.37,1.70,2.06,2.02,-,-
11,EV/EBITDA Ratio,-,-,-,-,5.29,-,-
12,EV/EBIT Ratio,-,-,-,-,6.05,-,-
13,EV/FCF Ratio,14.58,-,2451.28,-,10.66,-,-
14,Debt / Equity Ratio,0.21,0.21,0.20,0.18,0.21,-,-
15,Debt / FCF Ratio,5.00,-,661.20,-,1.52,-,-
16,Return on Capital Employed (ROCE),-,-,-,-,20.12%,-,-
17,Earnings Yield,-13.98%,-12.68%,-5.74%,5.69%,10.83%,-,-
18,FCF Yield,3.37%,3.05%,0.02%,-1.72%,9.20%,-,-
19,Buyback Yield / Dilution,-12.68%,0.03%,-29.09%,-33.33%,-,-,-
20,Total Shareholder Return,-9.74%,0.03%,-29.09%,-33.33%,-,-,-
