,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020","Sep '19 Sep 30, 2019",+2 Quarters
0,Cash & Equivalents,200.71,64.29,117.2,135.44,251.7,150.05,316.82,184.54,123.89,447.61,Upgrade
1,Trading Asset Securities,-,-,-,-,0.99,1.01,1.38,1.38,1.41,1.97,Upgrade
2,Cash & Short-Term Investments,200.71,64.29,117.2,135.44,252.69,151.06,318.2,185.92,125.3,449.58,Upgrade
3,Cash Growth,71.25%,-52.53%,-53.62%,-10.34%,-20.59%,-18.75%,153.95%,-58.65%,-53.02%,36.33%,Upgrade
4,Accounts Receivable,6.41,1.84,6.73,28.3,126.01,56.87,80.25,17.77,21.01,32.87,Upgrade
5,Other Receivables,0.1,-72.38,0.13,2.13,3.24,192.96,1.85,96.19,-,0.96,Upgrade
6,Receivables,136.27,363.03,174.47,610.69,691.42,901.89,700.7,792.01,589.21,507.61,Upgrade
7,Inventory,88.77,75.87,102.39,120.14,176.46,173.35,155.58,172.66,143.63,214.84,Upgrade
8,Prepaid Expenses,447.42,216.15,395.77,312.12,324.89,105.57,73.26,269.79,86.85,18.42,Upgrade
9,Other Current Assets,-,-,476.16,-,-,-,740.82,256.69,-,-,Upgrade
10,Total Current Assets,873.17,719.34,1266,1178,1445,1332,1989,1677,944.99,1190,Upgrade
11,"Property, Plant & Equipment",83.68,133.91,136.98,192.7,206.66,216.84,196.07,239.46,465.38,496.8,Upgrade
12,Long-Term Investments,1265,1466,1482,1110,1069,1011,1075,1054,1099,1181,Upgrade
13,Goodwill,1179,1254,1642,1731,2046,2147,2166,1995,1943,1363,Upgrade
14,Other Intangible Assets,244.64,162.6,261.6,236.96,284.09,174.64,308.98,171.48,323.79,48.94,Upgrade
15,Long-Term Deferred Tax Assets,1.94,1.81,0.95,19.08,26.49,18.62,9.84,5.93,5.3,3.77,Upgrade
16,Long-Term Deferred Charges,-,98.23,-,-,-,121.92,-,138.81,-,-,Upgrade
17,Other Long-Term Assets,11.73,0.16,2.53,6.52,7.73,7.68,2.2,9.86,2.92,44.09,Upgrade
18,Total Assets,3774,3920,4826,4567,5111,5082,5775,5318,4971,4553,Upgrade
19,Accounts Payable,140.54,101.38,100.05,116.56,154.82,82.74,169.39,44.32,30.57,99.17,Upgrade
20,Short-Term Debt,-,139.78,159.22,152.74,195.31,56.04,50.75,89.38,108.27,104.68,Upgrade
21,Current Portion of Long-Term Debt,2.76,0.98,69.13,83.09,81.8,49.34,-,58.09,-,-,Upgrade
22,Current Portion of Leases,2.84,2.74,4.08,13.23,11.64,11.31,10.38,8.1,5.16,-,Upgrade
23,Current Income Taxes Payable,16.54,16.15,17.01,26.61,27.34,22.64,9.74,372.28,10.74,4.54,Upgrade
24,Current Unearned Revenue,-,-,-,-,-,-,-,-,-,89.56,Upgrade
25,Other Current Liabilities,375.41,263.72,331.19,185.71,907.32,1056,718.5,297.71,266.15,109.43,Upgrade
26,Total Current Liabilities,538.08,524.75,680.68,577.93,1378,1278,958.76,869.88,420.88,407.37,Upgrade
27,Long-Term Debt,14.64,18.18,12.31,13.11,15.52,17.34,18.11,19.56,19.64,21.81,Upgrade
28,Long-Term Leases,5.81,0.08,0.6,34.73,30.94,36.46,18.69,15.07,15.78,-,Upgrade
29,Long-Term Deferred Tax Liabilities,33.99,35.2,34.03,36.59,40.32,46.42,42.98,45,91.2,80.47,Upgrade
30,Other Long-Term Liabilities,-,-,-,-,56.9,64.27,771.87,634.98,614.9,-,Upgrade
31,Total Liabilities,592.52,578.21,727.61,662.36,1522,1442,1810,1584,1162,509.64,Upgrade
32,Common Stock,10.22,4.81,961.31,961.63,798.28,798.28,798.28,717.02,717.02,717.02,Upgrade
33,Additional Paid-In Capital,7741,7496,6539,-,6189,6189,6189,5912,5912,5912,Upgrade
34,Retained Earnings,-4321,-4056,-3274,-,-3484,-3511,-3372,-3170,-3029,-2825,Upgrade
35,Treasury Stock,-,-,-,-,-0.25,-,-,-,-,-,Upgrade
36,Comprehensive Income & Other,-230.77,-81.46,-112.29,2957,100.99,182.39,226.57,148.34,93.12,119.57,Upgrade
37,Total Common Equity,3200,3363,4114,3919,3604,3659,3841,3607,3694,3924,Upgrade
38,Minority Interest,-18.15,-21.76,-15.98,-14.08,-14.85,-19.12,123.07,126.2,115.19,119.41,Upgrade
39,Shareholders' Equity,3181,3341,4098,3905,3589,3640,3964,3733,3809,4044,Upgrade
40,Total Liabilities & Equity,3774,3920,4826,4567,5111,5082,5775,5318,4971,4553,Upgrade
41,Total Debt,26.05,161.77,245.34,296.89,335.2,170.48,97.93,190.2,148.85,126.49,Upgrade
42,Net Cash (Debt),174.66,-97.48,-128.13,-161.45,-82.51,-19.42,220.27,-4.29,-23.55,323.09,Upgrade
43,Net Cash Growth,-,-,-,-,-,-,-,-,-,26.46%,Upgrade
44,Net Cash Per Share,0.26,-0.20,-0.26,-0.38,-0.21,-0.05,0.59,-0.01,-0.07,0.94,Upgrade
45,Filing Date Shares Outstanding,1022,480.65,480.65,424.79,399.11,399.14,399.14,358.51,358.51,358.51,Upgrade
46,Total Common Shares Outstanding,1022,480.65,480.65,424.79,399.11,399.14,399.14,358.51,358.51,358.51,Upgrade
47,Working Capital,335.09,194.59,585.32,600.47,67.25,54.28,1030,807.2,524.1,783.08,Upgrade
48,Book Value Per Share,3.13,7.00,8.56,9.23,9.03,9.17,9.62,10.06,10.30,10.95,Upgrade
49,Tangible Book Value,1776,1947,2211,1951,1274,1338,1366,1441,1427,2512,Upgrade
50,Tangible Book Value Per Share,1.74,4.05,4.60,4.59,3.19,3.35,3.42,4.02,3.98,7.01,Upgrade
51,Land,-,16.13,-,-,-,18.79,-,19.52,-,13.67,Upgrade
52,Buildings,-,44.51,-,-,-,52.51,-,54.11,-,95.29,Upgrade
53,Machinery,-,31.56,-,-,-,40.82,-,32.23,-,26.44,Upgrade
54,Leasehold Improvements,-,11.98,-,-,-,31.44,-,28.75,-,28.29,Upgrade
