,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,-,264.85,378.16,192.24,350.48,153.78,189.34,157.55,256.16,207.44,213.54,162.9,231.27,69.37,94.25,79.53,155.42,-,-,-
1,Trading Asset Securities,-,55,40,40,10,84,56,84,84,76.82,76.82,76.3,75.95,160,-,-,-,-,-,-
2,Cash & Short-Term Investments,319.85,319.85,418.16,232.24,360.48,237.78,245.34,241.55,340.16,284.26,290.36,239.2,307.22,229.37,94.25,79.53,155.42,-,-,136.87
3,Cash Growth,-11.27%,34.52%,70.44%,-3.86%,5.97%,-16.35%,-15.50%,0.98%,10.72%,23.93%,208.06%,200.77%,97.68%,-,-,-41.89%,-,-,-,-
4,Accounts Receivable,-,916.04,872.02,857.85,834.86,692.74,685.23,613.67,647.39,527.07,536.4,545.76,614.51,515.03,504.07,457.98,515.57,-,-,-
5,Other Receivables,-,33.06,33.8,24.35,17.08,35.66,26.62,27.05,16.93,44.62,21.59,15.9,12.59,15.86,14.01,0,13.95,-,-,-
6,Receivables,-,949.1,905.82,882.2,851.94,728.4,711.84,640.71,664.32,571.7,557.99,561.66,627.1,530.89,518.08,457.99,529.52,-,-,-
7,Inventory,-,754.48,501.65,529.01,399.04,524.08,440.11,474.19,391.3,466.6,366.81,309.54,260.16,347.74,287.05,287.34,239.16,-,-,-
8,Prepaid Expenses,-,-,0.48,-,-,-,0.6,-,0.27,-,-,-,-,-,0.65,1.06,0.35,-,-,-
9,Other Current Assets,-,60.48,50.51,51.34,19.06,40.37,17.79,19.98,11.96,14.71,20.21,28.94,8.12,10.77,17.93,30.52,10.74,-,-,-
10,Total Current Assets,-,2084,1877,1695,1631,1531,1416,1376,1408,1337,1235,1139,1203,1119,917.96,856.44,935.18,-,-,-
11,"Property, Plant & Equipment",-,264.94,264.45,141.41,142.26,133.3,133.21,128.5,129.75,99.96,101.82,101.45,100.57,83.96,76.76,73.6,74.65,-,-,-
12,Long-Term Investments,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.01,0.06,0.06,-,-,-
13,Goodwill,-,2.31,2.31,2.31,2.31,2.07,1.98,1.98,1.98,1.54,1.54,1.9,-,-,-,-,-,-,-,-
14,Other Intangible Assets,-,143.3,144.53,30.78,31.24,31.62,31.66,32.03,32.2,32.42,32.65,32.51,32.77,33.15,33.54,33.93,34.32,-,-,-
15,Long-Term Accounts Receivable,-,-,95.46,-,56.71,-,85.88,-,76.63,-,50.46,-,58.79,-,40.87,43.28,53.47,-,-,-
16,Long-Term Deferred Tax Assets,-,19.89,19.69,21.12,21.97,19.29,19.28,19.49,18.75,15.35,14.89,17.34,15.23,14.56,14.97,14.82,13.63,-,-,-
17,Long-Term Deferred Charges,-,25.89,15.16,15.53,14.05,14.32,15.95,12.39,14.9,4.03,1.99,2.1,1.8,0.53,0.42,0.35,0.36,-,-,-
18,Other Long-Term Assets,-,146.2,40.67,311.76,27.42,66.99,0.06,79.08,5.16,61.85,2.9,53.12,1.92,43.21,-,-,0.82,-,-,-
19,Total Assets,-,2686,2459,2218,1926,1798,1704,1650,1687,1552,1442,1348,1414,1294,1085,1022,1112,-,-,-
20,Accounts Payable,-,623.71,406.89,511.07,365.01,393.38,309.63,365.36,339.01,362.32,252.5,194.68,160.22,215.17,165.5,149.49,205.17,-,-,-
21,Accrued Expenses,-,16.84,126.03,11.09,122.15,12.95,92.18,8.07,105.75,8.87,71.54,6.58,103.92,7.48,63.48,61.21,95.57,-,-,-
22,Short-Term Debt,-,660.67,600.76,501.95,410.06,429.09,367.11,365.48,337.46,330.49,295.01,317.05,312.43,285.8,301.1,270.6,266.93,-,-,-
23,Current Portion of Long-Term Debt,-,9.37,9.02,11.06,9.23,10.67,9.01,21.98,19.52,12.41,10,-,-,-,-,-,-,-,-,-
24,Current Portion of Leases,-,-,3.24,-,2.05,-,1.63,-,2.21,-,1.49,1.77,1.7,2.3,0.2,4.59,6.29,-,-,-
25,Current Income Taxes Payable,-,3.76,0.36,16.88,10.5,2.88,2.15,5.78,9.64,0.53,1.34,1.64,7.17,1.58,1.64,0,7.1,-,-,-
26,Current Unearned Revenue,-,162.37,150.84,160.64,64.55,72.31,44.06,37.97,28.93,49.92,27.23,45.38,36.62,44.47,21.41,24.04,11.36,-,-,-
27,Other Current Liabilities,-,59.19,61.56,70.27,13.36,8.53,15.3,5.17,6.55,7.31,6.02,4.01,6.11,1.62,6.46,0.39,0.79,-,-,-
28,Total Current Liabilities,-,1536,1359,1283,996.91,929.8,841.07,809.82,849.07,771.85,665.13,571.1,628.18,558.42,559.79,510.32,593.2,-,-,-
29,Long-Term Debt,-,-,-,-,-,9.32,9.43,2.99,-,-,-,-,-,-,-,-,-,-,-,-
30,Long-Term Leases,-,3.5,170.5,1.64,1.62,0.66,0.31,0.82,1.16,1.66,3.1,2.89,3.55,4.35,0.33,0.4,-,-,-,-
31,Long-Term Unearned Revenue,-,5.94,6.58,7.04,7.66,8.29,8.91,3.73,3.9,4.07,4.24,4.41,4.59,2.62,2.76,2.95,3.14,-,-,-
32,Long-Term Deferred Tax Liabilities,-,0.06,0.06,0.06,0.06,1.95,1.82,0.09,0.17,-,-,-,0.14,-,-,-,-,-,-,-
33,Other Long-Term Liabilities,-,212.39,8.84,9.79,9.79,7.98,7.98,7.51,7.52,5.91,6.45,7.31,7.21,3.85,4.91,5.62,6.62,-,-,-
34,Total Liabilities,-,1758,1545,1301,1016,958,869.53,824.97,861.82,783.49,678.92,585.72,643.66,569.24,567.79,519.28,602.97,-,-,-
35,Common Stock,-,123.07,123.07,123.07,123.07,123.07,123.07,94.67,94.67,94.67,94.67,94.67,94.67,94.67,71,71,71,-,-,-
36,Additional Paid-In Capital,-,322.09,319.2,313.44,313.44,312.12,312.12,340.52,340.52,340.52,340.52,340.52,340.52,340.52,163.84,163.84,163.84,-,-,-
37,Retained Earnings,-,448.15,438.32,447.72,441.41,375.4,367.68,365.31,364.2,318.34,312.06,316.87,322.72,278.8,270.58,261.42,266.83,-,-,-
38,Comprehensive Income & Other,-,1.92,1.87,1.76,1.05,0.54,0.54,0.54,0.42,0.41,0.25,0.17,0.2,0.5,0.39,0.16,0.49,-,-,-
39,Total Common Equity,895.23,895.23,882.47,885.99,878.97,811.14,803.42,801.04,799.81,753.95,747.5,752.23,758.12,714.49,505.81,496.42,502.17,-,-,454.15
40,Minority Interest,-,33.41,31.74,30.23,31.48,29.09,30.75,23.89,25.76,14.97,15.2,9.8,11.89,10.46,10.92,6.78,7.36,-,-,-
41,Shareholders' Equity,928.64,928.64,914.21,916.21,910.45,840.23,834.17,824.93,825.57,768.91,762.7,762.03,770.01,724.95,516.73,503.19,509.53,-,-,455.11
42,Total Liabilities & Equity,-,2686,2459,2218,1926,1798,1704,1650,1687,1552,1442,1348,1414,1294,1085,1022,1112,-,-,-
43,Total Debt,673.54,673.54,783.53,514.65,422.96,449.74,387.49,391.28,360.35,344.56,309.59,321.71,317.68,292.45,301.63,275.58,273.22,-,-,246.53
44,Net Cash (Debt),-353.69,-353.69,-365.37,-282.41,-62.48,-211.96,-142.15,-149.73,-20.19,-60.3,-19.24,-82.5,-10.45,-63.08,-207.38,-196.05,-117.8,-,-,-109.66
45,Net Cash Per Share,-2.95,-2.87,-2.89,-2.24,-0.47,-2.00,-1.17,-1.10,-0.19,-0.48,-0.15,-0.65,-0.08,-0.65,-1.95,-2.22,-1.50,-,-,-1.18
46,Filing Date Shares Outstanding,123.07,123.07,123.07,123.07,123.07,123.07,123.07,123.07,123.07,123.07,123.07,123.07,123.07,123.07,123.07,92.3,92.3,116.68,82,93.12
47,Total Common Shares Outstanding,123.07,123.07,123.07,123.07,123.07,123.07,123.07,123.07,123.07,123.07,123.07,123.07,123.07,123.07,92.3,92.3,92.3,116.68,82,93.12
48,Working Capital,-,548.01,517.91,411.83,633.62,600.83,574.61,566.61,558.95,565.42,570.23,568.24,574.43,560.35,358.17,346.12,341.98,-,-,-
49,Book Value Per Share,7.27,7.27,7.17,7.20,7.14,6.59,6.53,6.51,6.50,6.13,6.07,6.11,6.16,5.81,5.48,5.38,5.44,-,-,4.90
50,Tangible Book Value,749.62,749.62,735.63,852.9,845.42,777.45,769.78,767.03,765.63,719.99,713.31,717.82,725.35,681.34,472.27,462.48,467.85,-,-,426.64
