,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,2265,1727,1767,1684,1948,2059,2194,2738,2192,2447,2242,1457,1620,2075,1552,-,-,-,-,-,-
1,Market Cap Growth,-16.14%,-16.14%,-19.46%,-38.52%,-11.11%,-15.86%,-2.12%,87.95%,35.30%,17.93%,44.48%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,2652,2114,2164,1996,2189,2300,2367,2912,2267,2522,2276,1549,1642,2149,1770,-,-,-,-,-,-
3,Last Close Price,18.40,14.03,14.36,13.44,15.55,16.43,17.51,21.86,17.43,19.46,17.83,11.59,12.73,16.31,12.20,-,-,-,-,-,-
4,PE Ratio,24.21,18.34,17.69,17.22,21.19,23.75,32.99,42.08,33.48,41.79,39.62,24.90,-,37.13,27.00,-,-,-,-,-,-
5,Forward PE,15.08,11.94,12.71,12.61,11.64,13.30,15.44,18.84,-,-,-,-,-,-,-,-,-,-,-,-,-
6,PS Ratio,1.73,1.31,1.37,1.41,1.77,2.00,2.36,3.04,2.70,3.21,3.25,2.18,2.55,3.30,2.66,-,-,-,-,-,-
7,PB Ratio,2.53,1.86,1.90,1.84,2.13,2.26,2.61,3.28,2.66,2.96,2.92,1.91,2.13,2.69,2.14,-,-,-,-,-,-
8,P/TBV Ratio,2.30,2.30,2.36,2.29,2.28,2.44,2.82,3.56,2.86,3.20,3.11,2.04,2.26,2.86,2.28,-,-,-,-,-,-
9,P/FCF Ratio,-,-,-,-,-,-35.94,-,-,-,576.39,-,-98.46,-,-28.13,-,-,-,-,-,-,-
10,P/OCF Ratio,-,-,-,-,-,14565.70,-,-,-,37.52,33.72,53.60,-,-49.66,-,-,-,-,-,-,-
11,EV/Sales Ratio,2.02,1.61,1.68,1.68,1.99,2.23,2.55,3.23,2.79,3.31,3.30,2.32,2.59,3.42,3.04,-,-,-,-,-,-
12,EV/EBITDA Ratio,19.96,15.80,14.10,15.31,17.01,19.67,22.51,25.71,20.63,24.58,28.29,18.47,-,26.61,21.94,-,-,-,-,-,-
13,EV/EBIT Ratio,22.53,17.96,15.76,17.33,19.11,22.18,-,28.68,-,27.27,32.06,20.82,-,29.95,24.60,-,-,-,-,-,-
14,EV/FCF Ratio,-,-,-,-,-,-40.14,-,-,-,594.12,-,-104.69,-,-29.13,-,-,-,-,-,-,-
15,Debt / Equity Ratio,0.73,0.73,0.73,0.86,0.56,0.46,0.54,0.46,0.47,0.44,0.45,0.41,0.42,0.41,0.40,0.58,0.55,0.54,-,-,0.54
16,Debt / EBITDA Ratio,5.07,2.60,7.28,5.57,10.06,1.21,1710.00,2.96,93.43,1.20,10.56,2.71,-,1.54,6.31,3.56,-,1.35,-,-,-
17,Debt / FCF Ratio,-,-,-,-,-,-7.38,-,-,-,84.87,-,-20.92,-,-4.31,-,-,-,-4.89,-,-,-
18,Asset Turnover,-,0.40,0.63,0.29,1.11,0.36,0.66,0.18,1.03,0.35,0.53,0.08,1.02,0.37,0.58,0.08,-,-,-,-,
19,Inventory Turnover,-,-,1.06,1.97,0.83,2.95,0.91,1.69,0.40,2.60,0.84,1.46,0.22,3.04,0.97,1.55,0.16,-,-,-,-
20,Quick Ratio,-,-,0.83,0.97,0.87,1.22,1.04,1.14,1.09,1.18,1.11,1.28,1.40,1.49,1.36,1.09,1.05,1.15,-,-,-
21,Current Ratio,-,-,1.36,1.38,1.32,1.64,1.65,1.68,1.70,1.66,1.73,1.86,1.99,1.91,2.00,1.64,1.68,1.58,-,-,-
22,Return on Equity (ROE),25.80%,4.78%,8.39%,1.77%,31.29%,2.90%,9.02%,-0.41%,27.35%,3.16%,9.14%,-3.91%,26.01%,5.00%,10.44%,-4.74%,-,-,-,-,
23,Return on Assets (ROA),-,1.88%,3.04%,1.08%,10.82%,-0.41%,4.15%,-0.28%,10.76%,0.98%,4.55%,-1.54%,8.90%,1.96%,4.45%,-1.07%,-,-,-,-,
24,Return on Capital (ROIC),9.50%,2.93%,4.55%,1.63%,15.36%,-0.57%,5.70%,-0.39%,15.16%,1.35%,5.88%,-1.95%,11.45%,2.54%,5.87%,-1.46%,-,-,-,-,
25,Return on Capital Employed (ROCE),-,-,11.94%,10.47%,12.25%,11.15%,-,11.77%,-,11.03%,9.09%,9.58%,-,9.13%,9.78%,14.69%,-,12.22%,-,-,-
26,Earnings Yield,4.16%,5.45%,5.65%,5.81%,4.72%,4.21%,3.03%,2.38%,2.99%,2.39%,2.52%,4.02%,3.42%,2.69%,3.70%,-,-,-,-,-,-
