,Fiscal Quarter,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,+2 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020",+2 Quarters
0,Revenue,333.06,378.09,325.78,415.84,368.18,312.98,329.22,266.4,311.52,244.14,Upgrade
1,Revenue Growth (YoY),2.23%,-9.08%,-11.52%,32.86%,11.83%,17.49%,5.68%,9.11%,-0.65%,-8.39%,Upgrade
2,Cost of Revenue,206.46,238.56,205.19,250.99,225.03,209.05,196.17,156.41,171.66,140.6,Upgrade
3,Gross Profit,126.6,139.53,120.6,164.84,143.15,103.93,133.06,109.99,139.85,103.54,Upgrade
4,"Selling, General & Admin",127.46,124.55,127.27,123.05,125.4,113.8,122.32,116.05,146.09,113.58,Upgrade
5,Other Operating Expenses,-18.75,-27.39,-14.73,-11.08,-2.55,-14.68,-8.96,-8.57,-3.31,-12.05,Upgrade
6,Operating Expenses,108.71,97.17,112.53,111.97,122.85,99.12,113.37,107.48,142.78,101.53,Upgrade
7,Operating Income,17.89,42.37,8.06,52.88,20.3,4.81,19.69,2.51,-2.93,2.01,Upgrade
8,Interest Expense,-0.07,-0.16,-0.05,-0.17,-0.53,-0.43,-0.4,-1.04,-0.9,-1.35,Upgrade
9,Interest & Investment Income,7.21,-,3.91,-,1.27,-,0.94,-,1.19,-,Upgrade
10,Currency Exchange Gain (Loss),1.2,-,0.78,-,3.46,-,-0.93,-,-1.36,-,Upgrade
11,Other Non Operating Income (Expenses),-0.06,-0.07,-0.06,-0.06,-0.06,-0.05,-0.05,-0.05,-0.06,-0.06,Upgrade
12,EBT Excluding Unusual Items,26.17,42.14,12.65,52.65,24.44,4.33,19.25,1.42,-4.06,0.6,Upgrade
13,Gain (Loss) on Sale of Assets,0.04,-,1.15,-,0.07,-,1.35,-,0.9,-,Upgrade
14,Asset Writedown,-90,-,-,-,-,-,-,-,-,-,Upgrade
15,Other Unusual Items,-,-,-,-,6.17,-,-,-,15.11,-,Upgrade
16,Pretax Income,-63.79,42.14,13.8,52.65,30.67,4.33,20.59,1.42,11.95,0.6,Upgrade
17,Income Tax Expense,-6.37,3.63,-25.06,1.92,1.86,-,-0.1,-,-1.3,-,Upgrade
18,Earnings From Continuing Operations,-57.43,38.51,38.86,50.73,28.81,4.33,20.69,1.42,13.25,0.6,Upgrade
19,Minority Interest in Earnings,-0.29,-0.89,-1.48,-2.21,-1,0.17,-2.47,-0.28,1.19,2.19,Upgrade
20,Net Income,-57.71,37.62,37.38,48.52,27.81,4.5,18.22,1.14,14.44,2.79,Upgrade
21,Net Income to Common,-57.71,37.62,37.38,48.52,27.81,4.5,18.22,1.14,14.44,2.79,Upgrade
22,Net Income Growth,-,-22.47%,34.43%,978.42%,52.60%,293.96%,26.16%,-58.99%,-20.48%,-,Upgrade
23,Shares Outstanding (Basic),374,374,374,374,374,374,374,374,374,374,Upgrade
24,Shares Outstanding (Diluted),374,374,374,374,374,374,374,374,374,374,Upgrade
25,EPS (Basic),-0.15,0.10,0.10,0.13,0.07,0.01,0.05,0.00,0.04,0.01,Upgrade
26,EPS (Diluted),-0.15,0.10,0.10,0.13,0.07,0.01,0.05,0.00,0.04,0.01,Upgrade
27,EPS Growth,-,-22.47%,34.43%,978.44%,52.60%,294.08%,26.16%,-59.01%,-20.48%,-,Upgrade
28,Free Cash Flow,-,37,4.13,60.08,26.84,-5.76,0.69,23.72,23.6,7.98,Upgrade
29,Free Cash Flow Per Share,-,0.10,0.01,0.16,0.07,-0.02,0.00,0.06,0.06,0.02,Upgrade
30,Operating Margin,5.37%,11.21%,2.47%,12.72%,5.51%,1.54%,5.98%,0.94%,-0.94%,0.82%,Upgrade
31,Profit Margin,-17.33%,9.95%,11.47%,11.67%,7.55%,1.44%,5.53%,0.43%,4.64%,1.14%,Upgrade
32,Free Cash Flow Margin,-,9.79%,1.27%,14.45%,7.29%,-1.84%,0.21%,8.90%,7.57%,3.27%,Upgrade
33,EBITDA,38.17,46.34,28.59,56.6,39.61,8.32,31.25,14.04,8.83,13.41,Upgrade
34,D&A For EBITDA,20.28,3.97,20.53,3.72,19.31,3.51,11.56,11.53,11.76,11.4,Upgrade
35,EBIT,17.89,42.37,8.06,52.88,20.3,4.81,19.69,2.51,-2.93,2.01,Upgrade
