,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,855,1004,1245,1297,1372,2009,1863,1951,2677,2025,2013
1,Market Cap Growth,-22.56%,-22.56%,-9.23%,-35.43%,-26.39%,2.98%,-30.39%,-3.69%,32.99%,-,-
2,Enterprise Value,30,105,477,393,214,829,773,767,1688,1097,1692
3,Last Close Price,4.12,4.84,5.64,5.76,6.09,6.99,6.48,6.55,8.99,6.61,6.57
4,PE Ratio,6.20,7.46,8.94,10.03,10.23,13.25,10.91,12.05,17.84,14.28,16.33
5,Forward PE,-,9.23,9.23,9.23,9.23,9.23,9.23,9.61,12.86,11.86,10.57
6,PS Ratio,0.14,0.16,0.21,0.25,0.26,0.40,0.38,0.46,0.70,0.58,0.59
7,PB Ratio,0.68,0.73,0.88,0.99,1.05,1.25,1.14,1.28,1.79,1.48,1.48
8,P/TBV Ratio,0.90,0.90,1.08,1.23,1.31,1.49,1.34,1.50,2.09,1.74,1.72
9,P/FCF Ratio,7.67,-,14.32,-,4.67,11.23,16.14,-,8.43,10.61,17.23
10,P/OCF Ratio,8.67,-,13.74,-,4.56,10.71,15.21,-,8.27,10.26,16.18
11,EV/Sales Ratio,0.00,0.02,0.08,0.07,0.04,0.16,0.16,0.18,0.44,0.31,0.50
12,EV/EBITDA Ratio,0.14,0.58,2.61,2.33,1.19,4.01,3.35,3.47,8.38,6.06,8.66
13,EV/EBIT Ratio,0.17,0.60,2.71,2.46,1.25,4.26,3.50,3.63,8.79,6.37,9.03
14,EV/FCF Ratio,0.27,-,5.48,-,0.73,4.63,6.69,-,5.31,5.75,14.49
15,Debt / Equity Ratio,0.02,0.02,0.03,0.04,0.05,0.03,0.03,0.04,0.05,0.05,0.07
16,Debt / FCF Ratio,0.26,-,0.50,-,0.22,0.26,0.48,-,0.24,0.38,0.78
17,Return on Capital Employed (ROCE),12.37%,12.37%,12.08%,11.76%,12.53%,11.72%,13.11%,13.48%,12.35%,12.13%,13.11%
18,Earnings Yield,15.74%,13.40%,11.19%,9.97%,9.78%,7.55%,9.17%,8.30%,5.61%,7.00%,6.12%
19,FCF Yield,13.04%,11.10%,6.98%,12.69%,21.39%,8.91%,6.20%,9.94%,11.87%,9.43%,5.80%
20,Dividend Yield,7.52%,-,-,-,28.23%,22.91%,-,-,-,-,-
21,Buyback Yield / Dilution,0.31%,-0.58%,1.19%,1.87%,1.00%,0.47%,0.14%,-0.07%,-1.85%,-38.33%,-
22,Total Shareholder Return,7.83%,-0.58%,1.19%,1.87%,29.23%,23.38%,0.14%,-0.07%,-1.85%,-38.33%,-
