,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Cash & Equivalents,542.83,543.44,472.94,455.06,413.72,401.27,419.61,383.43,301.9,266.84
1,Short-Term Investments,4.23,63.7,63.7,-,-,-,-,-,-,-
2,Cash & Short-Term Investments,547.06,607.14,536.64,455.06,413.72,401.27,419.61,383.43,301.9,266.84
3,Cash Growth,1.94%,33.42%,29.71%,13.40%,-1.40%,4.65%,38.99%,43.69%,28.97%,-11.74%
4,Accounts Receivable,323.64,247.93,238.66,239.26,283.49,296.41,231.41,241.23,247.95,280.45
5,Other Receivables,35.51,30.32,35.76,34,42.93,44.42,48.17,44.72,0.53,45.9
6,Receivables,359.24,278.46,274.7,274.32,327.74,341.58,280.32,286.83,249.59,327.38
7,Inventory,296.75,238.99,288.65,280.2,343.47,308.34,307.8,235.61,261.54,275.54
8,Other Current Assets,18.69,10.43,15.5,10.98,12.39,12.63,11.22,12.1,56.41,12.74
9,Total Current Assets,1222,1135,1115,1021,1097,1064,1019,917.97,869.44,882.5
10,"Property, Plant & Equipment",635.39,651.02,659.87,680.66,697.39,710.59,680.64,675.11,692.18,732.38
11,Long-Term Investments,16.26,16.95,16.84,16.38,16.22,16.34,17.49,17.16,17.58,19.08
12,Goodwill,74.94,74.94,74.94,74.94,74.94,74.94,74.94,74.94,74.94,74.94
13,Other Intangible Assets,68.65,71.11,73.57,76.03,78.48,80.94,83.4,85.86,88.32,90.78
14,Long-Term Deferred Tax Assets,4.76,4.75,0.86,1.19,-,-,-,-,-,-
15,Other Long-Term Assets,37.15,20.76,34.07,24.99,13.58,12.34,15.89,10.23,16.48,14.43
16,Total Assets,2059,1975,1976,1895,1978,1959,1892,1783,1760,1816
17,Accounts Payable,198.26,141.3,184.03,131.93,221.88,213.39,222.96,198.68,151.18,187.55
18,Accrued Expenses,198.01,193.88,153.25,166.37,143.32,146.53,115.62,118.46,97.77,128.37
19,Short-Term Debt,9.36,63.7,73.2,101.7,117.54,167.6,174.65,178.41,283.23,277.44
20,Current Portion of Leases,8.92,9.36,8.6,10.31,11.88,11.37,12.82,12.18,10.47,13.07
21,Current Income Taxes Payable,22.17,19.16,30.39,23.85,33.15,22.53,20.82,16.75,19.26,18.97
22,Other Current Liabilities,99.02,53.75,94.87,55.7,83.7,49.77,88.83,50.07,67.75,52.35
23,Total Current Liabilities,535.74,481.14,544.33,489.86,611.47,611.18,635.69,574.55,629.66,677.75
24,Long-Term Leases,15.71,16.83,22.18,20.52,23.78,19.46,22.19,11.9,14.29,16.46
25,Long-Term Deferred Tax Liabilities,38.54,37.63,40.17,38.98,34.52,34.71,31.86,30.38,32.77,32.65
26,Other Long-Term Liabilities,1.06,0.07,0.19,0.32,0.44,0.83,1.16,1.3,1.5,1.3
27,Total Liabilities,591.05,535.66,606.88,549.67,670.2,666.18,690.91,618.13,678.22,728.15
28,Common Stock,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65
29,Additional Paid-In Capital,505.68,505.68,505.68,505.68,505.68,505.68,505.68,505.68,505.68,505.68
30,Retained Earnings,1009,972.22,900.57,869.91,790.23,750.65,666.95,641.94,574.56,577.58
31,Comprehensive Income & Other,-54.94,-47.11,-45.35,-37.76,3.9,28.88,20.53,13.11,-1.76,1.11
32,Total Common Equity,1463,1434,1365,1341,1303,1289,1197,1164,1082,1088
33,Minority Interest,4.66,4.46,4.3,3.82,4.63,4.46,4.28,-,-,-
34,Shareholders' Equity,1468,1439,1369,1345,1308,1293,1201,1164,1082,1088
35,Total Liabilities & Equity,2059,1975,1976,1895,1978,1959,1892,1783,1760,1816
36,Total Debt,33.99,89.89,103.98,132.52,153.2,198.43,209.66,202.49,308,306.97
37,Net Cash (Debt),513.08,517.26,432.66,322.53,260.53,202.85,209.95,180.93,-6.1,-40.13
38,Net Cash Growth,18.59%,60.37%,66.07%,59.01%,24.09%,12.11%,-,-,-,-
39,Net Cash Per Share,0.18,0.18,0.15,0.11,0.09,0.07,0.07,0.06,-0.00,-0.01
40,Filing Date Shares Outstanding,2853,2853,2853,2853,2853,2853,2853,2853,2853,2853
41,Total Common Shares Outstanding,2853,2853,2853,2853,2853,2853,2853,2853,2853,2853
42,Working Capital,686,653.88,571.16,530.71,485.85,452.65,383.26,343.42,239.78,204.75
43,Book Value Per Share,0.51,0.50,0.48,0.47,0.46,0.45,0.42,0.41,0.38,0.38
44,Tangible Book Value,1320,1288,1216,1191,1150,1133,1038,1004,918.87,922.3
45,Tangible Book Value Per Share,0.46,0.45,0.43,0.42,0.40,0.40,0.36,0.35,0.32,0.32
46,Land,-,360.81,-,376.34,-,392.76,-,344.85,-,342.01
47,Machinery,-,614.13,-,601.22,-,607.55,-,571.35,-,547.89
48,Construction In Progress,-,47.99,-,43.03,-,26.6,-,68.91,-,80.63
49,Leasehold Improvements,-,55,-,60.45,-,61.39,-,63.24,-,60.49
