,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,15976,11069,8273,6875,6932,7731,7474,11383,6790,4821,9158
1,Market Cap Growth,61.00%,61.00%,19.34%,-11.07%,-7.25%,-32.08%,10.08%,136.09%,-25.86%,-51.30%,-19.14%
2,Enterprise Value,12006,7063,4916,4390,4924,6184,5877,9980,6837,5134,10612
3,Last Close Price,5.60,3.73,2.70,2.20,2.12,2.32,2.16,3.25,1.89,1.32,2.40
4,PE Ratio,11.77,8.15,6.48,5.13,5.15,5.63,5.88,10.17,8.10,5.21,7.74
5,Forward PE,9.76,7.31,5.86,4.87,4.69,5.42,5.91,8.31,7.19,4.72,7.29
6,PS Ratio,0.90,0.63,0.49,0.39,0.36,0.39,0.41,0.69,0.44,0.28,0.48
7,PB Ratio,1.40,0.97,0.74,0.64,0.66,0.75,0.74,1.22,0.75,0.57,1.08
8,P/TBV Ratio,1.07,1.07,0.82,0.72,0.75,0.86,0.85,1.41,0.87,0.68,1.27
9,P/FCF Ratio,13.84,-,3.94,2.96,3.45,6.42,7.70,5.19,3.29,2.51,5.79
10,P/OCF Ratio,6.57,6.57,3.38,2.38,2.55,4.19,5.05,4.35,2.70,1.84,3.75
11,PEG Ratio,0.87,1.07,1.07,1.07,1.07,1.07,1.07,1.07,1.07,0.91,0.82
12,EV/Sales Ratio,0.68,0.40,0.29,0.25,0.25,0.31,0.32,0.61,0.44,0.30,0.56
13,EV/EBITDA Ratio,5.76,3.53,2.50,1.92,2.14,2.80,2.89,5.33,4.36,3.04,5.26
14,EV/EBIT Ratio,8.27,4.79,3.48,2.60,2.90,3.90,4.12,7.92,7.38,4.96,7.75
15,EV/FCF Ratio,10.40,-,2.34,1.89,2.45,5.13,6.06,4.55,3.32,2.67,6.71
16,Debt / Equity Ratio,0.02,0.02,0.06,0.08,0.10,0.12,0.15,0.17,0.17,0.28,0.28
17,Debt / FCF Ratio,0.23,-,0.33,0.35,0.51,1.00,1.59,0.74,0.76,1.24,1.51
18,Return on Capital Employed (ROCE),12.17%,12.40%,12.10%,15.04%,15.52%,14.80%,13.57%,12.91%,9.89%,11.82%,15.45%
19,Earnings Yield,8.50%,12.26%,15.44%,19.49%,19.43%,17.75%,17.02%,9.83%,12.34%,19.20%,12.92%
20,FCF Yield,7.22%,10.43%,25.40%,33.76%,28.95%,15.59%,12.98%,19.28%,30.36%,39.88%,17.28%
21,Dividend Yield,3.21%,7.33%,6.78%,7.68%,7.94%,6.41%,6.38%,3.01%,4.66%,8.67%,5.21%
22,Buyback Yield / Dilution,-,-,-,-,-,-,-,0.01%,-0.04%,-0.02%,
23,Total Shareholder Return,3.21%,7.33%,6.78%,7.68%,7.94%,6.41%,6.38%,3.01%,4.67%,8.62%,5.19%
