,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q3 2023,Q2 2023,Q1 2023
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023"
0,Revenue,440.68,353.76,353.76,357.04,302.3,302.3
1,Revenue Growth (YoY),45.78%,17.02%,-,-,-,-
2,Cost of Revenue,289.79,230.76,230.76,238.11,211.5,211.5
3,Gross Profit,150.9,123,123,118.93,90.81,90.81
4,"Selling, General & Admin",32.79,24.38,24.38,27.91,21.11,21.11
5,Research & Development,12.53,12.01,12.01,11.77,9.94,9.94
6,Other Operating Expenses,5.1,3.19,3.19,2.54,-0.05,-0.05
7,Operating Expenses,51.62,41.01,41.01,41.6,32.94,32.94
8,Operating Income,99.28,81.98,81.98,77.33,57.87,57.87
9,Interest Expense,-2.89,-1.87,-1.87,-1.92,-1.03,-1.03
10,Interest & Investment Income,1.48,0.91,0.91,1.56,0.69,0.69
11,Currency Exchange Gain (Loss),-9.84,4.92,4.92,-5.52,2.76,2.76
12,Other Non Operating Income (Expenses),6.99,-0.29,-0.29,1.64,-0.56,-0.56
13,EBT Excluding Unusual Items,95.01,85.65,85.65,73.09,59.73,59.73
14,Gain (Loss) on Sale of Investments,1.94,-1.08,-1.08,-1.71,0.25,0.25
15,Gain (Loss) on Sale of Assets,-0.22,-1.73,-1.73,0.03,0,0
16,Asset Writedown,-1.44,-3.34,-3.34,-2.06,-1.45,-1.45
17,Other Unusual Items,19.94,2.18,2.18,-,-,-
18,Pretax Income,115.24,81.68,81.68,69.35,58.53,58.53
19,Income Tax Expense,15.93,13.35,13.35,9.6,9.21,9.21
20,Net Income,99.31,68.33,68.33,59.75,49.32,49.32
21,Net Income to Common,99.31,68.33,68.33,59.75,49.32,49.32
22,Net Income Growth,101.37%,38.56%,-,-,-,-
23,Shares Outstanding (Basic),76,77,77,77,76,76
24,Shares Outstanding (Diluted),76,77,77,77,76,76
25,Shares Change (YoY),0.04%,0.29%,-,-,-,-
26,EPS (Basic),1.30,0.89,0.89,0.78,0.64,0.65
27,EPS (Diluted),1.30,0.89,0.89,0.78,0.64,0.65
28,EPS Growth,101.29%,37.98%,-,-,-,-
29,Free Cash Flow,-21.63,-48.87,-48.87,-33.74,6.24,6.24
30,Free Cash Flow Per Share,-0.28,-0.64,-0.64,-0.44,0.08,0.08
31,Gross Margin,34.24%,34.77%,34.77%,33.31%,30.04%,30.04%
32,Operating Margin,22.53%,23.18%,23.18%,21.66%,19.14%,19.14%
33,Profit Margin,22.54%,19.32%,19.32%,16.73%,16.31%,16.31%
34,Free Cash Flow Margin,-4.91%,-13.81%,-13.81%,-9.45%,2.06%,2.06%
35,EBITDA,118.9,101.6,101.6,90.68,71.21,71.21
36,EBITDA Margin,26.98%,28.72%,28.72%,25.40%,23.56%,23.56%
37,D&A For EBITDA,19.62,19.62,19.62,13.35,13.35,13.35
38,EBIT,99.28,81.98,81.98,77.33,57.87,57.87
39,EBIT Margin,22.53%,23.18%,23.18%,21.66%,19.14%,19.14%
40,Effective Tax Rate,13.82%,16.34%,16.34%,13.85%,15.73%,15.73%
41,Revenue as Reported,440.68,353.76,353.76,357.04,302.3,302.3
