,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q3 2023,Q2 2023,Q1 2023
,Period Ending,"Mar '25 Mar 11, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023"
0,Market Capitalization,4468,4406,-,-,-,-,-
1,Enterprise Value,4088,4585,-,-,-,-,-
2,Last Close Price,43.70,43.10,-,-,-,-,-
3,PE Ratio,10.85,14.90,-,-,-,-,-
4,PS Ratio,2.22,2.93,-,-,-,-,-
5,PB Ratio,2.34,2.31,-,-,-,-,-
6,P/TBV Ratio,2.47,2.47,-,-,-,-,-
7,P/OCF Ratio,17.19,19.08,-,-,-,-,-
8,EV/Sales Ratio,2.70,3.05,-,-,-,-,-
9,EV/EBITDA Ratio,9.48,11.11,-,-,-,-,-
10,EV/EBIT Ratio,12.27,13.46,-,-,-,-,-
11,Debt / Equity Ratio,0.21,0.21,0.28,0.28,-,-,0.24
12,Debt / EBITDA Ratio,0.91,0.83,0.86,0.86,-,-,0.70
13,Debt / FCF Ratio,-,-,-,-,-,-,31.98
14,Asset Turnover,0.82,0.80,-,-,-,-,
15,Inventory Turnover,-,3.49,2.81,-,-,-,-
16,Quick Ratio,2.00,2.00,0.79,0.79,-,-,-
17,Current Ratio,2.76,2.76,1.66,1.66,-,-,-
18,Return on Equity (ROE),25.28%,22.17%,-,-,-,-,
19,Return on Assets (ROA),11.56%,11.54%,-,-,-,-,
20,Return on Capital (ROIC),12.78%,12.96%,-,-,-,-,
21,Return on Capital Employed (ROCE),16.54%,16.92%,22.41%,20.60%,-,-,-
22,Earnings Yield,6.92%,6.71%,-,-,-,-,-
23,FCF Yield,-1.89%,-3.47%,-,-,-,-,-
24,Payout Ratio,6.04%,2.59%,2.66%,2.66%,2.97%,3.03%,3.03%
25,Buyback Yield / Dilution,-0.29%,-0.04%,-0.29%,-,-,-,-
26,Total Shareholder Return,-0.29%,-0.04%,-0.29%,-,-,-,-
