,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q3 2023,Q2 2023,Q1 2023
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023"
0,Cash & Equivalents,772.06,167.87,167.87,-,-,-
1,Trading Asset Securities,1.18,2,2,-,-,-
2,Cash & Short-Term Investments,773.24,169.87,169.87,-,-,112.68
3,Cash Growth,-,50.76%,-,-,-,-
4,Accounts Receivable,212.72,168.95,168.95,-,-,-
5,Other Receivables,19.07,10.61,10.61,-,-,-
6,Receivables,231.78,179.57,179.57,-,-,-
7,Inventory,336.02,328.78,328.78,-,-,-
8,Other Current Assets,50.02,50.76,50.76,-,-,-
9,Total Current Assets,1391,728.98,728.98,-,-,-
10,"Property, Plant & Equipment",975.78,900.42,900.42,-,-,-
11,Other Intangible Assets,126.23,125.24,125.24,-,-,-
12,Long-Term Deferred Tax Assets,6.06,6.34,6.34,-,-,-
13,Long-Term Deferred Charges,1.21,1.63,1.63,-,-,-
14,Other Long-Term Assets,16.62,12.9,12.9,-,-,-
15,Total Assets,2517,1776,1776,-,-,-
16,Accounts Payable,115.08,110.78,110.78,-,-,-
17,Accrued Expenses,33.26,47.14,47.14,-,-,-
18,Short-Term Debt,303.41,255.38,255.38,-,-,-
19,Current Portion of Long-Term Debt,-,3.67,3.67,-,-,-
20,Current Income Taxes Payable,21.62,-,-,-,-,-
21,Current Unearned Revenue,14.29,15.8,15.8,-,-,-
22,Other Current Liabilities,15.97,7.56,7.56,-,-,-
23,Total Current Liabilities,503.62,440.34,440.34,-,-,-
24,Long-Term Debt,88.02,87.98,87.98,-,-,-
25,Long-Term Leases,1.77,1.4,1.4,-,-,-
26,Long-Term Unearned Revenue,13.44,13.14,13.14,-,-,-
27,Long-Term Deferred Tax Liabilities,0.01,0.02,0.02,-,-,-
28,Total Liabilities,606.87,542.88,542.88,-,-,-
29,Common Stock,102.24,76.68,76.68,-,-,-
30,Additional Paid-In Capital,1142,593.29,593.29,-,-,-
31,Retained Earnings,662.25,562.94,562.94,-,-,-
32,Comprehensive Income & Other,3.61,-0.28,-0.28,-,-,-
33,Shareholders' Equity,1910,1233,1233,-,-,843.89
34,Total Liabilities & Equity,2517,1776,1776,-,-,-
35,Total Debt,393.2,348.43,348.43,-,-,199.42
36,Net Cash (Debt),380.05,-178.56,-178.56,-,-,-86.75
37,Net Cash Per Share,4.97,-2.33,-2.33,-,-,-1.13
38,Filing Date Shares Outstanding,102.24,76.68,76.68,76.62,76.46,76.46
39,Total Common Shares Outstanding,102.24,76.68,76.68,76.62,76.46,76.46
40,Working Capital,887.45,288.64,288.64,-,-,-
41,Book Value Per Share,18.68,16.08,16.08,-,-,11.03
42,Tangible Book Value,1784,1107,1107,-,-,737.58
43,Tangible Book Value Per Share,17.45,14.44,14.44,-,-,9.64
44,Construction In Progress,-,185.75,185.75,-,-,-
