,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,10002,6756,8502,10112,9870,9700,9887,16179,18808,37316,-
1,Market Cap Growth,-33.18%,-33.18%,-13.86%,4.24%,-0.16%,-40.04%,-47.43%,-56.64%,-,-,-
2,Enterprise Value,7024,4167,5643,7359,6732,6005,6437,12882,15636,36855,-
3,Last Close Price,8.28,5.58,5.63,6.69,6.37,6.13,6.08,9.89,11.46,22.74,-
4,PE Ratio,16.88,11.77,15.31,16.23,18.24,19.95,17.63,36.46,63.27,167.08,-
5,Forward PE,15.19,10.41,12.65,14.73,16.39,11.48,13.05,31.49,33.82,-,-
6,PS Ratio,9.20,6.41,8.33,10.91,11.10,11.75,11.67,21.80,30.96,68.03,-
7,PB Ratio,3.95,2.66,1.96,2.51,2.35,2.25,2.47,4.38,5.39,11.49,-
8,P/TBV Ratio,2.66,2.66,2.41,3.17,2.99,2.89,2.47,4.38,5.39,11.49,-
9,P/FCF Ratio,24.94,16.84,23.19,32.13,35.84,29.33,19.89,38.08,77.93,117.45,-
10,P/OCF Ratio,13.33,13.33,18.39,25.99,27.34,24.95,18.48,35.96,71.65,113.06,-
11,PEG Ratio,1.18,0.74,1.21,0.96,1.31,0.58,0.45,1.35,0.99,-,-
12,EV/Sales Ratio,6.66,3.95,5.53,7.94,7.57,7.28,7.60,17.36,25.74,67.19,-
13,EV/EBITDA Ratio,12.67,7.57,11.03,14.66,12.94,12.41,12.27,26.92,41.25,103.31,-
14,EV/EBIT Ratio,13.47,7.90,11.58,15.28,13.36,12.78,12.55,27.49,42.24,105.59,-
15,EV/FCF Ratio,17.51,10.39,15.39,23.38,24.44,18.16,12.95,30.32,64.79,116.00,-
16,Debt / Equity Ratio,0.00,0.00,0.01,0.01,0.01,0.01,0.00,0.00,0.00,-,-
17,Debt / FCF Ratio,0.02,0.02,0.13,0.16,0.20,0.17,0.01,0.01,0.02,-,-
18,Return on Capital Employed (ROCE),20.62%,20.62%,10.86%,11.61%,11.63%,10.58%,12.76%,12.65%,10.58%,10.73%,64.48%
19,Earnings Yield,5.74%,8.50%,6.53%,6.16%,5.48%,5.01%,5.67%,2.74%,1.58%,0.60%,-
20,FCF Yield,4.01%,5.94%,4.31%,3.11%,2.79%,3.41%,5.03%,2.63%,1.28%,0.85%,-
21,Buyback Yield / Dilution,1.32%,0.30%,2.32%,3.52%,2.55%,1.35%,1.21%,-80.71%,-21.18%,33.44%,-
22,Total Shareholder Return,6.64%,0.30%,2.32%,3.52%,2.55%,1.35%,1.21%,-80.71%,-21.18%,33.44%,-
