,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Revenue,458.41,522.43,403.59,454.05,332.32,372.14,318.12,298.9,212.59,287.41
1,Revenue Growth (YoY),13.58%,15.06%,21.45%,22.01%,4.46%,24.50%,49.64%,4.00%,-1.61%,-
2,Cost of Revenue,95.29,102.99,81.83,84.51,66.61,70.44,56.9,45.07,34.95,44.25
3,Gross Profit,363.12,419.44,321.76,369.54,265.71,301.7,261.23,253.84,177.63,243.16
4,"Selling, General & Admin",89.92,92.14,77.97,67.75,56.89,61.84,46.74,49.51,45.08,36.28
5,Research & Development,43.35,67.48,60.08,39.74,26.28,19.93,16.07,13.14,12.08,9.21
6,Operating Expenses,132.43,159.04,139.69,105.8,83.81,82.38,62.81,62.65,57.15,45.49
7,Operating Income,230.7,260.41,182.06,263.74,181.9,219.32,198.42,191.19,120.48,197.67
8,Interest Expense,-0.61,-1.08,-1.18,-1.16,-0.72,-0.09,-0.11,-0.04,-,-
9,Interest & Investment Income,62.63,49.25,42.64,43.47,26.53,30,21.59,10.61,6.54,9.31
10,Earnings From Equity Investments,-5.87,-,-,-,-,-,-,-,-,-
11,Currency Exchange Gain (Loss),-,-26.32,23.23,20.96,-24.15,6.58,-3.47,-26.3,1.26,1.92
12,Other Non Operating Income (Expenses),13.59,31.89,22.26,41.92,11.23,10.69,20.08,17.94,17.87,29.45
13,EBT Excluding Unusual Items,300.43,314.15,269.01,368.92,194.79,266.51,236.51,193.4,146.15,238.35
14,Gain (Loss) on Sale of Investments,0.05,3.29,2.27,-0.76,-,33.75,-2.15,2.94,-,-
15,Gain (Loss) on Sale of Assets,27.25,0.05,-,0.19,-,-0.11,-0.01,-,-0.1,0
16,Other Unusual Items,-,-,-,-,-,-,-,-0.18,-32.14,-
17,Pretax Income,327.73,317.49,271.28,368.35,194.79,300.15,234.35,196.16,113.92,238.35
18,Income Tax Expense,52.05,94.49,41.99,60.67,41.3,42.72,34.99,26.61,24.32,42.27
19,Earnings From Continuing Operations,275.69,223,229.3,307.68,153.5,257.43,199.36,169.55,89.6,196.08
20,Minority Interest in Earnings,10.16,25.56,26.16,13.35,4.22,-,-,-,-8.85,-73.26
21,Net Income,285.85,248.56,255.46,321.02,157.71,257.43,199.36,169.55,80.74,122.83
22,Net Income to Common,285.85,248.56,255.46,321.02,157.71,257.43,199.36,169.55,80.74,122.83
23,Net Income Growth,11.89%,-22.57%,61.98%,24.70%,-20.89%,51.83%,146.91%,38.04%,-3.44%,-
24,Shares Outstanding (Basic),1172,1170,1170,1198,1218,1223,1225,1228,677,1027
25,Shares Outstanding (Diluted),1172,1170,1175,1198,1218,1229,1235,1244,683,1027
26,Shares Change (YoY),-0.30%,-2.32%,-3.52%,-2.55%,-1.35%,-1.21%,80.71%,21.18%,-33.44%,-
27,EPS (Basic),0.24,0.21,0.22,0.27,0.13,0.21,0.16,0.14,0.12,0.12
28,EPS (Diluted),0.24,0.21,0.22,0.27,0.13,0.21,0.16,0.14,0.12,0.12
29,EPS Growth,12.24%,-20.72%,67.85%,27.90%,-19.79%,53.77%,36.55%,13.89%,45.21%,-
30,Free Cash Flow,186.42,186.86,145.93,145.31,98.3,184.04,220.84,132.41,70.8,218.8
31,Free Cash Flow Per Share,0.16,0.16,0.12,0.12,0.08,0.15,0.18,0.11,0.10,0.21
32,Operating Margin,50.32%,49.84%,45.11%,58.09%,54.74%,58.93%,62.37%,63.96%,56.67%,68.78%
33,Profit Margin,62.36%,47.58%,63.30%,70.70%,47.46%,69.18%,62.67%,56.73%,37.98%,42.74%
34,Free Cash Flow Margin,40.67%,35.77%,36.16%,32.00%,29.58%,49.45%,69.42%,44.30%,33.30%,76.13%
35,EBITDA,240.7,271.73,192.85,271.73,188.59,224.45,202.81,195.09,124.06,201.1
36,D&A For EBITDA,10.01,11.33,10.78,7.99,6.69,5.13,4.39,3.9,3.57,3.43
37,EBIT,230.7,260.41,182.06,263.74,181.9,219.32,198.42,191.19,120.48,197.67
