,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021
,Period Ending,"Mar '25 Mar 10, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022"
0,Market Capitalization,3078,2308,1978,2169,2722,2907,2963,3456,3031,-,-,-,-
1,Market Cap Growth,-20.62%,-20.62%,-33.23%,-37.24%,-10.21%,-,-,-,-,-,-,-,-
2,Enterprise Value,1600,917,571,766,1319,1548,1545,3004,2579,-,-,-,-
3,Last Close Price,17.10,12.67,10.86,11.74,14.73,15.73,16.03,18.23,15.99,-,-,-,-
4,PE Ratio,90.18,68.28,97.17,99.94,-,38.26,26.71,22.55,18.32,-,-,-,-
5,PS Ratio,5.51,4.17,3.72,4.06,5.14,5.36,4.49,4.49,3.82,-,-,-,-
6,PB Ratio,1.72,1.29,1.13,1.23,1.56,1.66,1.71,1.93,1.72,-,-,-,-
7,P/TBV Ratio,1.29,1.29,1.13,1.23,1.56,1.66,1.71,1.94,1.72,-,-,-,-
8,P/FCF Ratio,24.78,18.58,23.42,-,22.33,35.65,38.94,68.53,87.38,-,-,-,-
9,P/OCF Ratio,13.72,13.72,15.66,-,17.80,28.30,30.45,51.91,57.82,-,-,-,-
10,EV/Sales Ratio,2.89,1.66,1.08,1.44,2.49,2.85,2.34,3.90,3.25,-,-,-,-
11,EV/EBITDA Ratio,150.74,194.84,-50.90,-,-,23.11,13.22,17.66,13.72,-,-,-,-
12,EV/EBIT Ratio,-,665.23,-39.27,-,-,24.20,13.57,17.98,13.95,-,-,-,-
13,EV/FCF Ratio,12.88,7.39,6.76,-,10.82,18.99,20.31,59.56,74.34,-,-,-,-
14,Debt / Equity Ratio,0.02,0.02,0.02,0.03,0.03,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02
15,Debt / EBITDA Ratio,3.84,0.57,0.57,-,-,1.43,0.09,0.15,0.09,0.07,0.05,0.11,0.04
16,Debt / FCF Ratio,0.33,0.33,0.52,-,0.40,0.14,0.14,0.19,0.34,0.32,-,-,0.83
17,Asset Turnover,0.26,0.28,0.22,0.34,0.22,0.30,0.21,0.48,0.84,-,-,-,
18,Inventory Turnover,6.76,6.17,7.99,7.06,7.96,6.38,7.43,4.47,6.25,5.89,-,-,-
19,Quick Ratio,8.15,8.15,9.55,7.80,7.41,9.10,10.64,7.82,7.63,2.82,2.50,-,1.85
20,Current Ratio,8.43,8.43,9.85,8.03,7.68,9.46,10.95,8.21,8.05,3.36,3.08,-,2.39
21,Return on Equity (ROE),4.82%,4.50%,0.79%,-2.50%,1.83%,4.80%,3.55%,9.79%,22.81%,37.69%,18.05%,-,
22,Return on Assets (ROA),2.14%,1.47%,-0.56%,-2.89%,0.16%,2.89%,1.88%,4.03%,11.96%,-,-,-,
23,Return on Capital (ROIC),2.36%,1.63%,-0.63%,-3.22%,0.17%,3.20%,2.12%,4.85%,16.65%,27.58%,12.99%,-,
24,Return on Capital Employed (ROCE),-,0.08%,-0.81%,-,-,3.64%,6.53%,9.31%,10.43%,30.77%,25.92%,-,13.13%
25,Earnings Yield,1.10%,1.46%,1.03%,1.00%,1.25%,2.61%,3.74%,4.43%,5.46%,-,-,-,-
26,FCF Yield,4.04%,5.38%,4.27%,4.59%,4.48%,2.81%,2.57%,1.46%,1.14%,-,-,-,-
27,Dividend Yield,1.04%,2.66%,-,-,1.15%,-,-,-,2.79%,-,-,-,-
28,Payout Ratio,90.55%,-,154.43%,-,-,-,379.95%,-,-,-,-,-,-
29,Buyback Yield / Dilution,-3.09%,4.84%,-4.12%,0.09%,-15.18%,-39.40%,-32.13%,-29.29%,-13.57%,-,-,-,-
30,Total Shareholder Return,-2.05%,7.50%,-4.12%,0.09%,-14.03%,-39.40%,-32.13%,-29.29%,-10.77%,-,-,-,-
