,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022"
0,Cash & Equivalents,779.07,589.89,633.89,1060,861.07,704,800.46,1419,466.48,426.44,-,440.69
1,Trading Asset Securities,740,844,820,410,553,665,627,-,-,-,-,-
2,Cash & Short-Term Investments,1519,1434,1454,1470,1414,1369,1427,1419,466.48,426.44,440.69,440.69
3,Cash Growth,7.42%,4.74%,1.85%,3.60%,203.14%,221.03%,223.91%,222.01%,-,-,-,-
4,Accounts Receivable,245.59,260.36,292.35,269.79,316.17,334.52,379.28,354.96,364.81,350.06,-,291.34
5,Other Receivables,8.69,9.35,10,9.45,7.35,3.62,3.25,3.98,3.94,3.15,-,3.07
6,Receivables,254.28,269.71,302.36,279.24,323.52,338.14,382.53,358.93,368.75,353.21,-,294.41
7,Inventory,53.69,45.97,38.34,51.66,46.37,39.72,53.44,60.72,77.24,111.62,-,146.49
8,Other Current Assets,8.09,8.4,13.72,13.22,22.65,10.73,38.08,38.69,81.59,71,-,65.27
9,Total Current Assets,1835,1758,1808,1814,1807,1758,1902,1877,994.06,962.27,-,946.86
10,"Property, Plant & Equipment",68.06,70.31,107.06,112.29,51.26,50.93,51.49,53.96,57.2,58.56,-,61.28
11,Long-Term Investments,0.86,0.84,0.96,0.96,1,1,-,-,-,-,-,-
12,Goodwill,0.78,0.78,0.78,0.78,-,-,2.47,2.47,-,-,-,-
13,Long-Term Deferred Tax Assets,30.29,29.87,27.33,27.33,17.84,17.84,16.18,16.19,14.04,12.85,-,10.23
14,Long-Term Deferred Charges,31.95,33.73,34.42,12.65,1.38,1.76,2.14,2.51,2.89,3.27,-,4.02
15,Other Long-Term Assets,72.72,75.09,43.05,53.94,71.47,74.26,52.12,52.89,16.26,14.44,-,4.83
16,Total Assets,2040,1969,2022,2022,1950,1903,2026,2005,1084,1051,-,1027
17,Accounts Payable,30.1,23.01,26.63,29.95,29.94,25.69,46.86,49.01,89.54,78.86,-,69.24
18,Accrued Expenses,1.35,35.4,27.17,70.92,1.33,36.83,13.13,60.35,16.07,40.53,-,74.92
19,Current Portion of Leases,9.14,11.92,10.1,11.5,4.54,3.47,2.97,4.08,3.81,2.86,-,4.85
20,Current Income Taxes Payable,32.03,4.64,33.97,10.71,30.99,4.98,46.34,18.08,49.9,11.06,-,23.16
21,Current Unearned Revenue,141.38,101.68,125.87,110.56,122.66,86.75,120.98,100.39,132.66,162.47,-,211.07
22,Other Current Liabilities,3.66,1.8,1.36,2.6,1.52,2.74,1.27,1.18,3.72,16.33,-,13.63
23,Total Current Liabilities,217.66,178.46,225.1,236.25,190.98,160.46,231.55,233.09,295.7,312.11,-,396.87
24,Long-Term Leases,31.66,31.77,36.68,37.04,6.74,6.85,6.84,7.8,10.37,11.73,-,9.81
25,Long-Term Deferred Tax Liabilities,0.04,0.04,0.04,0.05,0.05,0.06,0.06,0.06,-,-,-,-
26,Other Long-Term Liabilities,-,0.1,-,-,-,-,-,-,0.5,0.5,-,0.5
27,Total Liabilities,249.36,210.37,261.82,273.33,197.78,167.37,238.46,240.95,306.57,324.34,-,407.19
28,Common Stock,180,180,180,180,180,180,120,120,90,90,-,90
29,Additional Paid-In Capital,1217,1206,1197,1189,1181,1174,1226,1218,292.84,285.14,-,269.73
30,Retained Earnings,393.55,372.15,382.93,379.44,389.98,382.02,441.26,425.88,394.67,351.76,-,260.33
31,Comprehensive Income & Other,0.37,0.44,0.4,0.4,0.43,0.33,0.21,0.33,0.37,0.14,-,-0.04
32,Total Common Equity,1790,1758,1760,1749,1752,1736,1787,1764,777.88,727.04,620.02,620.02
33,Minority Interest,-0,-0.01,-0.01,0.01,-,-,-,-,-,-,-,-
34,Shareholders' Equity,1790,1758,1760,1749,1752,1736,1787,1764,777.88,727.04,620.02,620.02
35,Total Liabilities & Equity,2040,1969,2022,2022,1950,1903,2026,2005,1084,1051,-,1027
36,Total Debt,40.8,43.69,46.77,48.54,11.29,10.32,9.82,11.87,14.18,14.59,14.66,14.66
37,Net Cash (Debt),1478,1390,1407,1422,1403,1359,1418,1407,452.3,411.85,426.03,426.03
38,Net Cash Growth,5.38%,2.32%,-0.74%,1.03%,210.14%,229.90%,232.76%,230.30%,-,-,-,-
39,Net Cash Per Share,8.31,7.56,8.05,8.06,7.50,7.70,8.10,9.19,3.37,3.08,3.15,3.16
