,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022"
0,Operating Revenue,129.9,142.07,110.73,170.29,107.94,144.87,106.07,183.37,224.73,255.33,130.92,256.52
1,Other Revenue,-0.05,0.05,-,0.11,-0.05,0.05,-,0.14,-0.05,0.05,-,0.09
2,Revenue,129.85,142.12,110.73,170.4,107.89,144.91,106.07,183.51,224.68,255.38,130.92,256.62
3,Revenue Growth (YoY),20.35%,-1.93%,4.39%,-7.14%,-51.98%,-43.26%,-18.98%,-28.49%,-,-,-,-
4,Cost of Revenue,76.8,84.16,79.46,97.57,68.63,86.52,63.75,107.7,139.06,142.9,70.74,122.06
5,Gross Profit,53.05,57.96,31.27,72.83,39.27,58.4,42.32,75.8,85.63,112.48,60.18,134.56
6,"Selling, General & Admin",29.28,24.97,29.4,29.53,29.44,19.23,19.45,22.35,19.87,17.01,19.11,17.84
7,Research & Development,5.6,6.46,6.26,9.4,6.92,5.4,5.85,12.66,5.37,5.3,5.66,6.52
8,Other Operating Expenses,1.13,1.39,0.15,0.39,1.81,-0.79,-0.55,5.18,0.42,-0.01,-2.13,4.31
9,Operating Expenses,35.92,46.22,35.8,95.79,38.05,35.71,27.16,50.88,34.55,36.56,27.19,51.82
10,Operating Income,17.13,11.73,-4.53,-22.95,1.21,22.68,15.16,24.92,51.07,75.92,32.99,82.74
11,Interest Expense,-0.42,-0.44,-0.45,-0.32,-0.08,-0.09,-0.12,-0.17,-0.1,-0.27,-0.26,-
12,Interest & Investment Income,8.3,11.26,10.26,18.72,6.94,5.9,3.92,5.25,0.89,0.91,0.91,1.64
13,Currency Exchange Gain (Loss),0,-0,-,0,-0.11,0.11,-,-0,0,-0,-,-
14,Other Non Operating Income (Expenses),-0.46,-0.08,-0.12,-0.89,0.11,-0.53,-0.22,-1.05,-0.63,-0.83,-0.54,-0.6
15,EBT Excluding Unusual Items,24.55,22.47,5.15,-5.44,8.06,28.07,18.73,28.95,51.23,75.74,33.11,83.79
16,Impairment of Goodwill,-,-,-,-2.47,2.47,-2.47,-,-,-,-,-,-
17,Gain (Loss) on Sale of Assets,-0.03,0.28,-0.07,0.83,-0.27,0.3,-,0.09,-,-0,-,-
18,Asset Writedown,-0.04,-,-,-3.22,-2.5,-0.02,-,-2,-0.19,-0.61,0.61,1.06
19,Other Unusual Items,-0.04,0.47,0.01,0.07,-0.13,0.13,-,9.02,0.78,-0.78,-,2.49
20,Pretax Income,24.44,23.23,5.1,-10.24,7.63,26.01,18.73,36.06,51.83,74.34,33.72,87.34
21,Income Tax Expense,3.04,3.43,1.63,0.71,-0.34,4.85,2.98,4.94,8.92,10.88,5.75,13.57
22,Earnings From Continuing Operations,21.4,19.8,3.47,-10.94,7.96,21.16,15.75,31.12,42.91,63.46,27.97,73.78
23,Minority Interest in Earnings,0,0.01,0.02,0.03,-,-,-,-,-,-,-,-
24,Net Income,21.4,19.81,3.5,-10.92,7.96,21.16,15.75,31.12,42.91,63.46,27.97,73.78
25,Net Income to Common,21.4,19.81,3.5,-10.92,7.96,21.16,15.75,31.12,42.91,63.46,27.97,73.78
26,Net Income Growth,168.77%,-6.36%,-77.80%,-,-81.44%,-66.66%,-43.70%,-57.82%,-,-,-,-
27,Shares Outstanding (Basic),178,184,175,176,187,177,175,153,134,134,135,135
28,Shares Outstanding (Diluted),178,184,175,176,187,177,175,153,134,134,135,135
29,Shares Change (YoY),-4.84%,4.12%,-0.09%,15.18%,39.40%,32.13%,29.29%,13.57%,-,-,-,-
30,EPS (Basic),0.12,0.11,0.02,-0.06,0.04,0.12,0.09,0.20,0.32,0.48,0.21,0.55
31,EPS (Diluted),0.12,0.11,0.02,-0.06,0.04,0.12,0.09,0.20,0.32,0.48,0.21,0.55
32,EPS Growth,182.42%,-10.07%,-77.78%,-,-86.69%,-74.77%,-56.46%,-62.86%,-,-,-,-
33,Free Cash Flow,81.41,9.58,-15.58,48.79,41.7,24.71,6.68,8.46,36.24,-0.95,-9.07,17.75
34,Free Cash Flow Per Share,0.46,0.05,-0.09,0.28,0.22,0.14,0.04,0.06,0.27,-0.01,-0.07,0.13
35,Dividend Per Share,0.167,-,-,0.170,-,-,-,0.447,-,-,-,-
36,Dividend Growth,-,-,-,-61.94%,-,-,-,-,-,-,-,-
37,Gross Margin,40.86%,40.78%,28.24%,42.74%,36.39%,40.30%,39.90%,41.31%,38.11%,44.04%,45.97%,52.44%
38,Operating Margin,13.19%,8.26%,-4.09%,-13.47%,1.12%,15.65%,14.29%,13.58%,22.73%,29.73%,25.20%,32.24%
