,Fiscal Quarter,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,+2 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020",+2 Quarters
0,Rental Revenue,33.26,34.91,34.64,33.53,33.41,36.19,36.8,36.97,41.41,40.41,Upgrade
1,Gain (Loss) on Sale of Investments (Rev),0.14,-0.44,-1.38,-1.21,-0.06,0.28,-1.65,2.46,1.17,-3.89,Upgrade
2,Other Revenue,26.07,27.99,27.18,28.54,26.37,32.02,28.53,29.56,23.18,22.19,Upgrade
3,Total Revenue,87.12,95.09,94.89,88.74,76.33,71.26,65.78,72.23,73.72,86.77,Upgrade
4,Revenue Growth (YoY,-8.19%,7.16%,24.32%,24.54%,16.03%,-1.35%,-10.77%,-16.75%,-31.70%,-80.25%,Upgrade
5,Depreciation & Amortization,1.67,1.68,1.68,1.7,1.7,1.7,1.7,1.71,1.7,1.6,Upgrade
6,Other Operating Expenses,19.02,19.22,16.79,15.98,18.11,16.13,16.58,14.74,17.45,16.01,Upgrade
7,Total Operating Expenses,20.69,20.9,18.48,17.67,19.8,17.84,18.28,16.45,19.15,17.61,Upgrade
8,Operating Income,66.43,74.19,76.42,71.07,56.53,53.42,47.5,55.78,54.57,69.16,Upgrade
9,Currency Exchange Gain (Loss),-5.98,-0.02,-1.65,2.28,-2.24,1.91,3.11,5.66,29.67,-22.91,Upgrade
10,Other Non-Operating Income,-,0.03,-,0.16,-,-,-,-,-,-,Upgrade
11,EBT Excluding Unusual Items,60.45,74.21,74.77,73.51,54.29,55.33,50.61,61.45,84.23,46.25,Upgrade
12,Gain (Loss) on Sale of Investments,-113.85,-125.3,-107.61,-9.24,2.31,41.1,16.58,-45.27,-86.62,-40.84,Upgrade
13,Gain (Loss) on Sale of Assets,109.25,-,-,-,-,-,-,-,-,-0.04,Upgrade
14,Asset Writedown,-85.22,-46.15,-125.97,-87.52,-184.82,-49.2,-29.04,29.8,-47.18,-72.73,Upgrade
15,Other Unusual Items,-,0.54,-,0.46,-,0.3,-,0.44,-,0.32,Upgrade
16,Pretax Income,-29.37,-96.71,-158.81,-22.78,-128.22,47.54,38.15,46.41,-49.56,-67.04,Upgrade
17,Income Tax Expense,4.84,4.27,2.44,1.59,2.64,6.31,7.03,5.59,9.19,5.97,Upgrade
18,Net Income,-34.21,-100.98,-161.24,-24.37,-130.86,41.23,31.12,40.83,-58.75,-73.01,Upgrade
19,Net Income to Common,-34.21,-100.98,-161.24,-24.37,-130.86,41.23,31.12,40.83,-58.75,-73.01,Upgrade
20,Net Income Growth,-,-,-,-,-,0.98%,-,-,-,-,Upgrade
21,Basic Shares Outstanding,45,45,45,45,45,45,45,45,45,45,Upgrade
22,Diluted Shares Outstanding,45,45,45,45,45,45,45,45,45,45,Upgrade
23,Shares Change (YoY),-0.05%,-0.03%,-0.07%,-0.04%,-,-,-,-,-,-,Upgrade
24,EPS (Basic),-0.76,-2.23,-3.56,-0.54,-2.89,0.91,0.69,0.90,-1.30,-1.61,Upgrade
25,EPS (Diluted),-0.76,-2.23,-3.56,-0.54,-2.89,0.91,0.69,0.90,-1.30,-1.61,Upgrade
26,EPS Growth,-,-,-,-,-,0.98%,-,-,-,-,Upgrade
27,Dividend Per Share,0.100,0.400,0.100,0.400,0.100,0.400,0.100,0.400,0.100,0.400,Upgrade
28,Operating Margin,76.25%,78.02%,80.53%,80.08%,74.06%,74.97%,72.21%,77.23%,74.02%,79.71%,Upgrade
29,Profit Margin,-39.26%,-106.19%,-169.92%,-27.47%,-171.44%,57.86%,47.31%,56.52%,-79.69%,-84.14%,Upgrade
30,Free Cash Flow Margin,-,15.92%,14.75%,17.76%,12.23%,16.77%,22.27%,62.95%,27.53%,25.94%,Upgrade
31,EBITDA,68.11,75.87,78.1,72.76,58.22,55.12,49.2,57.49,56.27,70.76,Upgrade
32,D&A For Ebitda,1.68,1.68,1.68,1.7,1.7,1.7,1.7,1.71,1.7,1.6,Upgrade
33,EBIT,66.43,74.19,76.42,71.07,56.53,53.42,47.5,55.78,54.57,69.16,Upgrade
