,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Cash & Equivalents,600.1,1287,1303,1238,571.23,576.71,521.01,414.93,922.8,937.6,Upgrade
1,Short-Term Investments,3180,3428,4331,6101,5749,5485,5215,4846,4211,3193,Upgrade
2,Trading Asset Securities,3049,3663,4702,3739,7029,6106,5979,3618,2589,2189,Upgrade
3,Accounts Receivable,4370,3771,4362,4144,7279,7451,13246,4908,4418,2532,Upgrade
4,Other Receivables,0.08,12.73,54.84,45.94,41.85,42.14,27.7,33.24,9.78,7.4,Upgrade
5,"Property, Plant & Equipment",63.11,86.49,90.59,114.53,130.49,160.59,90.24,51.65,59.55,78.41,Upgrade
6,Other Intangible Assets,4.21,4.21,4.21,4.21,4.21,4.21,4.21,4.21,4.21,4.21,Upgrade
7,Investments in Debt & Equity Securities,224.59,288.92,377.35,740.45,1016,1785,1672,1835,2376,1138,Upgrade
8,Other Current Assets,228.07,213.22,304.86,275.17,612.77,1159,541.13,545.29,417.23,111.32,Upgrade
9,Long-Term Deferred Tax Assets,25.89,26.74,86.16,89.33,247.49,116.65,6.35,3.95,2.13,5.39,Upgrade
10,Other Long-Term Assets,48.71,69.39,39.59,23.93,24.81,20.66,20.87,28.12,35.51,34.66,Upgrade
11,Total Assets,11794,12852,15656,16517,22706,22907,27323,16289,15046,10232,Upgrade
12,Accounts Payable,6141,5946,6349,6524,9330,8334,9238,6260,6019,5000,Upgrade
13,Accrued Expenses,-,51.1,0.38,118.96,2.57,98.65,18.31,136.52,4.96,79.28,Upgrade
14,Short-Term Debt,176.88,682.44,2568,3342,5917,4478,9946,4340,4387,778.9,Upgrade
15,Current Portion of Leases,48.42,48.95,45.3,48.46,52.92,60.24,55.08,25.79,28.59,32.47,Upgrade
16,Other Current Liabilities,2644,3282,3717,3382,3403,5898,3971,1436,612.68,357.3,Upgrade
17,Long-Term Leases,25.04,46.38,58.14,76,85.63,106.56,23.53,13.08,23.53,36.46,Upgrade
18,Long-Term Deferred Tax Liabilities,0.5,0.55,0.17,0.66,0.71,0.8,0.58,0.58,1.01,1.01,Upgrade
19,Total Liabilities,9042,10062,12745,13557,19011,19053,23300,12250,11113,6312,Upgrade
20,Common Stock,2782,2782,2782,2782,2782,2782,2782,2782,2782,2782,Upgrade
21,Retained Earnings,-28.65,8.67,129.78,201.12,957.62,1081,1230,1239,1144,1110,Upgrade
22,Comprehensive Income & Other,-1.08,-0.97,-0.85,-23.72,-45.1,-11.49,7.4,14.32,3.46,23.76,Upgrade
23,Total Common Equity,2753,2790,2911,2960,3695,3852,4020,4036,3930,3917,Upgrade
24,Minority Interest,-,-,-,-,-,2.63,2.63,2.63,2.63,2.63,Upgrade
25,Shareholders' Equity,2753,2790,2911,2960,3695,3855,4023,4039,3933,3919,Upgrade
26,Total Liabilities & Equity,11794,12852,15656,16517,22706,22907,27323,16289,15046,10232,Upgrade
27,Total Debt,250.34,777.77,2671,3467,6055,4645,10025,4379,4439,847.84,Upgrade
28,Net Cash (Debt),6579,7601,7665,7612,7294,7523,1690,4500,3284,5473,Upgrade
29,Net Cash Growth,-14.17%,-0.15%,5.09%,1.19%,331.58%,67.15%,-48.53%,-17.76%,-21.41%,-2.84%,Upgrade
30,Net Cash Per Share,4.21,4.87,4.91,4.88,4.67,4.82,1.08,2.88,2.10,3.50,Upgrade
31,Filing Date Shares Outstanding,1561,1561,1561,1561,1561,1561,1561,1561,1561,1561,Upgrade
32,Total Common Shares Outstanding,1561,1561,1561,1561,1561,1561,1561,1561,1561,1561,Upgrade
33,Working Capital,2412,2361,2372,2064,2359,1875,2253,2129,1480,2696,Upgrade
34,Book Value Per Share,1.76,1.79,1.86,1.90,2.37,2.47,2.58,2.59,2.52,2.51,Upgrade
35,Tangible Book Value,2749,2786,2907,2956,3691,3848,4016,4032,3926,3912,Upgrade
36,Tangible Book Value Per Share,1.76,1.78,1.86,1.89,2.36,2.46,2.57,2.58,2.51,2.51,Upgrade
