,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,1381,1304,1351,1609,-,895.32,-,996.88,996.88,651.56,651.56
1,Cash & Short-Term Investments,1381,1304,1351,1609,-,895.32,1123,996.88,996.88,651.56,651.56
2,Cash Growth,-,45.64%,20.25%,61.44%,-,37.41%,72.41%,-,-,-,-
3,Accounts Receivable,561.54,593.98,537.73,325.99,-,450.93,-,156.15,156.15,345.61,345.61
4,Other Receivables,23.41,30.15,25.88,21.25,-,-4.3,-,28.79,28.79,56,56
5,Receivables,584.95,624.13,563.61,347.24,-,446.66,-,184.98,184.98,401.63,401.63
6,Inventory,124.54,113.57,97.49,81.12,-,56.77,-,21.07,21.07,13.68,13.68
7,Prepaid Expenses,-,-,-,-,-,-,-,-,-,0,0
8,Other Current Assets,51.2,37.21,46.12,33.06,-,53.86,-,43.02,43.02,44.07,44.07
9,Total Current Assets,2142,2079,2058,2071,-,1453,-,1246,1246,1111,1111
10,"Property, Plant & Equipment",847,802.43,768.59,783.8,-,755.45,-,764.27,764.27,772.12,772.12
11,Long-Term Investments,62.46,63.57,62.37,60.74,-,59.4,-,55.96,55.96,53.27,53.27
12,Goodwill,7.04,5.12,4,4,-,4.86,-,3.3,3.3,3.3,3.3
13,Other Intangible Assets,297.61,299.11,300.79,284.21,-,287.39,-,202.64,202.64,204.23,204.23
14,Long-Term Deferred Tax Assets,20.29,19.15,17.8,14.23,-,46.99,-,9.77,9.77,13.38,13.38
15,Long-Term Deferred Charges,75.38,76.26,77.01,79.69,-,82.24,-,46.35,46.35,45.23,45.23
16,Other Long-Term Assets,43.93,41.76,42.47,44.71,-,45.57,-,48.02,48.02,55.91,55.91
17,Total Assets,3495,3386,3331,3342,-,2735,-,2376,2376,2258,2258
18,Accounts Payable,86.09,89.92,87.98,90.37,-,85.25,-,56.28,56.28,64.99,64.99
19,Accrued Expenses,260.48,270.24,187.62,296.31,-,259.68,-,272.07,272.07,225.1,225.1
20,Short-Term Debt,81.39,85.39,67.64,54.98,-,44.97,-,60.5,60.5,37.54,37.54
21,Current Portion of Long-Term Debt,19.35,1.5,14.83,3,-,2.5,-,2.5,2.5,3.81,3.81
22,Current Portion of Leases,-,13.54,-,14.83,-,18.38,-,17.75,17.75,16.96,16.96
23,Current Income Taxes Payable,50.3,28.29,37.76,29.95,-,27.63,-,30.51,30.51,25.35,25.35
24,Current Unearned Revenue,110,94.67,111.64,66.96,-,55.65,-,53.3,53.3,50.67,50.67
25,Other Current Liabilities,105.75,77.64,56.26,49.83,-,83.24,-,56.89,56.89,72.14,72.14
26,Total Current Liabilities,713.36,661.2,563.73,606.24,-,577.3,-,549.8,549.8,496.56,496.56
27,Long-Term Debt,8.02,8.02,9.52,9.51,-,11.52,-,15.02,15.02,13.52,13.52
28,Long-Term Leases,101.78,93.81,82.04,98.5,-,78.3,-,103.26,103.26,101.04,101.04
29,Long-Term Unearned Revenue,-,-,-,-,-,0.02,-,0.13,0.13,1.37,1.37
30,Long-Term Deferred Tax Liabilities,0.01,0.01,0.01,0.01,-,27.83,-,-,-,-,-
31,Total Liabilities,823.17,763.04,655.3,714.27,-,694.97,-,668.22,668.22,612.49,612.49
32,Common Stock,107.53,107.53,107.53,107.53,-,80.65,-,80.65,80.65,80.65,80.65
33,Additional Paid-In Capital,841.84,841.84,841.84,841.84,-,397.49,-,390.44,390.44,390.44,390.44
34,Retained Earnings,744.58,711.35,731.99,712.25,-,642.13,-,483.18,483.18,425.32,425.32
35,Comprehensive Income & Other,55.55,54,53.06,52.32,-,53.78,-,47.38,47.38,44.45,44.45
36,Total Common Equity,1750,1715,1734,1714,-,1174,1125,1002,1002,940.86,940.86
37,Minority Interest,922.69,908.52,941.35,913.94,-,865.5,-,706.39,706.39,705.05,705.05
38,Shareholders' Equity,2672,2623,2676,2628,-,2040,1952,1708,1708,1646,1646
39,Total Liabilities & Equity,3495,3386,3331,3342,-,2735,-,2376,2376,2258,2258
40,Total Debt,210.53,202.26,174.03,180.83,-,155.67,168.86,199.04,199.04,172.87,172.87
41,Net Cash (Debt),1170,1102,1177,1429,-,739.65,954.52,797.84,797.84,478.7,478.7
42,Net Cash Growth,-,48.95%,23.28%,79.05%,-,54.51%,99.40%,-,-,-,-
43,Net Cash Per Share,10.93,10.38,10.73,13.29,-,9.30,11.80,9.93,9.93,5.95,5.95
44,Filing Date Shares Outstanding,107.53,107.53,107.53,107.53,81.39,80.65,80.92,80.65,80.65,80.65,80.65
45,Total Common Shares Outstanding,107.53,107.53,107.53,107.53,81.39,80.65,80.92,80.65,80.65,80.65,80.65
46,Working Capital,1428,1418,1494,1465,-,875.32,-,696.14,696.14,614.39,614.39
47,Book Value Per Share,16.27,15.95,16.13,15.94,-,14.56,13.95,12.42,12.42,11.67,11.67
48,Tangible Book Value,1445,1410,1430,1426,-,881.79,906.2,795.71,795.71,733.33,733.33
49,Tangible Book Value Per Share,13.44,13.12,13.30,13.26,-,10.93,11.24,9.87,9.87,9.09,9.09
50,Buildings,-,708.97,-,708.97,-,708.01,-,661.59,661.59,655.91,655.91
51,Machinery,-,648.7,-,644.66,-,644.65,-,628.32,628.32,637.7,637.7
52,Construction In Progress,-,112.37,-,57.76,-,31.36,-,14.1,14.1,8.18,8.18
