,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,682.8,647.82,600.72,-,620.09,578.48,548.33,564.61,564.61,518.25,518.25
1,Other Revenue,-8.29,8.29,-,-,-19.9,19.9,-,8.64,8.64,7.11,7.11
2,Revenue,674.51,656.11,600.72,669.09,600.19,598.38,548.33,573.24,573.24,525.37,525.37
3,Revenue Growth (YoY),12.38%,9.65%,9.55%,16.72%,4.70%,13.90%,4.37%,-,-,-,-
4,Cost of Revenue,508.87,496.9,456.65,-,453.27,444.97,414.84,440.25,440.25,397.56,397.56
5,Gross Profit,165.63,159.21,144.07,162.87,146.92,153.42,133.49,132.99,132.99,127.81,127.81
6,"Selling, General & Admin",60.92,57.25,56.99,-,53.73,53.13,50.51,55.42,55.42,45.95,45.95
7,Research & Development,5.51,5.95,3.95,-,6.09,4.36,5.19,2.02,2.02,2.04,2.04
8,Other Operating Expenses,-2.46,7.02,3.02,-,0.87,2.36,-0.89,2.65,2.65,3.23,3.23
9,Operating Expenses,64.32,75.32,84.22,-,63.16,65.19,74.4,49.71,49.71,63.97,63.97
10,Operating Income,101.31,83.9,59.86,-,83.76,88.23,59.08,83.28,83.28,63.83,63.83
11,Interest Expense,-2.66,-1.82,-1.38,-2,-1.84,-1.86,-1.82,-2.64,-2.64,-1.86,-1.86
12,Interest & Investment Income,3.77,9.68,8.67,-,5.12,7.97,6.4,4.86,4.86,2.87,2.87
13,Other Non Operating Income (Expenses),-1.46,-0.13,-0.08,-,-1.08,-1.54,-0.3,0.2,0.2,-0.43,-0.43
14,EBT Excluding Unusual Items,100.97,91.63,67.07,107.24,85.96,92.8,63.37,85.7,85.7,64.42,64.42
15,Gain (Loss) on Sale of Assets,-0.04,-0.14,-0.02,-,-0.32,0.49,-0.3,-0.48,-0.48,-0.3,-0.3
16,Asset Writedown,0.28,-0.28,-,-,0.23,-0.09,-,-0.17,-0.17,-0.01,-0.01
17,Other Unusual Items,-2.53,2.53,-,-,-,-,-,5.34,5.34,1.95,1.95
18,Pretax Income,98.66,93.75,67.05,-,85.87,93.21,63.07,90.39,90.39,66.06,66.06
19,Income Tax Expense,26.02,28.09,20.54,-,22.93,29.79,20.17,24.63,24.63,22.51,22.51
20,Earnings From Continuing Operations,72.64,65.66,46.5,78.06,62.94,63.41,42.9,65.76,65.76,43.55,43.55
21,Net Income to Company,72.64,65.66,46.5,-,62.94,63.41,42.9,65.76,65.76,43.55,43.55
22,Minority Interest in Earnings,-39.41,-32.54,-26.76,-,-36.11,-33.08,-25.09,-36.83,-36.83,-25.84,-25.84
23,Net Income,33.23,33.12,19.74,35.06,26.83,30.33,17.8,28.93,28.93,17.71,17.71
24,Net Income to Common,33.23,33.12,19.74,-,26.83,30.33,17.8,28.93,28.93,17.71,17.71
25,Net Income Growth,23.84%,9.19%,10.89%,21.19%,-7.24%,71.29%,0.54%,-,-,-,-
26,Shares Outstanding (Basic),107,106,110,108,81,80,81,80,80,80,80
27,Shares Outstanding (Diluted),107,106,110,108,81,80,81,80,80,80,80
28,Shares Change (YoY),31.57%,33.40%,35.53%,33.87%,1.32%,-1.20%,0.54%,-,-,-,-
29,EPS (Basic),0.31,0.31,0.18,-,0.33,0.38,0.22,0.36,0.36,0.22,0.22
30,EPS (Diluted),0.31,0.31,0.18,0.43,0.33,0.38,0.22,0.36,0.36,0.22,0.22
31,EPS Growth,-5.88%,-18.15%,-18.18%,20.68%,-8.45%,73.37%,0%,-,-,-,-
32,Free Cash Flow,106.95,48.32,-265.56,165.24,75.99,65.67,-279.22,204.06,204.06,-59.76,-59.76
33,Free Cash Flow Per Share,1.00,0.46,-2.42,1.54,0.93,0.83,-3.45,2.54,2.54,-0.74,-0.74
34,Gross Margin,24.56%,24.27%,23.98%,24.34%,24.48%,25.64%,24.34%,23.20%,23.20%,24.33%,24.33%
35,Operating Margin,15.02%,12.79%,9.96%,-,13.95%,14.74%,10.78%,14.53%,14.53%,12.15%,12.15%
36,Profit Margin,4.93%,5.05%,3.29%,-,4.47%,5.07%,3.25%,5.05%,5.05%,3.37%,3.37%
37,Free Cash Flow Margin,15.86%,7.37%,-44.21%,24.70%,12.66%,10.97%,-50.92%,35.60%,35.60%,-11.38%,-11.38%
38,EBITDA,124.38,106.59,82.92,125.57,106.31,111.61,81.63,106.79,106.79,86.4,86.4
39,EBITDA Margin,18.44%,16.25%,13.80%,18.77%,17.71%,18.65%,14.89%,18.63%,18.63%,16.45%,16.45%
40,D&A For EBITDA,23.07,22.69,23.07,23.07,22.55,23.38,22.55,23.52,23.52,22.57,22.57
41,EBIT,101.31,83.9,59.86,102.5,83.76,88.23,59.08,83.28,83.28,63.83,63.83
42,EBIT Margin,15.02%,12.79%,9.96%,15.32%,13.95%,14.74%,10.78%,14.53%,14.53%,12.15%,12.15%
43,Effective Tax Rate,26.37%,29.96%,30.64%,-,26.70%,31.97%,31.98%,27.24%,27.24%,34.08%,34.08%
44,Revenue as Reported,674.51,656.11,600.72,-,600.19,598.38,548.33,-,-,-,-
