,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,3292,3333,2956,4142,4629,-,-,-,-,-,-,-
1,Enterprise Value,3045,3140,2720,4268,4755,-,-,-,-,-,-,-
2,Last Close Price,30.62,31.00,27.49,37.92,42.38,-,-,-,-,-,-,-
3,PE Ratio,23.83,38.72,37.09,53.86,-,-,-,-,-,-,-,-
4,PS Ratio,1.16,1.28,1.17,1.68,1.92,-,-,-,-,-,-,-
5,PB Ratio,1.88,1.25,1.13,1.55,1.76,-,-,-,-,-,-,-
6,P/TBV Ratio,2.31,2.31,2.10,2.90,3.25,-,-,-,-,-,-,-
7,P/FCF Ratio,22.83,60.65,123.18,-,167.23,-,-,-,-,-,-,-
8,P/OCF Ratio,10.28,15.89,19.06,-,24.26,-,-,-,-,-,-,-
9,EV/Sales Ratio,1.14,1.21,1.08,1.73,1.97,-,-,-,-,-,-,-
10,EV/EBITDA Ratio,6.34,7.15,6.46,10.01,11.19,-,-,-,-,-,-,-
11,EV/EBIT Ratio,8.47,9.03,8.24,12.76,14.25,-,-,-,-,-,-,-
12,EV/FCF Ratio,21.12,57.14,113.37,-,171.78,-,-,-,-,-,-,-
13,Debt / Equity Ratio,0.08,0.08,0.08,0.07,0.07,-,0.08,0.09,0.12,0.12,0.11,0.11
14,Debt / EBITDA Ratio,0.44,0.42,0.42,0.52,0.36,-,0.31,0.52,0.44,0.44,0.46,0.46
15,Debt / FCF Ratio,1.46,3.83,8.43,-,6.53,-,0.80,-,0.69,2.35,-,-
16,Asset Turnover,0.78,0.78,-,0.80,-,-,-,0.96,0.99,0.93,-,
17,Inventory Turnover,-,17.10,18.83,-,-,-,-,-,83.59,101.35,116.21,-
18,Quick Ratio,2.76,2.76,2.92,3.40,3.23,-,2.32,-,2.15,2.15,2.12,2.12
19,Current Ratio,3.00,3.00,3.14,3.65,3.42,-,2.52,-,2.27,2.27,2.24,2.24
20,Return on Equity (ROE),10.97%,9.91%,-,11.88%,-,12.71%,-,15.40%,15.69%,10.58%,-,
21,Return on Assets (ROA),7.36%,6.24%,-,7.67%,-,-,-,8.76%,8.98%,7.07%,-,
22,Return on Capital (ROIC),8.87%,7.39%,-,11.33%,-,10.22%,-,10.92%,11.18%,8.77%,-,
23,Return on Capital Employed (ROCE),12.93%,12.49%,12.11%,12.08%,12.19%,-,14.55%,-,16.11%,11.55%,7.25%,3.62%
24,Earnings Yield,3.93%,3.63%,3.88%,2.70%,2.38%,-,-,-,-,-,-,-
25,FCF Yield,4.38%,1.65%,0.81%,1.00%,0.60%,-,-,-,-,-,-,-
26,Payout Ratio,67.26%,46.61%,309.68%,2.85%,-,121.54%,1.78%,2.85%,2.33%,2.33%,86.95%,86.95%
27,Buyback Yield / Dilution,-25.15%,-31.57%,-33.40%,-35.53%,-33.87%,-1.32%,1.20%,-0.54%,-,-,-,-
28,Total Shareholder Return,-23.54%,-31.57%,-33.40%,-35.53%,-33.87%,-1.32%,1.20%,-0.54%,-,-,-,-
