,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Rental Revenue,266.34,251.15,238.01,256.66,175.04,221.03,211.8,192.22,177.91,-18.18
1,Other Revenue,-,-,-,-,-,-,-,-,-,-0.94
2,Total Revenue,266.34,251.15,238.01,256.66,175.04,221.03,211.8,192.22,177.91,-19.17
3,Revenue Growth (YoY,11.90%,-2.15%,35.97%,16.12%,-17.36%,14.99%,19.05%,-,-7.21%,-
4,Property Expenses,71.35,80.37,65.92,68.57,57.15,65.86,60.79,65.95,48.31,29.39
5,"Selling, General & Administrative",7.73,11.01,3.93,9.68,2.93,13.57,4.28,2.95,3.36,16.91
6,Depreciation & Amortization,-,-,-,-,-,-,-,-,-,-0.07
7,Other Operating Expenses,-,-,-,-,-,-,-,-,-,-0.59
8,Total Operating Expenses,79.09,88.9,69.85,83.04,60.08,79.42,65.07,68.9,51.66,45.59
9,Operating Income,187.25,162.25,168.16,173.62,114.96,141.61,146.73,123.32,126.24,-64.76
10,Interest Expense,-64.92,-70.83,-66.33,-64.34,-30.52,-29.77,-29.49,-30.38,-29.6,-14.27
11,Interest & Investment Income,5.97,9.09,6.86,6.35,5.55,5.5,4.75,2.01,4.47,3.79
12,Currency Exchange Gain (Loss),-1.68,-1.09,-0.11,-242.77,-93.52,47.96,16.58,158.27,-25.54,41.78
13,Other Non-Operating Income,-0,4.42,4.87,3.97,0.82,1.05,0.14,3.82,0.74,-42.01
14,EBT Excluding Unusual Items,126.62,103.84,113.46,-123.18,-2.72,166.35,138.71,257.04,76.31,-75.47
15,Asset Writedown,-281.28,-227.47,-166.98,15.63,17.28,23.63,57.87,31.33,-5.29,-210.31
16,Pretax Income,-154.66,-123.63,-53.52,-107.54,14.56,189.98,196.58,288.36,71.02,-285.78
17,Income Tax Expense,-12.24,1.86,10.38,62.6,41.8,55.05,63.82,48.93,25.4,-65
18,Earnings From Continuing Operations,-142.41,-125.49,-63.9,-170.14,-27.24,134.93,132.77,239.43,45.62,-220.78
19,Minority Interest in Earnings,7.05,10.45,6.62,-7.31,-4.85,-,-,-,-,-
20,Net Income,-135.36,-115.04,-57.28,-177.45,-32.09,134.93,132.77,239.43,45.62,-220.78
21,Net Income to Common,-135.36,-115.04,-57.28,-177.45,-32.09,134.93,132.77,239.43,45.62,-220.78
22,Net Income Growth,-,-,-,-,-,-43.64%,191.02%,-,-88.36%,-
23,Basic Shares Outstanding,1128,1128,1128,1128,1128,1128,1128,1128,1128,-
24,Diluted Shares Outstanding,1128,1128,1128,1128,1128,1128,1128,1128,1128,-
25,EPS (Basic),-0.12,-0.10,-0.05,-0.16,-0.03,0.12,0.12,0.21,0.04,-
26,EPS (Diluted),-0.12,-0.10,-0.05,-0.16,-0.03,0.12,0.12,0.21,0.04,-
27,EPS Growth,-,-,-,-,-,-43.64%,191.03%,-,-,-
28,Dividend Per Share,0.055,0.040,0.043,0.056,0.067,0.065,0.086,0.072,0.073,-
29,Dividend Growth,26.44%,-27.21%,-35.36%,-14.09%,-22.20%,-9.78%,19.15%,-,-,-
30,Operating Margin,70.31%,64.60%,70.65%,67.65%,65.67%,64.07%,69.28%,64.15%,70.96%,-
31,Profit Margin,-50.82%,-45.81%,-24.06%,-69.14%,-18.33%,61.05%,62.68%,124.56%,25.64%,-
32,Free Cash Flow Margin,58.05%,58.73%,53.53%,26.08%,76.23%,48.93%,59.94%,69.19%,34.69%,-
33,EBITDA,187.31,162.33,168.2,173.64,115.01,141.68,146.77,123.36,126.28,-64.81
34,D&A For Ebitda,0.06,0.08,0.04,0.03,0.06,0.07,0.04,0.05,0.03,-0.05
35,EBIT,187.25,162.25,168.16,173.62,114.96,141.61,146.73,123.32,126.24,-64.76
