,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,1365,1229,1511,2053,2244,2910,2944,3135,2763,3124,3756
1,Market Cap Growth,-40.11%,-40.11%,-32.66%,-29.46%,-23.75%,-7.19%,6.53%,0.36%,-26.43%,-,-
2,Enterprise Value,6205,6146,6474,5784,5804,4721,4743,5103,3922,3601,3726
3,Last Close Price,1.21,1.04,1.22,1.61,1.66,2.03,1.95,2.00,1.67,1.82,2.19
4,PE Ratio,-,-,-,-,-,-,8.96,7.00,8.16,-16.26,-
5,PS Ratio,2.45,2.21,2.80,3.84,4.60,6.27,5.54,6.45,6.29,17.94,19.46
6,PB Ratio,0.40,0.24,0.28,0.38,0.49,0.58,0.60,0.66,0.60,0.76,0.89
7,P/FCF Ratio,3.79,3.79,4.99,9.77,9.91,10.28,10.20,10.03,11.95,-131.52,-
8,P/OCF Ratio,3.79,3.79,4.99,9.77,9.91,10.28,10.20,10.03,11.95,-131.52,-
9,EV/Sales Ratio,11.16,11.05,12.01,10.82,11.89,10.18,8.93,10.50,8.92,20.68,-
10,EV/EBITDA Ratio,16.52,16.36,17.78,15.66,17.79,15.70,13.40,15.71,13.23,53.40,-
11,EV/EBIT Ratio,16.52,16.37,17.78,15.66,17.79,15.71,13.40,15.71,13.23,53.38,-
12,EV/FCF Ratio,18.93,18.93,21.37,27.54,25.62,16.68,16.44,16.32,16.96,-151.60,-
13,Debt / Equity Ratio,0.88,0.88,0.83,0.80,1.00,0.89,0.55,0.54,0.51,0.55,0.50
14,Debt / FCF Ratio,13.56,13.56,14.75,20.85,20.23,15.74,9.40,8.17,10.34,-94.66,-
15,Earnings Yield,-19.72%,-21.89%,-12.56%,-12.36%,-10.55%,4.14%,11.16%,14.28%,12.25%,-6.15%,5.10%
16,FCF Yield,26.41%,26.41%,20.04%,10.23%,10.09%,9.73%,9.80%,9.97%,8.37%,-0.76%,1.42%
17,Dividend Yield,7.17%,9.89%,7.55%,6.65%,8.38%,7.60%,9.51%,9.49%,10.26%,4.38%,-
18,Total Shareholder Return,7.17%,9.89%,7.55%,6.65%,8.38%,7.60%,9.51%,9.49%,10.26%,4.38%,-
