,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,1766,1708,820,500,405,340,340,181,180,280,-
1,Market Cap Growth,241.68%,241.68%,102.47%,47.06%,19.12%,87.85%,88.89%,-35.36%,-,-,-
2,Enterprise Value,2498,2414,1520,1133,1220,1128,1018,786,805,814,-
3,Last Close Price,1.86,1.80,0.82,0.50,0.41,0.34,0.34,0.18,0.18,0.28,-
4,PE Ratio,261.29,252.77,273.25,4.42,1.30,1.06,2.12,6.67,-,-,-
5,PS Ratio,0.47,0.45,0.23,0.14,0.11,0.09,0.10,0.06,0.07,0.13,-
6,PB Ratio,2.80,2.73,1.28,0.77,0.59,0.57,0.82,0.64,0.74,1.28,-
7,P/TBV Ratio,2.73,2.73,1.28,0.77,0.59,0.57,0.82,0.64,0.74,1.28,-
8,P/FCF Ratio,1258.28,-,-37.58,-,-8.89,-,-,-,-,-,-
9,P/OCF Ratio,11.95,11.95,6.20,1.33,1.53,-,-2.26,-,-1.21,-,-
10,EV/Sales Ratio,0.66,0.64,0.43,0.32,0.32,0.30,0.29,0.27,0.32,0.39,-
11,EV/EBITDA Ratio,55.40,62.53,-,7.06,3.28,2.81,4.71,9.81,21.29,16.45,-
12,EV/EBIT Ratio,114.19,108.19,-,7.91,3.34,2.88,4.82,10.68,23.55,23.62,-
13,EV/FCF Ratio,1780.23,-,-69.67,-,-26.79,-,-,-,-,-,-
14,Debt / Equity Ratio,1.34,1.34,1.24,1.24,1.10,1.52,2.06,2.71,2.78,3.08,4.48
15,Debt / FCF Ratio,596.45,-,-36.26,-,-16.47,-,-,-,-,-,-13.81
16,Return on Capital Employed (ROCE),2.61%,2.61%,-,16.11%,35.97%,42.13%,29.24%,11.75%,7.66%,8.07%,14.97%
17,Earnings Yield,0.38%,0.40%,0.37%,22.63%,76.66%,94.57%,47.19%,14.99%,-3.41%,4.55%,-
18,FCF Yield,0.08%,0.08%,-2.66%,22.70%,-11.25%,-104.21%,-121.85%,-168.43%,-140.74%,-57.84%,-
19,Buyback Yield / Dilution,5.07%,5.09%,5.05%,-,-,-,0.14%,-2.95%,-33.52%,-29.51%,-
20,Total Shareholder Return,5.07%,5.09%,5.05%,-,-,-,0.14%,-2.95%,-33.52%,-29.51%,-
