,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 10, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,451,1283,665,1900,3800,3734,4893,6185,4693,7030,7372
1,Market Cap Growth,-32.50%,-32.50%,-82.50%,-49.11%,-22.33%,-39.63%,4.25%,-12.03%,-36.34%,64.44%,-
2,Enterprise Value,2200,2668,2300,3847,5199,4510,5930,6758,5672,7646,8720
3,Last Close Price,0.47,1.35,0.70,2.00,4.00,3.93,5.15,6.51,4.94,7.40,7.76
4,PE Ratio,24.47,72.39,15.26,48.08,270.44,-24.07,-,-42.87,-,-,31.45
5,PS Ratio,0.17,0.51,0.26,0.74,1.44,1.26,1.48,1.73,1.38,2.05,1.77
6,PB Ratio,0.59,1.67,0.85,2.54,4.88,4.47,5.38,5.90,4.85,7.18,6.36
7,P/TBV Ratio,1.79,1.79,0.91,2.69,5.20,4.78,5.78,6.11,5.03,7.27,6.41
8,P/FCF Ratio,2.42,-,2.77,-,25.73,-,142.12,-,34.59,-,-78.63
9,P/OCF Ratio,4.41,-,2.03,-,13.74,-,22.43,-,16.03,-,137.69
10,EV/Sales Ratio,0.88,1.06,0.90,1.51,1.98,1.52,1.79,1.89,1.67,2.23,2.09
11,EV/EBITDA Ratio,8.75,18.23,16.33,55.26,54.04,116.85,-,418.90,-,-,14.44
12,EV/EBIT Ratio,29.49,39.19,33.42,433.28,-,-134.11,-,-125.01,-,-,18.83
13,EV/FCF Ratio,11.81,-,9.59,-,35.21,-,172.27,-,41.81,-,-93.00
14,Debt / Equity Ratio,2.55,2.55,2.04,2.51,2.86,2.42,1.76,1.85,1.54,2.04,1.33
15,Debt / FCF Ratio,10.52,-,6.65,-,15.09,-,46.46,-,10.98,-,-16.39
16,Return on Capital Employed (ROCE),6.93%,6.33%,5.05%,0.56%,-,-2.88%,-,-2.49%,-,-,19.27%
17,Earnings Yield,3.93%,1.38%,6.55%,2.08%,0.37%,-4.16%,-2.25%,-2.33%,-7.63%,-0.20%,3.18%
18,FCF Yield,41.28%,14.52%,36.08%,27.43%,3.89%,-1.85%,0.70%,1.12%,2.89%,0.90%,-1.27%
19,Buyback Yield / Dilution,0.20%,-,0.39%,0.50%,-0.39%,0.26%,-,-0.76%,4.06%,-15.83%,-26.82%
20,Total Shareholder Return,0.20%,-,0.39%,0.50%,-0.39%,0.26%,-,-0.76%,4.06%,-15.83%,-26.82%
