,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Revenue,1088,1244,1085,1278,1049,1491,1204,1774,1088,2035
1,Revenue Growth (YoY),0.28%,-2.66%,3.50%,-14.30%,-12.94%,-15.96%,10.75%,-12.84%,-35.50%,-10.06%
2,Cost of Revenue,505.11,609.23,507.63,676.23,512.14,786.76,580.6,970.32,666.52,1075
3,Gross Profit,583.32,634.47,577.71,601.42,536.49,704.05,623.83,803.64,421.02,960.63
4,"Selling, General & Admin",563.22,582.45,545.75,569.29,519.33,613.73,537.22,690.68,508.31,711.77
5,Other Operating Expenses,1.69,8.48,6.06,20.26,-,15.21,-,10.52,12.9,10.17
6,Operating Expenses,565.8,588.64,561.07,609.85,506.54,762.7,545.55,926.86,521.21,721.93
7,Operating Income,17.52,45.84,16.64,-8.43,29.94,-58.66,78.27,-123.23,-100.19,238.7
8,Interest Expense,-29.8,-36.12,-31.68,-32.97,-30.11,-31.4,-28.02,-26.51,-29.96,-43.21
9,Interest & Investment Income,11.08,10.13,15.13,30.23,1.77,0.73,1.7,2.34,4.96,0.94
10,Earnings From Equity Investments,-,-,-,-,-,0.34,0.38,0.45,-,-
11,Currency Exchange Gain (Loss),-,-9.24,16.41,7.58,0.28,-0.04,0.04,2.66,-,-0.84
12,Other Non Operating Income (Expenses),8.01,11.3,13.38,7.41,13.52,-88.61,18.24,-30.47,4.29,35.75
13,EBT Excluding Unusual Items,6.8,21.92,29.89,3.82,15.4,-177.63,70.61,-174.76,-120.9,231.34
14,Gain (Loss) on Sale of Investments,-,-,-,-,-,0.67,-,30.45,-30.45,-54.78
15,Gain (Loss) on Sale of Assets,-,-,-,-,-,-,-,-,-,0.03
16,Other Unusual Items,0.77,-0.68,0.68,0.97,1.44,0.65,1.33,3.49,0.9,-
17,Pretax Income,7.58,21.24,30.57,4.79,16.84,-176.32,71.95,-140.82,-150.45,176.58
18,Income Tax Expense,0.78,11.66,2.9,-0.36,12.64,-36.73,23.7,25.83,-17.91,56.59
19,Earnings From Continuing Operations,6.79,9.58,27.67,5.14,4.21,-139.59,48.24,-166.64,-132.55,120
20,Minority Interest in Earnings,0.03,0.09,2.23,1.53,1.55,1.39,0.27,-1.83,-0.33,-0.12
21,Net Income,6.82,9.67,29.9,6.68,5.75,-138.2,48.51,-168.47,-132.88,119.88
22,Net Income to Common,6.82,9.67,29.9,6.68,5.75,-138.2,48.51,-168.47,-132.88,119.88
23,Net Income Growth,-77.19%,44.84%,419.62%,-,-88.14%,-,-,-,-,-55.54%
24,Shares Outstanding (Basic),913,913,913,913,913,913,913,913,913,951
25,Shares Outstanding (Diluted),913,913,913,916,917,913,919,913,913,951
26,Shares Change (YoY),-,-0.39%,-0.50%,0.39%,-0.26%,-,0.76%,-4.06%,15.83%,26.82%
27,EPS (Basic),0.01,0.01,0.03,0.01,0.01,-0.15,0.05,-0.18,-0.15,0.13
28,EPS (Diluted),0.01,0.01,0.03,0.01,0.01,-0.15,0.05,-0.18,-0.15,0.13
29,EPS Growth,-77.19%,45.14%,420.10%,-,-88.07%,-,-,-,-,-64.94%
30,Free Cash Flow,-129.49,302.85,-85.04,567.33,-436.71,377.71,-349.66,407.15,-292.92,350.9
31,Free Cash Flow Per Share,-0.14,0.33,-0.09,0.62,-0.48,0.41,-0.38,0.45,-0.32,0.37
32,Operating Margin,1.61%,3.69%,1.53%,-0.66%,2.86%,-3.93%,6.50%,-6.95%,-9.21%,11.73%
33,Profit Margin,0.63%,0.78%,2.75%,0.52%,0.55%,-9.27%,4.03%,-9.50%,-12.22%,5.89%
34,Free Cash Flow Margin,-11.90%,24.35%,-7.84%,44.40%,-41.65%,25.34%,-29.03%,22.95%,-26.93%,17.24%
35,EBITDA,54.63,81.61,46.24,18.2,66.91,-33.95,108.59,-95.18,-55.81,299.25
36,D&A For EBITDA,37.11,35.77,29.59,26.63,36.96,24.7,30.32,28.05,44.39,60.55
37,EBIT,17.52,45.84,16.64,-8.43,29.94,-58.66,78.27,-123.23,-100.19,238.7
