,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q2 2022,Q1 2022
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Cash & Equivalents,-,74.06,139.97,57.16,65.13,-,-,-,114.52,114.52
1,Trading Asset Securities,-,50.12,100.11,-,-,-,-,-,-,-
2,Cash & Short-Term Investments,124.17,124.17,240.09,57.16,65.13,-,-,133.13,114.52,114.52
3,Cash Growth,90.65%,-,-,-57.07%,-43.13%,-,-,-,-,-
4,Accounts Receivable,-,84.95,95.16,107.84,99.07,-,-,-,113.55,113.55
5,Other Receivables,-,1.63,0.52,1.84,0.46,-,-,-,0.25,0.25
6,Receivables,-,86.58,95.68,109.67,99.53,-,-,-,113.81,113.81
7,Inventory,-,371.9,333.62,308.63,293.61,-,-,-,302.82,302.82
8,Prepaid Expenses,-,-,-,-,9.3,-,-,-,-,-
9,Other Current Assets,-,27.64,21.17,21.5,8.01,-,-,-,25.55,25.55
10,Total Current Assets,-,610.3,690.55,496.96,475.58,-,-,-,556.7,556.7
11,"Property, Plant & Equipment",-,333.06,309.05,311.31,267.61,-,-,-,150.01,150.01
12,Other Intangible Assets,-,40.04,40.26,40.5,40.74,-,-,-,7.07,7.07
13,Long-Term Deferred Tax Assets,-,13.78,12.03,10.72,10.24,-,-,-,7.9,7.9
14,Long-Term Deferred Charges,-,0.52,0.57,0.61,0.67,-,-,-,-,-
15,Other Long-Term Assets,-,8.71,6.02,14.05,3.25,-,-,-,7.06,7.06
16,Total Assets,-,1006,1058,874.15,798.09,-,-,-,728.74,728.74
17,Accounts Payable,-,30.44,40.53,85.6,55.21,-,-,-,56.29,56.29
18,Accrued Expenses,-,5.07,9.97,4.86,9.66,-,-,-,7.42,7.42
19,Short-Term Debt,-,59.03,84.06,145.21,105.02,-,-,-,123.93,123.93
20,Current Portion of Long-Term Debt,-,-,0.02,8.9,0.04,-,-,-,8.2,8.2
21,Current Portion of Leases,-,4.02,3.95,-,3.85,-,-,-,1.66,1.66
22,Current Income Taxes Payable,-,5.52,1.42,6.39,0.39,-,-,-,7.39,7.39
23,Current Unearned Revenue,-,0.14,1,0.19,0.31,-,-,-,0.56,0.56
24,Other Current Liabilities,-,1.41,9.68,1.97,40.1,-,-,-,16.07,16.07
25,Total Current Liabilities,-,105.62,150.63,253.12,214.58,-,-,-,221.52,221.52
26,Long-Term Debt,-,21.71,21.71,70.11,43.53,-,-,-,24.67,24.67
27,Long-Term Leases,-,3.84,4.86,5.86,6.86,-,-,-,12.24,12.24
28,Long-Term Unearned Revenue,-,27.45,27.95,20.18,19.44,-,-,-,20.5,20.5
29,Long-Term Deferred Tax Liabilities,-,3.82,3.95,4.03,4.08,-,-,-,-,-
30,Total Liabilities,-,162.44,209.1,353.3,288.48,-,-,-,278.93,278.93
31,Common Stock,-,160.04,160.04,120.03,120.03,-,-,-,120.03,120.03
32,Additional Paid-In Capital,-,531.42,531.14,247.59,246.95,-,-,-,243.12,243.12
33,Retained Earnings,-,152.49,158.2,153.22,142.62,-,-,-,86.66,86.66
34,Shareholders' Equity,843.96,843.96,849.39,520.84,509.6,-,-,457.7,449.81,449.81
35,Total Liabilities & Equity,-,1006,1058,874.15,798.09,-,-,-,728.74,728.74
36,Total Debt,88.6,88.6,114.59,230.08,159.3,-,-,217.42,170.71,170.71
37,Net Cash (Debt),35.57,35.57,125.5,-172.92,-94.17,-,-,-84.29,-56.19,-56.19
38,Net Cash Per Share,0.23,0.22,0.88,-1.47,-0.80,-,-,-0.73,-0.47,-0.47
39,Filing Date Shares Outstanding,160.04,160.04,160.04,160.04,120.03,120.04,128.73,115.03,120.03,120.03
40,Total Common Shares Outstanding,160.04,160.04,160.04,120.03,120.03,120.04,128.73,115.03,120.03,120.03
41,Working Capital,-,504.68,539.93,243.84,261.01,-,-,-,335.17,335.17
42,Book Value Per Share,5.27,5.27,5.31,4.34,4.25,-,-,3.76,3.75,3.75
43,Tangible Book Value,803.92,803.92,809.12,480.35,468.87,-,-,427.98,442.74,442.74
44,Tangible Book Value Per Share,5.02,5.02,5.06,4.00,3.91,-,-,3.51,3.69,3.69
45,Buildings,-,-,136.23,-,66.32,-,-,-,62.13,62.13
46,Machinery,-,-,161.48,-,134.85,-,-,-,95.78,95.78
47,Construction In Progress,-,-,66.55,-,112.04,-,-,-,12.41,12.41
