,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q2 2022,Q1 2022
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Operating Revenue,139.84,121.18,64.32,111.42,-5.61,184.84,93.18,105.73,98.86,98.86
1,Other Revenue,-,-39.07,39.07,-,98.12,-36.31,36.31,-,10.95,10.95
2,Revenue,139.84,82.1,103.39,111.42,92.51,148.53,129.49,105.73,109.81,109.81
3,Revenue Growth (YoY),51.17%,-44.72%,-20.15%,5.38%,-15.76%,35.26%,-,-,-,-
4,Cost of Revenue,168.98,67.71,86.79,86.4,78.65,115.91,100.88,79.04,84.53,84.53
5,Gross Profit,-29.14,14.4,16.6,25.02,13.86,32.62,28.61,26.68,25.28,25.28
6,"Selling, General & Admin",-32.11,10.33,13.63,8.14,8.45,8.6,7.13,7.31,8.67,8.67
7,Research & Development,-15.77,4.69,5.07,6.01,6.78,7.76,6.1,6.46,6.72,6.72
8,Other Operating Expenses,6.62,-4.37,1.66,-3.91,3.92,-0.25,-6.26,-0,0.3,0.3
9,Operating Expenses,-39.68,9.89,19.92,9.87,18.28,15.74,9.36,14.68,16.05,16.05
10,Operating Income,10.54,4.51,-3.32,15.15,-4.42,16.88,19.25,12,9.23,9.23
11,Interest Expense,-0.96,-0.55,-1.05,-0.98,-0.98,-1.24,-1.46,-2.2,-1.26,-1.26
12,Interest & Investment Income,2.58,0.5,0.46,-,0.26,0.25,0.47,0.67,0.69,0.69
13,Currency Exchange Gain (Loss),-,-3.27,3.27,-,1.01,-0.98,0.98,-,4.76,4.76
14,Other Non Operating Income (Expenses),2.34,-1.48,-1.91,1.98,-6.75,2.47,4.28,-0.14,-0.53,-0.53
15,EBT Excluding Unusual Items,14.5,-0.29,-2.54,16.15,-10.88,17.37,23.52,10.33,12.9,12.9
16,Gain (Loss) on Sale of Assets,-0,-0.02,0.03,-0,-,-0.06,0.03,-0.05,0.01,0.01
17,Asset Writedown,4.42,-4.42,4.72,-4.72,2.82,-2.79,-0.85,0.85,-0.13,-0.13
18,Other Unusual Items,0.04,-2.97,2.93,-,13.76,0.04,-0.04,-,3.04,3.04
19,Pretax Income,18.95,-7.71,5.15,11.42,5.7,14.56,22.66,11.14,15.82,15.82
20,Income Tax Expense,1.33,-2,0.16,0.82,0.01,1.37,2.55,0.78,1.47,1.47
21,Net Income,17.63,-5.71,4.98,10.6,5.69,13.19,20.12,10.35,14.35,14.35
22,Net Income to Common,17.63,-5.71,4.98,10.6,5.69,13.19,20.12,10.35,14.35,14.35
23,Net Income Growth,209.92%,-,-75.23%,2.40%,-60.37%,-8.12%,-,-,-,-
24,Shares Outstanding (Basic),156,163,142,118,118,120,129,115,120,120
25,Shares Outstanding (Diluted),156,163,142,118,118,120,129,115,120,120
26,Shares Change (YoY),32.45%,36.16%,10.27%,2.40%,-1.68%,0.37%,-,-,-,-
27,EPS (Basic),0.11,-0.03,0.04,0.09,0.05,0.11,0.16,0.09,0.12,0.12
28,EPS (Diluted),0.11,-0.03,0.04,0.09,0.05,0.11,0.16,0.09,0.12,0.12
29,EPS Growth,133.99%,-,-77.54%,0%,-59.70%,-8.46%,-,-,-,-
30,Free Cash Flow,-,-87.1,-27.05,-80.7,0.28,33.89,-36.26,5.49,-59.16,-59.16
31,Free Cash Flow Per Share,-,-0.53,-0.19,-0.69,0.00,0.28,-0.28,0.05,-0.49,-0.49
32,Dividend Per Share,-,-,0.040,-,-,-,-,-,-,-
33,Gross Margin,-20.84%,17.53%,16.06%,22.46%,14.98%,21.96%,22.09%,25.24%,23.02%,23.02%
34,Operating Margin,7.54%,5.49%,-3.21%,13.60%,-4.78%,11.36%,14.86%,11.35%,8.41%,8.41%
35,Profit Margin,12.60%,-6.95%,4.82%,9.52%,6.15%,8.88%,15.54%,9.79%,13.07%,13.07%
36,Free Cash Flow Margin,-,-106.08%,-26.16%,-72.43%,0.30%,22.81%,-28.00%,5.19%,-53.88%,-53.88%
37,EBITDA,14.38,8.35,1.08,18.99,-0.58,19.93,22.97,15.06,12.15,12.15
38,EBITDA Margin,10.28%,10.17%,1.04%,17.04%,-0.63%,13.42%,17.74%,14.24%,11.07%,11.07%
39,D&A For EBITDA,3.84,3.84,4.4,3.84,3.84,3.05,3.73,3.05,2.92,2.92
40,EBIT,10.54,4.51,-3.32,15.15,-4.42,16.88,19.25,12,9.23,9.23
41,EBIT Margin,7.54%,5.49%,-3.21%,13.60%,-4.78%,11.36%,14.86%,11.35%,8.41%,8.41%
42,Effective Tax Rate,7.01%,-,3.16%,7.20%,0.14%,9.42%,11.24%,7.04%,9.29%,9.29%
43,Revenue as Reported,-,82.1,103.39,111.42,92.51,148.53,129.49,105.73,109.81,109.81
