,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q2 2022,Q1 2022
,Period Ending,"Mar '25 Mar 11, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Market Capitalization,3007,2964,2998,3289,-,-,-,-,-,-,-
1,Enterprise Value,2972,2928,2872,3462,-,-,-,-,-,-,-
2,Last Close Price,18.79,18.52,18.69,20.50,-,-,-,-,-,-,-
3,PE Ratio,98.89,107.78,-,95.45,-,-,-,-,-,-,-
4,PS Ratio,6.23,6.79,7.70,7.21,-,-,-,-,-,-,-
5,PB Ratio,3.56,3.51,3.55,3.87,-,-,-,-,-,-,-
6,P/TBV Ratio,3.69,3.69,3.73,4.06,-,-,-,-,-,-,-
7,P/OCF Ratio,-,-,-,46.29,-,-,-,-,-,-,-
8,EV/Sales Ratio,6.80,6.71,7.38,7.59,-,-,-,-,-,-,-
9,EV/EBITDA Ratio,70.35,68.42,103.18,87.82,-,-,-,-,-,-,-
10,EV/EBIT Ratio,110.54,108.93,240.94,-,-,-,-,-,-,-,-
11,Debt / Equity Ratio,0.10,0.10,0.10,0.13,0.44,0.31,-,-,0.48,0.38,0.38
12,Debt / EBITDA Ratio,2.10,1.54,2.65,10.55,3.03,14.82,-,-,3.61,3.34,3.34
13,Debt / FCF Ratio,-,-,-,-,-,47.00,-,-,-1.93,-,-
14,Asset Turnover,-,0.32,0.43,-,-,-,-,-,0.60,-,
15,Inventory Turnover,-,-,0.77,1.08,-,-,-,-,-,1.12,-
16,Quick Ratio,-,-,2.00,2.23,0.66,0.77,-,-,-,1.03,1.03
17,Current Ratio,-,-,5.78,4.58,1.96,2.22,-,-,-,2.51,2.51
18,Return on Equity (ROE),8.35%,-2.70%,2.91%,-,-,-,-,-,12.76%,-,
19,Return on Assets (ROA),-,1.09%,-0.86%,-,-,-,-,-,3.17%,-,
20,Return on Capital (ROIC),2.83%,1.19%,-0.97%,-,-,-,-,-,3.72%,-,
21,Return on Capital Employed (ROCE),-,-,1.32%,-,7.54%,-,-,-,-,3.64%,1.82%
22,Earnings Yield,0.91%,0.93%,0.52%,1.05%,-,-,-,-,-,-,-
23,FCF Yield,-,-6.49%,-2.24%,-,-,-,-,-,-,-,
24,Dividend Yield,0.41%,-,-,0.20%,-,-,-,-,-,-,-
25,Payout Ratio,0.00%,-,-,62.00%,4.88%,21.63%,7.85%,9.17%,14.37%,8.18%,8.18%
26,Buyback Yield / Dilution,-20.27%,-32.45%,-36.16%,-10.27%,-2.40%,1.68%,-0.37%,-,-,-,-
27,Total Shareholder Return,-19.85%,-32.45%,-36.16%,-10.08%,-2.40%,1.68%,-0.37%,-,-,-,-
