,Fiscal Quarter,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,+2 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020",+2 Quarters
0,Cash & Equivalents,11695,10561,7285,10317,8306,9654,8135,10031,6595,5560,Upgrade
1,Short-Term Investments,79.21,37.05,45.19,32.09,1.18,42.49,31.86,37.79,5.64,35.79,Upgrade
2,Trading Asset Securities,86.12,86.25,85.77,87.4,82.94,79.53,76.77,77.63,69.06,63.3,Upgrade
3,Cash & Short-Term Investments,11861,10684,7416,10437,8390,9776,8243,10146,6670,5659,Upgrade
4,Cash Growth,59.93%,2.37%,-11.60%,6.76%,1.78%,-3.65%,23.59%,79.31%,-3.42%,-32.93%,Upgrade
5,Accounts Receivable,7169,8482,8608,4460,4866,4951,4972,6366,5630,4597,Upgrade
6,Other Receivables,7108,4137,3664,3349,3182,2357,1785,1277,1117,1096,Upgrade
7,Receivables,14278,12619,12272,7809,8048,7309,6756,7643,6747,5693,Upgrade
8,Inventory,9523,10169,9411,8856,9650,12170,10440,8214,6273,5246,Upgrade
9,Restricted Cash,114.95,132.35,104.97,113.32,109.51,67.77,60.3,76.43,67.84,95.6,Upgrade
10,Other Current Assets,-,2708,2419,2240,3384,3299,2840,2638,2114,1727,Upgrade
11,Total Current Assets,35776,36313,31623,29454,29582,32621,28340,28719,21871,18420,Upgrade
12,"Property, Plant & Equipment",106357,100816,96164,89576,83061,72825,66749,61849,60749,60197,Upgrade
13,Long-Term Investments,183.49,196.27,188.01,175.4,222.47,270.83,218.19,199.09,231.93,130.42,Upgrade
14,Goodwill,-,155.11,-,155.11,-,155.11,-,146.69,-,146.69,Upgrade
15,Other Intangible Assets,282.76,131.7,291.68,145.14,343.2,157.21,315.76,166.44,316.48,141.11,Upgrade
16,Long-Term Deferred Tax Assets,200.05,197.11,143.65,130.97,68.51,154.15,100.72,80.45,84.38,51.77,Upgrade
17,Other Long-Term Assets,499,562.87,502.03,1013,551.8,896.82,667.43,1012,227.35,232.38,Upgrade
18,Total Assets,143298,138371,128912,120651,113828,107081,96391,92172,83480,79320,Upgrade
19,Accounts Payable,13922,11266,12221,9648,8156,6668,5246,4350,5532,5473,Upgrade
20,Accrued Expenses,-,-,294.8,-,271.86,276.29,310.55,296.77,296.94,305.1,Upgrade
21,Short-Term Debt,5371,3211,4294,5889,6408,4492,7976,11398,7248,7262,Upgrade
22,Current Portion of Long-Term Debt,11547,11641,8982,7704,9636,2887,9751,5189,3852,664.42,Upgrade
23,Current Portion of Leases,101.57,94.93,67.41,30.81,18.83,7.17,7.7,6.64,5.47,5.77,Upgrade
24,Current Income Taxes Payable,35.33,33.07,51.43,22.15,188.22,253.28,289.33,380.43,831.74,586.73,Upgrade
25,Current Unearned Revenue,668.06,632.55,448.42,454.38,377.75,374.07,431.92,361.07,499.39,380.31,Upgrade
26,Other Current Liabilities,4573,4330,4089,4323,3386,3233,3363,1950,2638,1812,Upgrade
27,Total Current Liabilities,36218,31209,30448,28071,28442,18191,27375,23932,20903,16489,Upgrade
28,Long-Term Debt,51401,52327,47751,43181,35197,36862,17012,17523,14844,18361,Upgrade
