,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+1 Quarters
,Period Ending,"Dec '24 Dec 3, 2024","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+1 Quarters
0,Market Capitalization,273,360,180,206,229,215,227,177,212,232,378,Upgrade
1,Market Cap Growth,74.65%,74.65%,-21.52%,-4.05%,1.28%,21.31%,6.85%,-23.75%,-43.85%,-54.55%,-13.33%,Upgrade
2,Enterprise Value,342,415,224,233,266,279,323,261,263,251,410,Upgrade
3,Last Close Price,0.94,1.24,0.62,0.71,0.79,0.74,0.78,0.61,0.73,0.80,1.30,Upgrade
4,Forward PE,-,12.85,12.85,12.85,12.85,12.85,12.85,12.85,12.85,12.85,12.85,Upgrade
5,PS Ratio,0.39,0.51,0.24,0.29,0.32,0.28,0.25,0.18,0.20,0.22,0.36,Upgrade
6,PB Ratio,1.94,2.54,1.09,1.16,1.15,0.98,0.92,0.65,0.75,0.83,1.31,Upgrade
7,P/TBV Ratio,2.56,2.56,1.10,1.17,1.16,0.99,0.92,0.65,0.75,0.83,1.32,Upgrade
8,P/FCF Ratio,-,-,14.49,10.93,5.32,2.63,3.66,3.26,9.97,-,26.88,Upgrade
9,P/OCF Ratio,54.49,-,9.89,8.86,4.72,2.37,3.09,2.63,6.93,-,16.24,Upgrade
10,PEG Ratio,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,Upgrade
11,EV/Sales Ratio,0.49,0.59,0.30,0.33,0.37,0.37,0.35,0.26,0.25,0.24,0.39,Upgrade
12,EV/EBITDA Ratio,38.39,-,-,-,-,-,-,-,-,72.29,-,Upgrade
13,EV/EBIT Ratio,-,-,-,-,-,-,-,-,-,-24.95,-,Upgrade
14,EV/FCF Ratio,-173.99,-,18.01,12.32,6.17,3.42,5.21,4.79,12.35,-,29.16,Upgrade
15,Debt / Equity Ratio,0.67,0.67,0.65,0.43,0.40,0.43,0.77,0.94,0.90,0.69,0.71,Upgrade
16,Debt / FCF Ratio,-,-,8.61,4.06,1.86,1.15,3.05,4.73,12.08,-,14.59,Upgrade
17,Return on Capital Employed (ROCE),-,-,-,-,-,-,-,-,-,-3.01%,-,Upgrade
18,Earnings Yield,-12.88%,-9.76%,-16.37%,-12.22%,-12.32%,-22.06%,-20.61%,-17.56%,-9.24%,-9.30%,-6.11%,Upgrade
19,FCF Yield,-0.72%,-0.55%,6.90%,9.15%,18.80%,37.97%,27.36%,30.70%,10.03%,0.42%,3.72%,Upgrade
