,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+1 Quarters
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+1 Quarters
0,Operating Revenue,3834,4147,4168,4337,4215,4939,5109,4270,3738,3653,Upgrade
1,Revenue,3834,4147,4168,4337,4215,4939,5109,4270,3738,3653,Upgrade
2,Revenue Growth (YoY),-8.03%,-4.39%,-1.10%,-12.20%,-17.50%,15.67%,36.68%,16.88%,9.87%,-0.76%,Upgrade
3,Cost of Revenue,3678,3963,4007,4145,4043,4694,4883,4069,3546,3465,Upgrade
4,Gross Profit,155.94,183.29,160.85,191.93,171.7,245.07,226.01,200.9,191.85,188.11,Upgrade
5,"Selling, General & Admin",78.41,86.96,86,91.3,81.42,91.24,69.28,70.04,56.74,68.28,Upgrade
6,Operating Expenses,124.87,188.95,105.77,131.27,122.89,172.5,92.41,77.24,67.23,78.8,Upgrade
7,Operating Income,31.07,-5.66,55.07,60.65,48.81,72.57,133.61,123.66,124.61,109.32,Upgrade
8,Interest Expense,-16.29,-19.13,-18.48,-21.07,-17.19,-18.44,-18.95,-22.47,-20.94,-15.86,Upgrade
9,Interest & Investment Income,4.29,4.39,5.18,5.45,6.25,9.33,0.76,0.39,0.8,1.13,Upgrade
10,Other Non Operating Income (Expenses),-1.97,-2,-8.84,-27.03,-0.79,-55.86,-16.26,-27.77,-25.07,-6.1,Upgrade
11,EBT Excluding Unusual Items,17.1,-22.41,32.93,18,37.08,7.6,99.16,73.81,79.4,88.5,Upgrade
12,Gain (Loss) on Sale of Investments,-,-,-,-1.04,1.04,-2.28,2.28,-,-,1.95,Upgrade
13,Gain (Loss) on Sale of Assets,-,-,-,-,-,-,-,-,-6.39,-,Upgrade
14,Pretax Income,17.1,-22.41,32.93,16.96,38.12,5.32,101.43,73.81,73.02,90.45,Upgrade
15,Income Tax Expense,0.26,-3.16,1.65,-4.32,3.6,-11.5,24.83,13.84,15.59,20.4,Upgrade
16,Earnings From Continuing Operations,16.85,-19.25,31.28,21.28,34.51,16.83,76.6,59.97,57.43,70.05,Upgrade
17,Minority Interest in Earnings,-2.02,-1.27,-0.19,-1.33,0.4,0.55,-0.16,-1.43,-0.62,-1.67,Upgrade
18,Net Income,14.83,-20.52,31.09,19.95,34.92,17.37,76.45,58.54,56.81,68.38,Upgrade
19,Net Income to Common,14.83,-20.52,31.09,19.95,34.92,17.37,76.45,58.54,56.81,68.38,Upgrade
20,Net Income Growth,-52.29%,-,-10.97%,14.83%,-54.33%,-70.32%,34.57%,-14.39%,-13.05%,-27.08%,Upgrade
21,Shares Outstanding (Basic),533,533,533,533,533,533,533,533,533,533,Upgrade
22,Shares Outstanding (Diluted),533,533,533,533,533,533,533,533,533,533,Upgrade
23,EPS (Basic),0.03,-0.04,0.06,0.04,0.07,0.03,0.14,0.11,0.11,0.13,Upgrade
24,EPS (Diluted),0.03,-0.04,0.06,0.04,0.07,0.03,0.14,0.11,0.11,0.13,Upgrade
25,EPS Growth,-52.29%,-,-10.97%,14.83%,-54.33%,-70.32%,34.57%,-14.39%,-13.05%,-27.08%,Upgrade
26,Free Cash Flow,-75.08,100.83,13.96,-16.28,56.85,4.22,148.59,28.69,-121.91,103.03,Upgrade
27,Free Cash Flow Per Share,-0.14,0.19,0.03,-0.03,0.11,0.01,0.28,0.05,-0.23,0.19,Upgrade
28,Operating Margin,0.81%,-0.14%,1.32%,1.40%,1.16%,1.47%,2.62%,2.90%,3.33%,2.99%,Upgrade
29,Profit Margin,0.39%,-0.49%,0.75%,0.46%,0.83%,0.35%,1.50%,1.37%,1.52%,1.87%,Upgrade
30,Free Cash Flow Margin,-1.96%,2.43%,0.33%,-0.38%,1.35%,0.09%,2.91%,0.67%,-3.26%,2.82%,Upgrade
31,EBITDA,44.05,6.7,67.57,71.12,60.65,85.03,140.2,129.3,130.8,114.58,Upgrade
32,D&A For EBITDA,12.98,12.36,12.49,10.46,11.84,12.46,6.6,5.64,6.19,5.27,Upgrade
33,EBIT,31.07,-5.66,55.07,60.65,48.81,72.57,133.61,123.66,124.61,109.32,Upgrade
