,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Cash & Equivalents,9180,13077,12053,18045,9591,8085,8131,13477,15735,12077,Upgrade
1,Cash & Short-Term Investments,9180,13077,12053,18045,9591,8085,8131,13477,15735,12077,Upgrade
2,Cash Growth,-23.84%,-27.53%,25.67%,123.19%,17.96%,-40.01%,-48.33%,11.59%,84.75%,98.31%,Upgrade
3,Accounts Receivable,287,363,316,349,254,311,264,257,234,263,Upgrade
4,Other Receivables,485,-,633,-,962,-,1174,-,749,-,Upgrade
5,Receivables,772,363,949,349,1216,311,1438,257,983,263,Upgrade
6,Inventory,177,178,222,309,246,171,184,146,162,137,Upgrade
7,Prepaid Expenses,-,433,-,769,-,920,-,1261,-,819,Upgrade
8,Other Current Assets,685,536,101,53,2205,768,573,347,2308,1452,Upgrade
9,Total Current Assets,10814,14587,13325,19525,13258,10255,10326,15488,19188,14748,Upgrade
10,"Property, Plant & Equipment",3113,3079,2995,3017,2849,3029,3038,2965,2796,2805,Upgrade
11,Long-Term Investments,144671,144875,145594,139419,144383,146413,149585,145828,140073,143637,Upgrade
12,Goodwill,-,848,-,843,-,907,-,948,-,881,Upgrade
13,Other Intangible Assets,2219,1451,2271,1403,2291,1540,2554,1654,2413,1605,Upgrade
14,Long-Term Deferred Tax Assets,-,1,1,3,7,6,6,6,3,3,Upgrade
15,Other Long-Term Assets,1178,1032,1682,1657,1736,849,591,522,2575,1505,Upgrade
16,Total Assets,161995,165873,165868,165867,164524,162999,166100,167411,167048,165184,Upgrade
17,Accounts Payable,250,329,267,313,261,243,267,262,221,248,Upgrade
18,Current Portion of Long-Term Debt,13165,9024,2893,5148,3009,10389,14342,4655,3984,4447,Upgrade
19,Current Portion of Leases,-,38,-,31,-,31,-,32,-,22,Upgrade
20,Current Income Taxes Payable,47,101,49,56,73,134,135,187,142,150,Upgrade
21,Other Current Liabilities,5751,6607,5782,6720,6370,5866,4981,5888,5900,5436,Upgrade
22,Total Current Liabilities,19213,16099,8991,12268,9713,16663,19725,11024,10247,10303,Upgrade
23,Long-Term Debt,10235,15173,22714,23063,25612,19458,29341,27933,46400,27295,Upgrade
24,Long-Term Leases,341,334,333,320,374,359,396,306,-,192,Upgrade
25,Long-Term Deferred Tax Liabilities,499,505,515,493,481,476,488,476,426,450,Upgrade
26,Other Long-Term Liabilities,353,491,395,341,24,196,993,1410,833,570,Upgrade
27,Total Liabilities,30641,32602,32948,36485,36204,37152,50943,41149,57906,38810,Upgrade
28,Common Stock,2520,2520,2520,2520,2520,2520,2651,2651,2651,2651,Upgrade
29,Additional Paid-In Capital,22247,22247,22247,22247,22247,22247,31361,31361,31361,31361,Upgrade
30,Retained Earnings,102395,103849,101685,101942,101416,101111,97559,97690,97357,98890,Upgrade
31,Treasury Stock,-,-,-,-,-,-,-9245,-9245,-9245,-9245,Upgrade
32,Comprehensive Income & Other,4110,4562,6366,2569,2011,-159,-7302,3686,-13065,2648,Upgrade
33,Total Common Equity,131272,133178,132818,129278,128194,125719,115024,126143,109059,126305,Upgrade
34,Minority Interest,82,93,102,104,126,128,133,119,83,69,Upgrade
35,Shareholders' Equity,131354,133271,132920,129382,128320,125847,115157,126262,109142,126374,Upgrade
36,Total Liabilities & Equity,161995,165873,165868,165867,164524,162999,166100,167411,167048,165184,Upgrade
37,Total Debt,23741,24569,25940,28562,28995,30237,44079,32926,50384,31956,Upgrade
38,Net Cash (Debt),-14561,-11492,-13887,-10517,-19404,-22152,-35948,-19449,-34649,-19879,Upgrade
39,Net Cash Per Share,-5.78,-4.56,-5.51,-4.17,-7.70,-8.79,-14.27,-7.72,-13.75,-7.89,Upgrade
40,Filing Date Shares Outstanding,2520,2520,2520,2520,2520,2520,2520,2520,2520,2520,Upgrade
41,Total Common Shares Outstanding,2520,2520,2520,2520,2520,2520,2520,2520,2520,2520,Upgrade
42,Working Capital,-8399,-1512,4334,7257,3545,-6408,-9399,4464,8941,4445,Upgrade
43,Book Value Per Share,48.18,48.93,48.79,47.39,46.96,45.97,45.65,44.23,43.28,44.29,Upgrade
44,Tangible Book Value,129053,130879,130547,127032,125903,123272,112470,123541,106646,123819,Upgrade
45,Tangible Book Value Per Share,47.30,48.02,47.89,46.49,46.05,45.00,44.64,43.20,42.33,43.31,Upgrade
46,Land,-,1116,-,1133,-,859,-,885,-,826,Upgrade
47,Buildings,-,1457,-,1454,-,1517,-,1446,-,1370,Upgrade
48,Machinery,-,71,-,71,-,78,-,75,-,70,Upgrade
