,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Investments in Debt Securities,74543,83064,80430,77016,79119,99094,92728,125829,120044,133133,Upgrade
1,Investments in Equity & Preferred Securities,74891,66693,62586,59938,59507,28338,62522,34090,236205,30089,Upgrade
2,Policy Loans,-,-,-,-,1770,1733,1655,1582,6226,6121,Upgrade
3,Other Investments,5284,5870,5056,6275,4762,40187,3344,32916,4920,27539,Upgrade
4,Total Investments,154866,155814,148254,143406,145334,169540,160442,194598,377113,208413,Upgrade
5,Cash & Equivalents,5978,4751,5920,5514,6415,7170,6295,6397,8384,2491,Upgrade
6,Reinsurance Recoverable,3200,2426,2023,1856,2750,9979,9891,46595,44918,14072,Upgrade
7,Other Receivables,4954,3808,3667,3553,3803,3423,3984,5550,5522,4364,Upgrade
8,Deferred Policy Acquisition Cost,-,-,-,-,2884,2815,2505,2353,14601,14239,Upgrade
9,Separate Account Assets,-,-,-,-,-,-,-,-,-,195070,Upgrade
10,"Property, Plant & Equipment",390,374,396,437,405,478,525,893,964,1065,Upgrade
11,Goodwill,819,896,879,890,871,907,926,961,942,969,Upgrade
12,Other Intangible Assets,3758,3986,3686,3884,3844,4015,3989,4077,3969,3199,Upgrade
13,Restricted Cash,-,-,-,-,-,-,-,-,-,4474,Upgrade
14,Other Current Assets,567,1855,458,569,182,481,336235,4220,2459,1745,Upgrade
15,Long-Term Deferred Tax Assets,155,156,168,140,378,266,298,4858,4259,4075,Upgrade
16,Other Long-Term Assets,-,-,7,-,22,28,31,245595,34,38,Upgrade
17,Total Assets,174687,174066,165458,160249,166888,199102,525121,516097,463165,454214,Upgrade
18,Accrued Expenses,3208,279,2078,259,5737,642,7133,15508,11213,650,Upgrade
19,Insurance & Annuity Liabilities,141099,139840,134096,126242,128097,157259,151082,442004,397436,387724,Upgrade
20,Reinsurance Payable,1379,1151,950,1175,-,1545,-,-,-,3760,Upgrade
21,Current Portion of Long-Term Debt,-,-,-,382,-,-,-,-,-,-,Upgrade
22,Current Portion of Leases,-,76,-,101,-,110,-,-,-,145,Upgrade
23,Short-Term Debt,1236,1415,1146,1083,1343,723,896,10269,9591,9421,Upgrade
24,Current Income Taxes Payable,231,275,247,208,253,185,200,280,428,396,Upgrade
25,Long-Term Debt,3953,3941,3974,3894,4290,6141,6404,8131,7696,7089,Upgrade
26,Long-Term Leases,278,158,248,198,286,237,395,445,542,485,Upgrade
27,Long-Term Deferred Tax Liabilities,1339,1250,1214,1139,2699,2862,2735,6075,5278,5237,Upgrade
28,Other Current Liabilities,3585,2949,3150,5194,5320,5926,338942,6457,6434,6390,Upgrade
29,Other Long-Term Liabilities,1143,4749,1044,3476,2591,5853,1111,4809,5240,12840,Upgrade
30,Total Liabilities,157451,156083,148147,143351,150616,181838,508898,493978,443858,434545,Upgrade
31,Common Stock,183,183,183,182,182,182,173,173,172,172,Upgrade
32,Additional Paid-In Capital,5009,5009,5009,5006,5010,5010,2645,2637,2635,2625,Upgrade
33,Retained Earnings,10650,11928,11325,10653,9997,10483,10441,14667,13657,13758,Upgrade
34,Treasury Stock,-,-,-,-,-,-267,-261,-243,-237,-183,Upgrade
35,Comprehensive Income & Other,329,703,642,890,920,1680,2715,3644,2883,3105,Upgrade
36,Total Common Equity,16171,17823,17159,16731,16109,17088,15713,20878,19110,19477,Upgrade
37,Minority Interest,1065,160,152,167,163,176,510,1241,197,192,Upgrade
38,Shareholders' Equity,17236,17983,17311,16898,16272,17264,16223,22119,19307,19669,Upgrade
39,Total Liabilities & Equity,174687,174066,165458,160249,166888,199102,525121,516097,463165,454214,Upgrade
40,Filing Date Shares Outstanding,2740,2744,2740,2737,2737,2735,2604,2598,2597,2593,Upgrade
41,Total Common Shares Outstanding,2740,2744,2740,2737,2737,2735,2604,2598,2597,2593,Upgrade
42,Total Debt,5467,5590,5368,5658,5919,7211,7695,18845,17829,17140,Upgrade
43,Net Cash (Debt),511,-839,552,-144,496,-41,-1400,-12448,-9445,-14649,Upgrade
44,Net Cash Growth,-7.43%,-,11.29%,-,-,-,-,-,-,-,Upgrade
45,Net Cash Per Share,0.19,-0.30,0.20,-0.05,0.18,-0.02,-0.54,-4.79,-3.64,-5.65,Upgrade
46,Book Value Per Share,5.90,6.50,6.26,6.11,5.89,6.25,6.03,8.04,7.36,7.51,Upgrade
47,Tangible Book Value,11594,12941,12594,11957,11394,12166,10798,15840,14199,15309,Upgrade
48,Tangible Book Value Per Share,4.23,4.72,4.60,4.37,4.16,4.45,4.15,6.10,5.47,5.90,Upgrade
