,Fiscal Quarter,Current,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,+1 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020",+1 Quarters
0,Market Capitalization,344,431,425,852,627,1212,1622,2094,1800,1508,1477,Upgrade
1,Market Cap Growth,-49.40%,-49.40%,-32.13%,-29.66%,-61.38%,-42.14%,-9.89%,38.85%,21.91%,-53.11%,-7.70%,Upgrade
2,Enterprise Value,191,273,338,752,524,1009,1451,1973,1761,1521,1487,Upgrade
3,Last Close Price,0.17,0.21,0.19,0.38,0.28,0.55,0.73,0.94,0.81,0.69,0.68,Upgrade
4,PE Ratio,6.57,8.21,19.06,-,-123.60,-,16.20,18.59,25.51,25.50,22.45,Upgrade
5,PS Ratio,0.42,0.53,0.47,0.90,0.65,1.34,1.81,2.52,2.67,2.37,1.97,Upgrade
6,PB Ratio,0.73,0.91,0.89,1.92,1.34,3.04,3.39,4.81,4.98,5.02,5.37,Upgrade
7,P/TBV Ratio,0.95,0.95,0.93,1.98,1.38,3.12,3.48,4.82,5.00,5.04,5.39,Upgrade
8,P/FCF Ratio,3.89,4.88,6.21,-153.54,-,-,13.34,16.13,10.07,11.02,38.35,Upgrade
9,P/OCF Ratio,4.79,4.79,6.02,-1549.93,-,-,10.23,12.95,9.20,10.17,32.35,Upgrade
10,EV/Sales Ratio,0.23,0.33,0.38,0.79,0.55,1.12,1.62,2.38,2.61,2.39,1.98,Upgrade
11,EV/EBITDA Ratio,2.03,3.89,8.90,-,7.22,8.43,7.66,12.41,17.25,17.31,15.16,Upgrade
12,EV/EBIT Ratio,3.25,4.65,13.13,-,9.40,9.08,7.91,12.92,18.43,18.71,15.90,Upgrade
13,EV/FCF Ratio,2.16,3.08,4.94,-135.50,-,-,11.93,15.19,9.85,11.11,38.62,Upgrade
14,Debt / Equity Ratio,0.07,0.07,0.09,0.12,0.14,0.23,0.17,0.19,0.24,0.35,0.29,Upgrade
15,Debt / FCF Ratio,0.39,0.39,0.65,-9.41,-,-,0.67,0.64,0.49,0.77,2.07,Upgrade
16,Return on Capital Employed (ROCE),11.85%,11.85%,5.08%,-,10.95%,24.73%,34.20%,30.81%,22.36%,21.89%,30.54%,Upgrade
17,Earnings Yield,15.25%,12.18%,5.25%,5.82%,-0.81%,-2.27%,6.17%,5.38%,3.92%,3.92%,4.45%,Upgrade
18,FCF Yield,25.68%,20.50%,16.09%,-0.65%,-13.10%,-0.08%,7.49%,6.20%,9.93%,9.07%,2.61%,Upgrade
19,Dividend Yield,2.13%,0.86%,-,-,-,-,-,-,-,-,-,Upgrade
20,Buyback Yield / Dilution,-0.06%,-0.03%,-0.08%,-0.00%,0.28%,0.18%,-0.27%,-0.86%,0.26%,-0.30%,0.53%,Upgrade
21,Total Shareholder Return,2.08%,0.83%,-0.08%,-0.00%,0.28%,0.18%,-0.27%,-0.86%,0.26%,-0.30%,0.53%,Upgrade
