,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters
0,Market Capitalization,687916,644921,659253,824066,852729,730911,673585,530269,501606,637756,759574,1168024,1404496,1490485,1433166,1595176,1383317,1152764,838817,637501,843610,Upgrade
1,Market Cap Growth,-11.76%,-11.76%,-2.13%,55.41%,70.00%,14.61%,-11.32%,-54.60%,-64.29%,-57.21%,-47.00%,-26.78%,1.53%,29.30%,70.86%,150.22%,63.98%,39.82%,6.06%,7.88%,62.28%,Upgrade
2,Enterprise Value,-89095,-173567,-159236,15376,44040,-66475,-102419,-238710,-378673,-221094,-238677,130466,26123,112113,91804,253814,1070,-14417,-118554,-400318,-273794,Upgrade
3,Last Close Price,9600.00,9000.00,9200.00,11500.00,11900.00,10200.00,9400.00,7400.00,7000.00,8900.00,10600.00,16300.00,17630.15,17866.78,16101.37,17921.53,15541.33,12951.11,9423.88,7162.15,9477.73,Upgrade
4,PE Ratio,19.01,-,-,7.07,4.43,4.76,6.93,-6.77,-,-,-,5.54,5.96,5.22,3.79,4.31,4.25,4.33,7.76,10.97,12.01,Upgrade
5,PS Ratio,12.36,12.14,7.05,4.71,2.65,2.35,2.63,3.32,146.50,8.53,2.75,2.54,2.76,2.48,1.63,1.75,1.60,1.62,3.52,14.18,20.28,Upgrade
6,PB Ratio,0.63,0.59,0.61,0.75,-,0.68,0.64,0.59,0.56,0.80,0.92,1.24,1.34,-,1.29,-,1.41,1.25,1.11,0.94,1.26,Upgrade
7,P/TBV Ratio,0.59,0.59,0.61,0.75,-,0.68,0.64,0.59,0.56,0.80,0.92,1.24,1.34,-,1.29,-,1.42,1.27,1.14,0.97,1.28,Upgrade
8,P/FCF Ratio,-,-9.05,-2.35,-,-,-,-,-,-,-,-1.94,-2.34,-,-,-,3.41,-,4.86,-9.91,-,-,Upgrade
9,P/OCF Ratio,-,-9.05,-2.35,-,-,-,-,-,-,-,-1.94,-2.34,-,-,-,3.40,-,4.86,-9.91,-,-,Upgrade
10,EV/Sales Ratio,-,-,-,0.09,0.14,-,-,-,-,-,-,0.28,0.05,0.19,0.10,0.28,0.00,-,-,-,-,Upgrade
11,EV/EBIT Ratio,-,-,-,-,0.29,-,-,-,-,-,-,-,0.15,0.53,0.29,0.80,0.00,-,-,-,-,Upgrade
12,EV/FCF Ratio,-,-,-,-,-,-,-,-,-,-,-,-0.26,-,-,-,0.54,-,-,-,-,-,Upgrade
13,Debt / Equity Ratio,0.00,0.00,0.00,0.00,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,0.07,-,0.02,0.02,0.03,0.03,0.04,Upgrade
14,Debt / EBITDA Ratio,0.02,0.03,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
15,Debt / FCF Ratio,-,-0.01,0.00,-,-,-,-,-,-,-,-0.01,0.00,-,-,-,-,-,0.09,-0.25,-,-,Upgrade
16,Asset Turnover,0.05,0.05,-,-,0.16,-,-,0.00,0.00,0.00,0.00,-,-,-,-,0.29,0.82,0.38,0.01,0.02,Upgrade,
17,Inventory Turnover,0.29,0.38,0.34,-,-,0.50,-,-,0.02,0.00,0.01,-,-,-,-,-,0.65,1.51,0.67,0.03,0.05,Upgrade
18,Quick Ratio,4.71,4.71,4.71,3.85,-,3.10,2.77,-,1.48,1.61,1.73,1.92,2.18,-,1.54,-,1.21,1.08,0.81,0.77,0.82,Upgrade
19,Current Ratio,5.38,5.38,5.38,4.39,-,3.77,3.51,-,2.17,2.11,2.26,2.45,2.73,-,1.98,-,1.70,1.56,1.38,1.35,1.34,Upgrade
20,Return on Equity (ROE),-0.74%,-0.73%,-,-,10.39%,25.19%,37.34%,-8.96%,-14.15%,-51.54%,9.42%,-,-,-,-,29.73%,83.12%,43.05%,2.23%,7.35%,Upgrade,
21,Return on Assets (ROA),0.45%,0.44%,-,-,4.75%,-,-,-0.35%,-0.10%,-0.16%,-0.23%,-,-,-,-,6.54%,18.78%,7.31%,0.05%,0.15%,Upgrade,
22,Return on Capital (ROIC),0.53%,0.53%,-,-,6.19%,12.27%,21.00%,-0.60%,-0.17%,-0.26%,-0.35%,-,-,-,-,15.34%,51.39%,22.51%,0.16%,0.47%,Upgrade,
23,Return on Capital Employed (ROCE),0.87%,0.59%,2.79%,-,-,13.68%,11.48%,-,-,-,-,-,16.71%,-,28.11%,-,30.07%,25.87%,8.68%,0.62%,0.51%,Upgrade
24,Earnings Yield,5.26%,3.68%,8.09%,14.15%,22.59%,21.01%,14.43%,-14.77%,-27.62%,-15.41%,1.57%,18.07%,16.78%,19.16%,26.38%,23.20%,23.54%,23.11%,12.88%,9.12%,8.33%,Upgrade
25,FCF Yield,-11.05%,-11.05%,-42.53%,-48.55%,-42.37%,-43.31%,-32.80%,-10.51%,7.24%,-9.53%,-51.50%,-42.65%,-30.15%,-20.31%,-,29.36%,21.93%,20.56%,-10.09%,-46.29%,-11.73%,Upgrade
26,Dividend Yield,0.00%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8.39%,-,-,-,-,Upgrade
27,Payout Ratio,0.00%,-,-,-,-,-,-,-,-,-,-,580.82%,-,-,-,-,-,-,0.36%,-,210.91%,Upgrade
28,Buyback Yield / Dilution,0.04%,0.02%,-0.01%,-0.20%,0.05%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
29,Total Shareholder Return,0.04%,0.02%,-0.01%,-0.20%,0.05%,-,-,-,-,-,-,-,-,-,-,-,8.39%,-,-,-,-,Upgrade
