,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters
0,Cash & Equivalents,27370,27370,139138,-,68891,145840,-,70099,5173,13711,38988,11089,-,58392,-,17855,63000,108752,6314,11419,Upgrade
1,Short-Term Investments,249851,249851,679550,-,739998,651746,-,699080,875305,847224,961594,1028849,-,1402813,-,1352839,1355073,1095509,990257,1063246,Upgrade
2,Trading Asset Securities,500237,500237,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
3,Cash & Short-Term Investments,777457,777457,818689,-,808890,797586,769179,769179,880478,860935,1000581,1039938,-,1461206,-,1370694,1418073,1204261,996571,1074665,Upgrade
4,Cash Growth,-3.89%,-2.52%,6.44%,-,-8.13%,-7.36%,-23.13%,-26.04%,-,-41.08%,-,-24.13%,-,21.34%,-,27.55%,22.81%,3.95%,-11.77%,11.09%,Upgrade
5,Accounts Receivable,108222,108222,102598,-,98357,95421,-,78433,80125,84517,84533,86664,-,68978,-,56228,49205,22404,12055,15018,Upgrade
6,Other Receivables,138.58,138.58,29207,-,42332,32753,-,37040,29743,31668,18488,51152,-,27911,-,47121,37692,49328,129361,127390,Upgrade
7,Receivables,129960,129960,131805,-,140689,128174,-,115473,109867,116185,103021,137817,-,96889,-,103349,86897,71732,141416,142408,Upgrade
8,Inventory,87932,87932,109997,-,182950,230895,-,400829,291228,289399,288318,282756,-,424785,-,575288,646924,877287,798912,745602,Upgrade
9,Prepaid Expenses,915.27,915.27,6980,-,364.21,267.63,-,20.69,34.1,134.17,37.45,101.47,-,60.22,-,44.37,146.07,147.9,126.89,166.67,Upgrade
10,Other Current Assets,15181,15181,16237,-,18741,17023,-,14985,14666,15262,14377,14468,-,12675,-,16258,14428,24602,55480,29442,Upgrade
11,Total Current Assets,1011446,1011446,1083709,-,1151634,1173946,-,1300487,1296273,1281915,1406334,1475080,-,1995614,-,2065633,2166467,2178029,1992505,1992284,Upgrade
12,"Property, Plant & Equipment",14239,14239,14534,-,14976,15123,-,15417,20343,20491,20638,20785,-,21080,-,58659,59186,59556,59927,60298,Upgrade
13,Long-Term Investments,55361,55361,55452,-,55533,55605,-,55743,55809,55917,54694,54792,-,56636,-,37389,17211,13647,13167,23527,Upgrade
14,Other Intangible Assets,468.32,468.32,468.32,-,468.32,468.32,-,468.32,468.32,468.32,468.32,468.32,-,468.32,-,483.45,485.34,487.23,497.54,512.06,Upgrade
15,Long-Term Deferred Tax Assets,274.64,274.64,460.3,-,1226,1768,-,4828,286.18,286.18,285.05,285.05,-,390.28,-,196.9,-28.9,-17.49,-2072,488.45,Upgrade
16,Other Long-Term Assets,196007,196007,186489,-,159039,137614,-,120274,39595,39544,39581,39608,-,49048,-,58027,89405,106502,112598,110348,Upgrade
17,Total Assets,1277797,1277797,1341113,-,1382876,1384524,-,1497218,1412774,1398621,1522000,1591019,-,2123237,-,2220388,2332725,2358205,2176624,2187458,Upgrade
18,Accounts Payable,47966,47966,50238,-,49770,72753,-,42710,42636,42054,42423,46020,-,40290,-,47414,60906,59752,46621,47430,Upgrade
19,Accrued Expenses,842.39,842.39,214.13,-,14306,14317,-,54754,20938,20980,20975,21183,-,21549,-,22393,23565,23671,23942,25715,Upgrade
20,Short-Term Debt,-,-,-,-,-,-,-,-,-,-,-,-,-,80403,-,1600,1600,-,-,2800,Upgrade
21,Current Income Taxes Payable,74.17,74.17,93.11,-,15808,19691,-,4279,-,-,-,-,-,127957,-,119629,157549,117243,1780,2044,Upgrade
22,Current Unearned Revenue,2451,2451,2493,-,2038,911.19,-,-,-,-,-,-,-,-,-,-,-,1747,7838,8524,Upgrade
23,Other Current Liabilities,136592,136592,194045,-,223955,227049,-,496742,550518,502947,511655,472996,-,739752,-,1023396,1145132,1378397,1394515,1404875,Upgrade
24,Total Current Liabilities,187926,187926,247083,-,305877,334723,-,598486,614091,565981,575053,540199,-,1009952,-,1214433,1388751,1580810,1474697,1491388,Upgrade
25,Long-Term Debt,446,446,200,-,200,200,-,200,200,2085,2330,2380,-,2430,-,19593,19593,21193,23293,21193,Upgrade
26,Long-Term Unearned Revenue,658.52,658.52,903.91,-,1146,1530,-,1878,1878,784.07,562.73,587.27,-,636.36,-,685.45,710,734.55,759.09,783.64,Upgrade
27,Other Long-Term Liabilities,-,-,-,-,-,-,-,-,-,-,-,-,-,-3040,-,4269,4378,3078,2328,2328,Upgrade
28,Total Liabilities,189031,189031,248187,-,307223,336453,-,600564,616169,568850,577945,543166,-,1009978,-,1238981,1413432,1605816,1501077,1515692,Upgrade
29,Common Stock,716579,716579,716579,-,716579,716579,-,716579,716579,716579,716579,716579,-,623156,-,623116,623116,479324,479324,479324,Upgrade
30,Additional Paid-In Capital,17322,17322,17322,-,17322,17322,-,17322,17322,17322,17322,17322,-,17322,-,17322,17322,17322,17322,17322,Upgrade
31,Retained Earnings,354865,354865,359024,-,341751,314170,-,162753,62704,95869,210154,313951,-,472781,-,332831,264223,239856,162993,162267,Upgrade
32,Total Common Equity,1088766,1088766,1092926,-,1075653,1048071,896654,896654,796606,829770,944055,1047853,-,1113259,-,973268,904660,736501,659639,658913,Upgrade
33,Minority Interest,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8140,14633,15887,15907,12853,Upgrade
34,Shareholders' Equity,1088766,1088766,1092926,-,1075653,1048071,896654,896654,796606,829770,944055,1047853,-,1113259,-,981408,919293,752389,675547,671766,Upgrade
35,Total Liabilities & Equity,1277797,1277797,1341113,-,1382876,1384524,-,1497218,1412774,1398621,1522000,1591019,-,2123237,-,2220388,2332725,2358205,2176624,2187458,Upgrade
36,Total Debt,446,446,200,-,200,200,200,200,200,2085,2330,2380,-,82833,-,21193,21193,21193,23293,23993,Upgrade
37,Net Cash (Debt),777011,777011,818489,-,808690,797386,768979,768979,880278,858850,998251,1037558,-,1378372,-,1349501,1396880,1183068,973278,1050672,Upgrade
38,Net Cash Growth,-3.92%,-2.56%,6.44%,-,-8.13%,-7.16%,-22.97%,-25.89%,-,-37.69%,-,-23.12%,-,16.51%,-,28.44%,23.60%,4.40%,-9.85%,11.70%,Upgrade
39,Net Cash Per Share,10847.70,10847.70,11397.05,-,11288.21,11133.01,10729.30,10731.02,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
40,Filing Date Shares Outstanding,71.66,71.66,71.82,71.62,71.64,71.62,71.67,71.66,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
41,Total Common Shares Outstanding,71.66,71.66,71.82,71.62,71.64,71.62,71.67,71.66,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
42,Working Capital,823520,823520,836625,-,845758,839223,-,702001,682182,715933,831282,934881,-,985662,-,851200,777716,597219,517808,500896,Upgrade
43,Book Value Per Share,15193.94,15193.94,15218.45,-,15014.65,14633.04,12512.71,12512.71,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
44,Tangible Book Value,1088298,1088298,1092457,-,1075184,1047603,896186,896186,796137,829302,943586,1047384,-,1112790,-,972785,904175,736014,659142,658401,Upgrade
45,Tangible Book Value Per Share,15187.40,15187.40,15211.93,-,15008.11,14626.51,12506.17,12506.17,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
46,Buildings,4641,4641,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
47,Machinery,4283,4283,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
48,Construction In Progress,11367,11367,11367,-,11367,11367,-,11367,16145,16145,16145,16145,-,16145,-,16145,16145,16145,16145,16145,Upgrade
