,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,-,778.57,581.05,863.21,1249,713.49,912.83,756.55,959.28,1321,59.98,-,101.33,-,50.24,50.24
1,Trading Asset Securities,-,497.29,707.62,516.23,266.55,806.68,586.8,799.01,563.32,192.61,47.64,-,50.92,-,105,105
2,Cash & Short-Term Investments,1276,1276,1289,1379,1516,1520,1500,1556,1523,1514,107.62,152.25,152.25,-,155.24,155.24
3,Cash Growth,-15.83%,-16.07%,-14.07%,-11.32%,-0.45%,0.41%,1293.40%,921.74%,900.09%,-,-30.67%,-1.93%,-,-,-,-
4,Accounts Receivable,-,417.96,355.25,341.12,295.97,271.26,289.66,286.04,238.25,228.44,248.22,-,196.17,-,138.59,138.59
5,Other Receivables,-,19.4,16.91,11.11,1.98,9.06,6.52,7.23,2.09,7.7,0.23,-,0.13,-,0.07,0.07
6,Receivables,-,437.35,372.16,352.23,297.96,280.31,296.18,293.27,240.34,236.14,248.46,-,196.3,-,139.48,139.48
7,Inventory,-,172.11,156.7,212.17,226.52,211.03,197.83,231.56,258.65,266.16,265.21,-,187.05,-,90.68,90.68
8,Prepaid Expenses,-,-,-,-,-,-,-,-,-,-,3.31,-,0.71,-,1.08,1.08
9,Other Current Assets,-,9.73,29.59,16.75,10.78,7.44,8.78,21.45,10.51,30.39,22.9,-,22.55,-,12.15,12.15
10,Total Current Assets,-,1895,1847,1961,2051,2019,2002,2102,2032,2047,647.5,-,558.86,-,398.63,398.63
11,"Property, Plant & Equipment",-,67.01,63.73,63.94,65.82,65.98,62.66,60.62,59.48,54.26,54.9,-,41.9,-,39.75,39.75
12,Long-Term Investments,-,28.39,24.39,21.32,11.32,10,10,10,10,-,-,-,-,-,-,-
13,Other Intangible Assets,-,19.9,20.23,20.31,20.24,20.2,20.5,19.48,19.74,14.04,13.06,-,12.9,-,12.56,12.56
14,Long-Term Accounts Receivable,-,-,0.17,-,1.24,-,1.1,-,1.88,-,-,-,3.64,-,-,-
15,Long-Term Deferred Tax Assets,-,22.48,21.51,13.47,10.05,16.38,15.28,13.75,11.54,11.48,10.72,-,9.04,-,7.47,7.47
16,Long-Term Deferred Charges,-,12.99,12.27,6.91,5.62,6.76,6.16,6.8,5.29,5.54,3.93,-,4.29,-,4.44,4.44
17,Other Long-Term Assets,-,7.54,7.82,6.45,6.89,10.63,8.62,0.11,3.04,0.09,3.44,-,0.94,-,2.41,2.41
18,Total Assets,-,2053,1997,2093,2172,2149,2127,2213,2143,2132,733.54,-,631.57,-,465.25,465.25
19,Accounts Payable,-,70.46,50.1,55.84,60.69,70.07,70.54,66.35,60.89,64.66,100.83,-,93.9,-,36.66,36.66
20,Accrued Expenses,-,29.08,27.01,33.7,35.86,18.4,21.03,26.28,39.47,12.64,21.95,-,31.97,-,13.86,13.86
21,Short-Term Debt,-,243.12,222.99,238.38,227.5,225.47,210.33,207.33,135.13,162.61,7.51,-,7.51,-,22.52,22.52
22,Current Portion of Leases,-,5.38,5.26,5.72,5.6,5.37,5.26,5.14,4.97,3.72,4.89,-,3.52,-,2.75,2.75
23,Current Income Taxes Payable,-,2.87,-,1.79,1.38,0.9,-,6.55,3.16,14.59,6.64,-,3.78,-,-,-
24,Current Unearned Revenue,-,22.79,20.7,45.91,63.01,34.84,38.42,80.26,107.73,94.89,138.11,-,105.24,-,50.51,50.51
25,Other Current Liabilities,-,11.45,7.23,11.43,13.38,15.83,18.3,17.89,19.74,32.86,37.97,-,27.13,-,20.05,20.05
26,Total Current Liabilities,-,385.15,333.29,392.76,407.43,370.88,363.88,409.8,371.09,385.98,317.89,-,273.05,-,146.36,146.36
27,Long-Term Leases,-,3.7,4.87,4.21,7.75,10.1,10.41,11.62,13.1,13.02,11.96,-,10.89,-,12.36,12.36
28,Long-Term Unearned Revenue,-,1.14,1.16,1.18,1.2,1.23,1.25,0.47,0.49,0.52,0.54,-,0.58,-,0.63,0.63
29,Long-Term Deferred Tax Liabilities,-,-,-,-,-,2.28,2.39,0.19,-,0.23,0.09,-,0.13,-,-,-
30,Other Long-Term Liabilities,-,3.36,2.77,6.28,4.54,4.73,5.18,4.05,3.93,4.04,3.55,-,2.54,-,1.05,1.05
31,Total Liabilities,-,393.35,342.09,404.43,420.92,389.22,383.11,426.13,388.61,403.79,334.03,-,287.19,-,160.39,160.39
32,Common Stock,-,114.8,114.8,114.8,114.8,114.8,114.8,82,82,82,61.5,-,61.5,-,61.5,61.5
