,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,6038,4637,4551,4820,5912,9575,9057,12742,10257,11866,8582,-,-,-,-,-,-
1,Market Cap Growth,-51.58%,-51.58%,-49.75%,-62.17%,-42.36%,-19.30%,5.53%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,5014,3613,3496,3689,4632,8296,7784,11412,8924,10534,8501,-,-,-,-,-,-
3,Last Close Price,53.13,40.80,40.26,42.44,51.27,83.04,78.54,110.50,88.24,102.09,73.84,-,-,-,-,-,-
4,PE Ratio,70.84,54.71,407.77,535.36,160.49,-,89.54,106.79,83.11,107.05,79.94,-,-,-,-,-,-
5,Forward PE,45.06,47.51,65.26,37.12,48.00,49.95,47.51,65.36,67.13,-,-,-,-,-,-,-,-
6,PS Ratio,10.30,7.95,9.52,11.44,12.23,18.23,15.35,20.39,17.30,22.71,17.57,-,-,-,-,-,-
7,PB Ratio,3.60,2.79,2.74,2.91,3.50,5.47,5.15,7.31,5.74,6.76,4.97,-,-,-,-,-,-
8,P/TBV Ratio,2.83,2.83,2.77,2.95,3.54,5.53,5.20,7.40,5.81,6.85,5.01,-,-,-,-,-,-
9,P/FCF Ratio,-,-,-,-,-,-,259.92,-1496.83,-,-392.62,-,-,-,-,-,-,-
10,P/OCF Ratio,-,-,-,-,-,981.50,128.16,506.61,-,2935.97,-,-,-,-,-,-,-
11,PEG Ratio,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.86,-,-,-,-,-,-,-,-
12,EV/Sales Ratio,8.60,6.20,7.31,8.76,9.58,15.80,13.20,18.26,15.05,20.16,17.40,-,-,-,-,-,-
13,EV/EBITDA Ratio,52.27,37.52,-88.49,-,-,-,135.39,134.37,91.03,-,77.69,-,-,-,-,-,-
14,EV/EBIT Ratio,57.21,41.23,-72.59,-,-,-,150.50,143.27,95.25,-,80.13,-,-,-,-,-,-
15,EV/FCF Ratio,-,-,-,-,-,-,223.39,-1340.59,-,-348.53,-,-,-,-,-,-,-
16,Debt / Equity Ratio,0.15,0.15,0.15,0.14,0.15,0.14,0.14,0.13,0.13,0.09,0.10,0.06,0.06,0.06,-,0.12,0.12
17,Debt / EBITDA Ratio,2.63,0.67,1.97,-,-,-,4.77,2.10,1.80,-,1.12,0.15,0.25,0.44,-,0.44,0.44
18,Debt / FCF Ratio,-,-,-,-,-,-,6.92,-26.55,-,-5.07,-,-0.73,-,-0.50,-,-,-
19,Asset Turnover,-,0.32,0.24,0.23,0.13,0.20,0.34,0.30,0.25,0.40,-,-,-,-,0.79,-,
20,Inventory Turnover,-,-,1.53,1.78,0.98,0.87,0.62,1.91,1.29,1.07,0.91,-,-,-,-,2.18,-
21,Quick Ratio,-,-,4.45,4.98,4.41,4.45,4.85,4.94,4.51,4.75,4.53,1.12,-,1.28,-,2.01,2.01
22,Current Ratio,-,-,4.92,5.54,4.99,5.03,5.44,5.50,5.13,5.48,5.30,2.04,-,2.05,-,2.72,2.72
23,Return on Equity (ROE),15.62%,3.60%,0.96%,0.23%,-2.01%,2.63%,7.16%,6.83%,5.75%,11.84%,37.96%,20.74%,-,-,23.78%,-,
24,Return on Assets (ROA),-,3.70%,-3.73%,-0.51%,-5.01%,1.33%,2.54%,3.43%,-1.36%,6.86%,-,-,-,-,10.96%,-,
25,Return on Capital (ROIC),12.10%,3.94%,-3.98%,-0.56%,-5.42%,1.43%,2.77%,3.81%,-1.52%,8.43%,22.86%,14.68%,-,-,14.89%,-,
26,Return on Capital Employed (ROCE),-,-,-2.89%,-,-,-,2.91%,4.52%,5.20%,-,6.08%,21.89%,-,20.68%,-,12.79%,6.40%
27,Earnings Yield,1.40%,1.83%,0.25%,0.19%,0.62%,0.69%,1.12%,0.94%,1.20%,0.93%,1.25%,-,-,-,-,-,-
28,FCF Yield,-,-2.64%,-2.17%,-1.00%,-0.25%,0.38%,-0.07%,-0.13%,-0.25%,-0.53%,-,-,-,-,-,-,
29,Dividend Yield,0.37%,-,-,-,-,0.24%,-,-,-,0.70%,-,-,-,-,-,-,-
30,Payout Ratio,0.00%,-,13.09%,603.79%,4.88%,-,13.99%,259.66%,0.19%,5.46%,2.29%,0.21%,0.40%,0.62%,0.88%,49.35%,49.35%
31,Buyback Yield / Dilution,1.50%,3.11%,-12.37%,8.11%,7.89%,18.58%,-35.94%,-30.12%,-34.15%,-63.81%,1.82%,-19.45%,-15.34%,-,-,-,-
32,Total Shareholder Return,1.87%,3.11%,-12.37%,8.11%,7.89%,18.82%,-35.94%,-30.12%,-34.15%,-63.11%,1.82%,-19.45%,-15.34%,-,-,-,-
