,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,174.95,164.61,122.96,120.6,69.38,107.75,185.23,162.43,134.34,142.78,153.2,92.05,99.69,87.38,91.38,91.38
1,Other Revenue,-,-0.05,0.05,-,0.4,-,-,-,0.12,-0.04,0.04,-,0.81,-0.54,0.27,0.27
2,Revenue,174.95,164.55,123.01,120.6,69.78,107.75,185.23,162.43,134.45,142.75,153.24,92.05,100.5,86.84,91.65,91.65
3,Revenue Growth (YoY),150.71%,52.73%,-33.59%,-25.75%,-48.10%,-24.52%,20.88%,76.46%,33.79%,64.37%,67.21%,0.44%,-,-,-,-
4,Cost of Revenue,-198.47,62.73,82.21,53.53,47.69,31.46,102.36,79.15,70.44,60.6,84.9,43.08,60.67,34.34,49.45,49.45
5,Gross Profit,373.42,101.83,40.79,67.07,22.09,76.28,82.88,83.28,64.02,82.15,68.34,48.97,39.83,52.51,42.2,42.2
6,"Selling, General & Admin",-107.31,37.65,34.08,35.58,34.53,32.16,27.74,27.24,35.87,23.6,21.94,16.73,12.29,17.5,9.94,9.94
7,Research & Development,-106.06,34.39,36.96,34.7,31.24,32.14,30.5,23.56,22.81,20.49,18.73,12.5,15.16,11.23,9.69,9.69
8,Other Operating Expenses,502.54,-4.65,-1.23,-1.19,-1.46,0.21,-0.86,0.24,15.71,-0.4,-10.83,-2.44,3.67,-0.87,0.45,0.45
9,Operating Expenses,280.89,71.86,71.27,71.45,65.36,64.92,60.79,53.39,75.63,42.85,32.22,27.45,30.68,28.32,21.8,21.8
10,Operating Income,92.53,29.97,-30.47,-4.38,-43.27,11.36,22.08,29.89,-11.61,39.29,36.12,21.51,9.15,24.19,20.4,20.4
11,Interest Expense,-39.72,-1.62,-1.8,-1.88,-2.02,-1.52,-1.69,-1.27,-1.19,-1.41,-0.3,-0.24,-0.46,-0.34,-0.33,-0.33
12,Interest & Investment Income,5.3,7.62,25.28,6.83,14.1,8.06,10.9,6.45,6.72,0.4,0.22,0.25,1.19,0.24,0.13,0.13
13,Currency Exchange Gain (Loss),-,-0.01,0.01,-,0.33,-0.36,0.36,-,0.19,-0.31,0.31,-,0.45,-0.18,0.09,0.09
14,Other Non Operating Income (Expenses),-0.15,-0.03,-0.13,-0,-0.57,5.31,-0.02,-0.17,-0.57,0.2,-0.21,0.01,0.06,-1.24,0.01,0.01
15,EBT Excluding Unusual Items,57.95,35.92,-7.11,0.57,-31.43,22.85,31.63,34.9,-6.47,38.18,36.14,21.53,10.38,22.67,20.3,20.3
16,Gain (Loss) on Sale of Investments,-5.54,-0.33,3.63,2.24,0.86,0.54,0.23,0.06,-0.25,0.97,0.29,0.18,-0.1,0.97,-,-
17,Gain (Loss) on Sale of Assets,0.76,0.05,-0.21,-0.61,-0.12,0,0.02,-,0,0.01,-0.01,-,-0,-,-0,-0
18,Asset Writedown,21.65,-21.65,4.16,-4.16,13.6,-13.36,2.85,-2.85,5.64,-5.84,2.33,-2.33,5,-4.83,-0.06,-0.06
19,Other Unusual Items,-,1.04,-0.92,-0.11,12.2,0.27,-0.27,-,28.27,-0.03,0.03,-,7.08,0.91,-0.45,-0.45
20,Pretax Income,74.84,15.02,-0.46,-2.07,-4.89,10.29,34.46,32.1,27.2,33.29,38.78,19.38,22.36,19.72,19.78,19.78
21,Income Tax Expense,10.02,0.11,-4.49,-3.06,3.93,-1.23,2.87,1.89,2.15,1.79,3.48,1.52,0.59,4.9,1.66,1.66
22,Earnings From Continuing Operations,64.82,14.91,4.03,0.99,-8.82,11.52,31.59,30.21,25.05,31.49,35.3,17.86,21.77,14.82,18.12,18.12
23,Minority Interest in Earnings,-0.51,0.28,0.17,0.06,-0.47,1.52,0.45,0.55,0.26,-0.28,0.83,0.34,0.04,0.55,-2.08,-2.08
24,Net Income,64.31,15.2,4.2,1.05,-9.29,13.04,32.04,30.76,25.31,31.21,36.13,18.2,21.81,15.36,16.04,16.04
25,Net Income to Common,64.31,15.2,4.2,1.05,-9.29,13.04,32.04,30.76,25.31,31.21,36.13,18.2,21.81,15.36,16.04,16.04
26,Net Income Growth,-,16.55%,-86.88%,-96.59%,-,-58.22%,-11.33%,69.01%,16.03%,103.15%,125.28%,13.46%,-,-,-,-
27,Shares Outstanding (Basic),111,131,105,105,115,116,114,114,141,86,88,85,86,87,74,74
28,Shares Outstanding (Diluted),111,131,105,105,115,116,114,114,141,86,88,85,86,87,74,74
29,Shares Change (YoY),-3.11%,12.37%,-8.11%,-7.89%,-18.58%,35.94%,30.12%,34.15%,63.81%,-1.82%,19.45%,15.34%,-,-,-,-
30,EPS (Basic),0.58,0.12,0.04,0.01,-0.08,0.11,0.28,0.27,0.18,0.36,0.41,0.21,0.25,0.18,0.22,0.22
31,EPS (Diluted),0.58,0.12,0.04,0.01,-0.08,0.11,0.28,0.27,0.18,0.36,0.41,0.21,0.25,0.18,0.22,0.22
32,EPS Growth,-,3.72%,-85.72%,-96.30%,-,-69.27%,-31.86%,25.99%,-29.17%,106.92%,88.60%,-1.63%,-,-,-,-
33,Free Cash Flow,-,-8.52,-29.7,-72.91,-8.83,6.63,16.26,-38.36,50.32,-36.73,11.02,-54.83,35.48,-24.81,-27.19,-27.19
34,Free Cash Flow Per Share,-,-0.07,-0.28,-0.69,-0.08,0.06,0.14,-0.34,0.36,-0.43,0.13,-0.65,0.41,-0.28,-0.37,-0.37
35,Dividend Per Share,-,-,-,-,0.200,-,-,-,0.714,-,-,-,-,-,-,-
36,Dividend Growth,-,-,-,-,-72.00%,-,-,-,-,-,-,-,-,-,-,-
37,Gross Margin,213.45%,61.88%,33.16%,55.61%,31.66%,70.80%,44.74%,51.27%,47.61%,57.55%,44.60%,53.20%,39.63%,60.46%,46.05%,46.05%
38,Operating Margin,52.89%,18.21%,-24.77%,-3.63%,-62.01%,10.54%,11.92%,18.40%,-8.64%,27.53%,23.57%,23.37%,9.11%,27.85%,22.26%,22.26%
39,Profit Margin,36.76%,9.24%,3.42%,0.87%,-13.31%,12.10%,17.30%,18.94%,18.82%,21.86%,23.58%,19.77%,21.70%,17.69%,17.50%,17.50%
40,Free Cash Flow Margin,-,-5.18%,-24.15%,-60.45%,-12.65%,6.15%,8.78%,-23.62%,37.43%,-25.73%,7.19%,-59.57%,35.31%,-28.57%,-29.67%,-29.67%
41,EBITDA,94.6,32.04,-28.04,-2.3,-41.2,12.63,24.03,31.16,-10.34,40.07,37.15,22.29,9.92,24.89,21.1,21.1
42,EBITDA Margin,54.07%,19.47%,-22.80%,-1.91%,-59.04%,11.73%,12.97%,19.19%,-7.69%,28.07%,24.24%,24.21%,9.87%,28.66%,23.03%,23.03%
43,D&A For EBITDA,2.07,2.07,2.43,2.07,2.07,1.27,1.95,1.27,1.27,0.77,1.02,0.77,0.77,0.7,0.7,0.7
44,EBIT,92.53,29.97,-30.47,-4.38,-43.27,11.36,22.08,29.89,-11.61,39.29,36.12,21.51,9.15,24.19,20.4,20.4
45,EBIT Margin,52.89%,18.21%,-24.77%,-3.63%,-62.01%,10.54%,11.92%,18.40%,-8.64%,27.53%,23.57%,23.37%,9.11%,27.85%,22.26%,22.26%
46,Effective Tax Rate,13.39%,0.72%,-,-,-,-,8.33%,5.90%,7.91%,5.38%,8.97%,7.86%,2.65%,24.85%,8.39%,8.39%
47,Revenue as Reported,-,164.55,123.01,120.6,69.78,107.75,185.23,162.43,134.45,142.75,153.24,92.05,100.5,86.84,91.65,91.65
