,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Revenue,1462,1625,1375,1789,1278,1246,1101
1,Revenue Growth (YoY),6.31%,-9.16%,7.65%,43.58%,16.07%,-,-
2,Cost of Revenue,381.21,671.04,373.98,410.17,308.41,314.78,266.23
3,Gross Profit,1081,953.96,1001,1379,969.12,931.07,834.46
4,"Selling, General & Admin",999.49,1213,997.04,1327,901.18,809.09,692.04
5,Other Operating Expenses,-5.39,1.3,-3.18,-6.68,-5.42,-11.82,-3.65
6,Operating Expenses,994.23,1214,994.54,1321,898.83,796.96,688.68
7,Operating Income,86.7,-260.52,6.77,57.35,70.29,134.12,145.78
8,Interest Expense,-4.24,-4.32,-5.07,-7.49,-6.66,-5.26,-3.2
9,Interest & Investment Income,-,5.28,-,1.08,-,-,-
10,Currency Exchange Gain (Loss),10.32,2.21,8.94,1.92,10.08,-4.59,-5.3
11,Other Non Operating Income (Expenses),-0.13,-,-0.07,-0.15,-0.05,-0.08,-0.01
12,EBT Excluding Unusual Items,92.66,-257.35,10.57,52.7,73.65,124.18,137.27
13,Gain (Loss) on Sale of Investments,-,-,-,-,-,-,0.03
14,Gain (Loss) on Sale of Assets,0.68,-0.52,0.08,-0.02,-0.03,-0.01,-0.05
15,Other Unusual Items,-,-,-,3.16,-2.27,-23.52,-0.29
16,Pretax Income,93.33,-257.87,10.66,55.84,71.35,100.66,136.98
17,Income Tax Expense,1.97,18.2,0.38,6.46,10.03,14.38,22.74
18,Net Income,91.37,-276.06,10.28,49.38,61.31,86.28,114.23
19,Net Income to Common,91.37,-276.06,10.28,49.38,61.31,86.28,114.23
20,Net Income Growth,789.11%,-,-83.24%,-42.77%,-46.33%,-,-
21,Shares Outstanding (Basic),495,499,500,469,458,516,400
22,Shares Outstanding (Diluted),495,499,500,469,458,516,400
23,Shares Change (YoY),-1.10%,6.40%,9.18%,-9.00%,14.49%,-,-
24,EPS (Basic),0.18,-0.55,0.02,0.11,0.13,0.17,0.29
25,EPS (Diluted),0.18,-0.55,0.02,0.11,0.13,0.17,0.29
26,EPS Growth,798.98%,-,-84.65%,-37.10%,-53.12%,-,-
27,Free Cash Flow,129.06,16.68,55.08,76.03,6.81,-105.87,-107.83
28,Free Cash Flow Per Share,0.26,0.03,0.11,0.16,0.01,-0.21,-0.27
29,Operating Margin,5.93%,-16.03%,0.49%,3.21%,5.50%,10.76%,13.24%
30,Profit Margin,6.25%,-16.99%,0.75%,2.76%,4.80%,6.93%,10.38%
31,Free Cash Flow Margin,8.83%,1.03%,4.01%,4.25%,0.53%,-8.50%,-9.80%
32,EBITDA,89.86,-257.95,10.35,59.48,72.78,135.98,147.49
33,D&A For EBITDA,3.16,2.57,3.58,2.14,2.49,1.86,1.7
34,EBIT,86.7,-260.52,6.77,57.35,70.29,134.12,145.78
