,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Mar '25 Mar 7, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Market Capitalization,2055,1985,2720,1645,2975,-,-,-
1,Market Cap Growth,20.67%,20.67%,-8.57%,-,-,-,-,-
2,Enterprise Value,1861,1891,2606,1581,3321,-,-,-
3,Last Close Price,4.11,3.97,5.44,3.24,5.86,-,-,-
4,PE Ratio,-,-10.00,-,25.52,23.77,-,-,-
5,Forward PE,-,8.35,8.35,4.98,-,-,-,-
6,PS Ratio,0.62,0.60,0.82,0.48,0.86,-,-,-
7,PB Ratio,3.43,3.31,5.10,1.96,3.34,-,-,-
8,P/TBV Ratio,3.32,3.32,5.13,1.97,3.35,-,-,-
9,P/FCF Ratio,13.12,12.68,34.41,11.61,31.77,-,-,-
10,P/OCF Ratio,12.36,12.36,32.18,11.08,28.58,-,-,-
11,EV/Sales Ratio,0.56,0.57,0.79,0.46,0.96,-,-,-
12,EV/EBITDA Ratio,-,-10.47,-,20.95,22.21,-,-,-
13,EV/EBIT Ratio,-,-10.12,-,22.82,23.02,-,-,-
14,EV/FCF Ratio,11.88,12.07,32.97,11.16,35.47,-,-,-
15,Debt / Equity Ratio,0.34,0.34,0.40,0.27,0.30,0.88,0.95,-
16,Debt / FCF Ratio,1.31,1.31,2.69,1.60,2.89,-3.84,-,-
17,Return on Capital Employed (ROCE),-,-30.30%,-,7.92%,15.36%,44.14%,70.22%,-
18,Earnings Yield,-9.66%,-10.00%,-10.77%,3.92%,4.21%,-,-,-
19,FCF Yield,7.62%,7.89%,2.91%,8.61%,3.15%,-,-,-
20,Buyback Yield / Dilution,-2.53%,1.10%,-6.40%,-9.18%,9.00%,-14.49%,-,-
21,Total Shareholder Return,-2.53%,1.10%,-6.40%,-9.18%,9.00%,-14.49%,-,-
