,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Cash & Equivalents,371.7,277.48,314.55,294.54,82.91,80.86,-
1,Short-Term Investments,0.42,1.4,0.28,1.71,2.2,0.8,-
2,Cash & Short-Term Investments,372.13,278.88,314.83,296.24,85.11,81.66,-
3,Cash Growth,18.20%,-5.86%,269.89%,262.78%,-,-,-
4,Accounts Receivable,172.72,144.5,213.55,187.53,203.53,178.58,-
5,Other Receivables,2.35,6.89,2.46,1.23,2.19,1.55,-
6,Receivables,175.06,151.39,216,188.76,205.72,180.13,-
7,Inventory,315.91,399.45,698.47,754.67,761.08,664.32,-
8,Restricted Cash,0.42,2.42,1.01,8.37,1.3,1.26,-
9,Other Current Assets,10.3,6.94,7.28,5.46,12.53,27.44,-
10,Total Current Assets,873.81,839.07,1238,1254,1066,954.81,-
11,"Property, Plant & Equipment",46.45,43.81,73.96,84.9,60.84,49.33,-
12,Long-Term Investments,4.99,4.96,-,-,-,-,-
13,Other Intangible Assets,1.34,2.28,2.64,2.79,3.47,0.7,-
14,Long-Term Deferred Tax Assets,-,-,18.09,14.5,13.01,11.45,-
15,Other Long-Term Assets,3.81,3.29,7.01,5.02,2.75,3.39,-
16,Total Assets,930.39,893.41,1339,1361,1146,1020,-
17,Accounts Payable,51.92,85.96,171.59,150.9,152.56,117.75,-
18,Accrued Expenses,72.28,61.16,94.14,74.15,38.7,65.47,-
19,Short-Term Debt,-,-,-,-,108.37,106.09,-
20,Current Portion of Long-Term Debt,156.99,161.99,147.64,167.8,224.31,209.94,-
21,Current Portion of Leases,19.19,21.01,28.37,28.14,19.46,14.51,-
22,Current Income Taxes Payable,1.05,2.15,9.95,25.21,35.47,28.87,-
23,Current Unearned Revenue,4.69,7.8,4.21,9.93,11.23,29.65,-
24,Other Current Liabilities,50.05,59.22,74.05,73.61,92.67,48.78,-
25,Total Current Liabilities,356.81,399.29,529.95,529.73,682.77,621.06,-
26,Long-Term Debt,-,-,-,-,0.3,0.3,-
27,Long-Term Leases,15.33,10.38,33.63,43.66,28.45,25.34,-
28,Total Liabilities,372.13,409.67,563.58,573.39,711.52,646.7,-
29,Common Stock,0.17,0.17,0.17,0.17,0.14,0.14,-
30,Additional Paid-In Capital,1582,1582,1582,1603,1300,1300,-
31,Retained Earnings,277.06,224.13,461.96,489.92,440.54,379.23,-
32,Comprehensive Income & Other,-1301,-1322,-1268,-1306,-1306,-1306,-
33,Shareholders' Equity,558.26,483.74,775.71,787.32,434.29,372.98,-
34,Total Liabilities & Equity,930.39,893.41,1339,1361,1146,1020,-
35,Total Debt,191.51,193.38,209.64,239.6,380.89,356.17,-
36,Net Cash (Debt),180.62,85.5,105.19,56.65,-295.77,-274.51,-
37,Net Cash Growth,71.70%,50.93%,-,-,-,-,-
38,Net Cash Per Share,0.37,0.17,0.21,0.12,-0.65,-0.53,-
39,Filing Date Shares Outstanding,500,500,500,500,2,515.9,400
40,Total Common Shares Outstanding,500,500,500,500,2,515.9,400
41,Working Capital,517.01,439.78,707.63,723.78,382.97,333.75,-
42,Book Value Per Share,1.12,0.97,1.55,1.57,217.15,0.72,-
43,Tangible Book Value,556.92,481.46,773.08,784.53,430.82,372.28,-
44,Tangible Book Value Per Share,1.11,0.96,1.55,1.57,215.41,0.72,-
45,Machinery,-,14.79,-,18.32,17.06,14.33,-
46,Leasehold Improvements,-,5.44,-,6.08,4.14,1.77,-
