,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,316.09,271.83,225.39,296.9,285.06,243.69,180.61,212.95,217.9,186.77,137.64,175.87,163.39,119.24,119.24
1,Other Revenue,-0.27,0.27,-,1.53,-0.39,0.39,-,0.39,-0.17,0.17,-,0.43,-0.23,0.12,0.12
2,Revenue,315.82,272.1,225.39,298.42,284.67,244.08,180.61,213.34,217.73,186.94,137.64,176.3,163.16,119.36,119.36
3,Revenue Growth (YoY),10.94%,11.48%,24.80%,39.88%,30.75%,30.56%,31.22%,21.01%,33.45%,56.63%,15.32%,-,-,-,-
4,Cost of Revenue,180.77,153.16,131.43,159.48,160.35,129.75,95.11,105.44,109.88,97.32,67.76,84.85,80.62,55.62,55.62
5,Gross Profit,135.05,118.94,93.97,138.95,124.32,114.33,85.5,107.9,107.85,89.62,69.88,91.46,82.54,63.73,63.73
6,"Selling, General & Admin",45.73,40.46,42.09,44.49,37.05,34.44,31.18,31.53,32.28,24.97,23.33,23.97,21.03,20.74,20.74
7,Research & Development,38.36,35.71,32.62,34.08,26.42,26.91,20.31,20.75,18.44,18.95,14.78,13.79,13.61,13.72,13.72
8,Other Operating Expenses,-6.69,-5.77,-4.38,-6.25,-4.91,-3.22,-5.16,-3.05,-3.86,-3.94,-2.78,-1.97,-1.92,-2.15,-2.15
9,Operating Expenses,81.32,72.98,66.18,78.41,60.96,57.64,45.25,50.96,46.37,37.91,35.33,39.23,31.81,32.99,32.99
10,Operating Income,53.73,45.96,27.79,60.54,63.36,56.69,40.24,56.94,61.48,51.71,34.55,52.23,50.73,30.74,30.74
11,Interest Expense,-0.32,-0.49,-,-,-2.98,-,-,-0,-0.21,-0.41,-0.52,-0.65,-0.51,-0.67,-0.67
12,Interest & Investment Income,6.05,4.47,3.81,10.85,-,6.62,6.49,5.09,3,0.1,0.11,0.07,0.07,0.34,0.34
13,Other Non Operating Income (Expenses),0.34,0.13,-0.3,-0.87,14.06,-0.65,-0.17,-4.33,-0.15,3.81,0.17,-3.2,-0.08,0.88,0.88
14,EBT Excluding Unusual Items,59.8,50.07,31.3,70.52,74.44,62.66,46.57,57.69,64.12,55.21,34.31,48.45,50.21,31.29,31.29
15,Gain (Loss) on Sale of Investments,1.46,3.37,5.41,-2.5,-2.42,1.16,0.96,2.8,-,-0,-,-,-,-,-
