,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,101.45,110.93,158,1021,191.52,178,152.42,508.66,772.94,91.02,-,116.77,-,-,-
1,Short-Term Investments,10.38,161,42.08,186.39,-,663.1,-,586.3,-,-,-,-,-,-,-
2,Trading Asset Securities,787.24,865.46,899.58,5,806,459.92,488.76,257.79,645,5,-,5,-,-,-
3,Cash & Short-Term Investments,899.08,1137,1100,1212,997.52,1301,641.18,1353,1418,96.02,121.77,121.77,-,-,103.08
4,Cash Growth,-9.87%,-12.58%,71.51%,-10.38%,-29.65%,1254.97%,426.55%,1010.91%,-,-,18.13%,-,-,-,-
5,Accounts Receivable,606.97,543.67,511.97,528.63,536.25,512.35,572.33,558.32,524.83,490.13,-,433.84,-,-,-
6,Other Receivables,10.93,8.41,10.53,10.02,13.37,9.08,8.02,10.47,14.6,8.5,-,7.36,-,-,-
7,Receivables,617.9,552.08,522.5,538.65,549.62,521.42,580.36,568.79,539.43,498.63,-,441.2,-,-,-
8,Inventory,266.18,287.86,292.87,272.91,255.56,276.25,277.77,266.22,244,230.26,-,189.01,-,-,-
9,Prepaid Expenses,-,1.32,-,2.04,-,23.86,-,17.9,-,-,-,8.14,-,-,-
10,Other Current Assets,90.74,13.87,130.65,14.55,267.04,15.85,692.76,12.06,57.28,32.8,-,7.23,-,-,-
11,Total Current Assets,1874,1993,2046,2040,2070,2138,2192,2218,2259,857.7,-,767.35,-,-,-
12,"Property, Plant & Equipment",238.03,228.78,224.83,220.67,184.08,51.65,48.06,47.61,40.74,39.19,-,31.5,-,-,-
13,Long-Term Investments,32.5,311.75,32.5,297.25,32.5,134.18,32.5,75.55,5,5,-,5,-,-,-
14,Other Intangible Assets,19.21,18.55,17.57,17.65,16.82,15.48,15.66,15.88,16.34,15.65,-,15.34,-,-,-
15,Long-Term Deferred Tax Assets,29.43,27.07,24.04,21.47,19.76,18.32,19.03,19.11,17.65,15.76,-,14.05,-,-,-
16,Long-Term Deferred Charges,7.83,8,8.15,7.25,6.53,1.33,1.47,1.65,1.83,1.44,-,1.81,-,-,-
17,Other Long-Term Assets,470.36,16.48,284.82,17.38,223.85,119.39,175.2,95.1,30,0.62,-,0.39,-,-,-
18,Total Assets,2671,2603,2638,2622,2553,2479,2484,2473,2370,935.36,-,835.44,-,-,-
19,Accounts Payable,125.82,116.34,111.5,105,96.2,85.47,78.49,89.55,81.78,91.43,-,83.2,-,-,-
20,Accrued Expenses,30.64,32.28,17.1,53.82,26.25,25.24,15.01,41.05,19.34,20.68,-,31.34,-,-,-
21,Short-Term Debt,-,-,-,-,-,-,-,-,-,20.02,-,37,-,-,-
22,Current Portion of Leases,0.32,0.31,0.3,0.31,-,-,-,-,0.26,0.26,-,0.26,-,-,-
23,Current Income Taxes Payable,15.52,8.35,8.99,10.28,17.56,3.95,10.96,6.94,6.99,5.09,-,8.84,-,-,-
24,Current Unearned Revenue,106.38,118.62,120.8,105.95,98.78,120.06,128.5,117.25,89.89,107.31,-,81.19,-,-,-
25,Other Current Liabilities,67.07,61.08,73.87,59.9,81.81,81.43,72.77,82.6,99.55,94.1,-,82.21,-,-,-
26,Total Current Liabilities,345.75,336.98,332.57,335.26,320.61,316.16,305.74,337.39,297.8,338.9,-,324.05,-,-,-
27,Long-Term Debt,-,-,-,-,-,-,-,-,-,15.02,-,15,-,-,-
28,Long-Term Leases,1.11,1.1,1.11,1.3,1.66,0.82,-,-,-,-,-,0.26,-,-,-
29,Long-Term Deferred Tax Liabilities,3.97,3.87,1.9,1.99,2.01,3.36,2.61,1.96,-,-,-,-,-,-,-
30,Total Liabilities,350.84,341.95,335.57,338.55,324.28,320.34,308.36,339.34,297.8,353.92,-,339.31,-,-,-
31,Common Stock,131.52,131.52,131.52,131.52,131.52,131.52,87.68,87.68,87.68,65.76,-,65.76,-,-,-
32,Additional Paid-In Capital,1550,1546,1541,1534,1527,1520,1560,1560,1558,147.02,-,142.94,-,-,-
33,Retained Earnings,683.29,626.1,668.23,631.65,570.21,506.64,527.96,485.6,426.78,368.66,-,287.43,-,-,-
34,Treasury Stock,-44.11,-42.69,-38.95,-13.74,-,-,-,-,-,-,-,-,-,-,-
35,Shareholders' Equity,2320,2261,2302,2284,2229,2158,2176,2133,2072,581.45,496.13,496.13,-,-,370.61
36,Total Liabilities & Equity,2671,2603,2638,2622,2553,2479,2484,2473,2370,935.36,-,835.44,-,-,-
37,Total Debt,1.43,1.42,1.4,1.61,1.66,0.82,-,-,0.26,35.3,52.52,52.52,-,-,53
38,Net Cash (Debt),897.65,1136,1098,1211,995.86,1300,641.18,1353,1418,60.72,69.25,69.25,-,-,50.08
39,Net Cash Growth,-9.86%,-12.63%,71.29%,-10.50%,-29.75%,2041.40%,825.89%,1853.43%,-,-,38.28%,-,-,-,-
40,Net Cash Per Share,6.74,8.52,8.41,8.85,7.51,9.95,4.84,9.46,12.98,0.61,0.70,0.70,-,-,0.51
41,Filing Date Shares Outstanding,130.27,130.32,130.44,130.44,131.52,131.52,131.52,131.52,131.52,98.64,98.4,98.64,98.65,98.64,98.64
42,Total Common Shares Outstanding,130.27,130.32,130.44,130.44,131.52,131.52,131.52,131.52,131.52,98.64,98.4,98.64,98.65,98.64,98.64
43,Working Capital,1528,1656,1713,1705,1749,1822,1886,1880,1961,518.8,-,443.3,-,-,-
44,Book Value Per Share,17.81,17.35,17.65,17.51,16.95,16.41,16.54,16.22,15.76,5.89,5.03,5.03,-,-,3.76
45,Tangible Book Value,2301,2243,2284,2266,2212,2143,2160,2117,2056,565.79,480.79,480.79,-,-,354.94
46,Tangible Book Value Per Share,17.66,17.21,17.51,17.37,16.82,16.29,16.42,16.10,15.63,5.74,4.87,4.87,-,-,3.60
47,Buildings,-,183.38,-,172.55,-,28.37,-,28.37,-,28.37,-,28.37,-,-,-
48,Machinery,-,49.12,-,40.06,-,29.64,-,26.71,-,20.13,-,16.72,-,-,-
49,Construction In Progress,-,29.77,-,32.82,-,14.17,-,9.39,-,3.82,-,0.65,-,-,-
