,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Feb '25 Feb 25, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,4810,4392,3879,5333,5337,5865,6124,7324,6550,6051,-,-,-,-,-,-
1,Market Cap Growth,-25.11%,-25.11%,-36.65%,-27.18%,-18.51%,-3.08%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,3913,3256,2781,4337,4341,4564,5482,5906,5132,5990,-,-,-,-,-,-
3,Last Close Price,36.77,33.70,29.74,39.70,39.73,43.65,45.58,53.90,48.20,44.53,-,-,-,-,-,-
4,PE Ratio,24.33,21.77,18.64,24.33,23.72,26.38,28.23,35.26,33.05,32.52,-,-,-,-,-,-
5,Forward PE,19.05,17.08,14.38,17.15,18.65,21.07,23.37,28.98,26.26,-,-,-,-,-,-,-
6,PS Ratio,4.30,3.95,3.59,5.07,5.30,6.36,7.16,9.17,8.67,8.42,-,-,-,-,-,-
7,PB Ratio,2.06,1.89,1.72,2.32,2.34,2.63,2.84,3.37,3.07,2.92,-,-,-,-,-,-
8,P/TBV Ratio,1.91,1.91,1.73,2.33,2.36,2.65,2.86,3.39,3.09,2.94,-,-,-,-,-,-
9,P/FCF Ratio,67.97,62.06,37.07,28.09,38.49,76.71,4313.71,-,-,-,-,-,-,-,-,-
10,P/OCF Ratio,27.88,27.88,19.11,18.01,21.52,26.67,41.72,-,186.52,-,-,-,-,-,-,-
11,EV/Sales Ratio,3.52,2.93,2.57,4.12,4.31,4.95,6.41,7.40,6.79,8.34,-,-,-,-,-,-
12,EV/EBITDA Ratio,19.27,16.29,13.32,20.01,19.00,20.37,24.71,27.18,24.29,29.04,-,-,-,-,-,-
13,EV/EBIT Ratio,20.81,17.32,14.07,20.81,19.66,21.01,25.46,28.08,25.07,29.96,-,-,-,-,-,-
14,EV/FCF Ratio,55.29,46.01,26.58,22.85,31.31,59.70,3862.04,-,-,-,-,-,-,-,-,-
15,Debt / Equity Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,-,0.00,0.06,0.11,0.11,-,-,0.14
16,Debt / EBITDA Ratio,0.01,0.01,0.01,0.01,0.01,0.01,0.00,-,-,0.00,0.16,0.37,0.24,-,-,0.41
17,Debt / FCF Ratio,0.02,0.02,0.01,0.01,0.01,0.02,0.58,-,-,-,0.68,-,0.94,-,-,-
18,Asset Turnover,0.48,0.42,0.34,0.46,0.45,0.39,0.29,0.35,0.53,-,-,-,-,-,-,
19,Inventory Turnover,2.40,2.61,2.11,1.86,2.41,2.41,1.87,1.40,1.65,1.85,-,-,-,-,-,-
20,Quick Ratio,4.39,4.39,5.01,4.88,5.22,4.83,5.76,4.00,5.70,6.57,1.75,-,1.74,-,-,-
21,Current Ratio,5.42,5.42,5.91,6.15,6.09,6.46,6.76,7.17,6.57,7.58,2.53,-,2.37,-,-,-
22,Return on Equity (ROE),9.99%,8.16%,6.38%,10.89%,11.59%,10.63%,7.86%,11.19%,17.52%,35.96%,26.44%,-,-,-,-,
23,Return on Assets (ROA),5.09%,4.39%,2.64%,5.85%,6.30%,5.71%,4.06%,5.88%,9.30%,-,-,-,-,-,-,
24,Return on Capital (ROIC),5.86%,5.03%,3.03%,6.70%,7.22%,6.54%,4.67%,6.77%,11.43%,22.19%,15.74%,-,-,-,-,
25,Return on Capital Employed (ROCE),8.09%,8.09%,8.72%,9.04%,9.66%,9.73%,9.96%,9.66%,9.59%,9.65%,31.72%,-,32.15%,-,-,-
26,Earnings Yield,4.19%,4.59%,5.37%,4.11%,4.21%,3.79%,3.54%,2.84%,3.03%,3.07%,-,-,-,-,-,-
27,FCF Yield,1.47%,1.61%,2.70%,3.56%,2.60%,1.30%,0.02%,-1.14%,-1.25%,0.23%,-,-,-,-,-,-
28,Dividend Yield,1.81%,-,-,-,1.71%,-,-,-,1.24%,-,-,-,-,-,-,-
29,Payout Ratio,44.14%,-,190.08%,-,0.90%,7.72%,128.50%,-,-,0.48%,0.92%,1.54%,1.16%,1.33%,55.52%,55.52%
30,Buyback Yield / Dilution,0.86%,-0.48%,-2.03%,1.30%,4.32%,-21.36%,-31.01%,-34.53%,-44.51%,-10.76%,-1.12%,0.24%,-,-,-,-
31,Total Shareholder Return,2.67%,-0.48%,-2.03%,1.30%,6.04%,-21.36%,-31.01%,-34.53%,-43.27%,-10.76%,-1.12%,0.24%,-,-,-,-
