,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,94.51,192.41,371.97,150.35,326.06,514.02,379.15,442.68,805.74,581.03,59.47,370.35,20,14.66,-,22.57,-,28.07,28.07
1,Short-Term Investments,-,-,-,-,260,257.06,254.12,151.08,-,-,-,-,-,-,-,-,-,-,-
2,Trading Asset Securities,1320,1298,1133,1369,1056,1190,1402,1318,1111,1386,1908,1578,162.47,256.61,-,270.54,-,172.69,172.69
3,Cash & Short-Term Investments,1414,1491,1505,1519,1642,1961,2035,1912,1917,1967,1967,1949,182.47,271.27,293.12,293.12,-,200.76,200.76
4,Cash Growth,-13.90%,-23.97%,-26.02%,-20.55%,-14.32%,-0.31%,3.43%,-1.89%,950.34%,625.08%,571.22%,564.87%,-,35.12%,46.00%,-,-,-,-
5,Other Receivables,0.21,2.79,0.28,0.65,0.24,0.64,0.42,0.7,6.95,2.1,0.86,1.25,0.87,0.14,-,0.38,-,-,-
6,Receivables,0.21,2.79,0.28,0.65,0.24,0.64,0.42,0.7,6.95,2.1,0.86,1.25,0.87,0.14,-,0.38,-,-,-
7,Inventory,395.57,393.23,372.56,393.72,349.92,323.8,338.72,361.66,357.36,342.66,324.5,334.73,342.88,265.31,-,225.93,-,197.65,197.65
8,Other Current Assets,73.76,79.48,73.38,77.68,93.04,49.19,45.81,58.83,69.88,66.08,61.2,68.47,56.77,53.81,-,31.43,-,22.08,22.08
9,Total Current Assets,1884,1966,1952,1991,2085,2334,2420,2333,2351,2378,2354,2353,583,590.54,-,550.86,-,420.5,420.5
10,"Property, Plant & Equipment",474.32,479,482.68,486.2,483.17,231.15,231.8,231.67,227.78,215.2,146.13,145.44,75.48,57.32,-,32,-,31.34,31.34
11,Long-Term Investments,184.89,182,178.21,132.03,-,-,-,100.12,-,-,-,-,-,-,-,-,-,-,-
12,Other Intangible Assets,17.28,17.39,17.5,17.62,17.65,17.76,17.87,17.98,18.09,18.2,18.31,18.42,18.53,18.64,-,18.77,-,18.99,18.99
13,Long-Term Deferred Tax Assets,48.64,44.06,41.3,39.31,35.96,33.6,30.18,29,27.89,25.25,22.42,21.49,19.39,19.1,-,17.45,-,14.85,14.85
14,Long-Term Deferred Charges,1.52,1.05,0.86,0.9,0.9,1,1.1,1.16,1.22,1.13,1.18,1.23,-,-,-,-,-,-,-
15,Other Long-Term Assets,0.17,0.25,0.16,0.63,-,105,-,-,-,-,-,-,-,-,-,-,-,-,-
16,Total Assets,2610,2690,2672,2668,2623,2723,2701,2713,2626,2638,2542,2540,696.39,685.59,-,619.09,-,485.67,485.67
17,Accounts Payable,44.04,48.91,39.99,58.16,54.45,69.94,61.94,93.61,81.11,90.38,19.38,55.76,18.03,9.81,-,20.94,-,21.71,21.71
18,Accrued Expenses,9.18,9.64,8.88,19.91,8.09,16.74,11.12,22,11.12,7.04,9.39,16.02,3.72,11,-,23.2,-,13.37,13.37
