,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 11, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,3079,2941,2554,2747,3472,3890,4074,4204,3951,3552,4254,4362,5905,-,-,-,-,-,-,-
1,Market Cap Growth,-24.38%,-24.38%,-37.33%,-34.65%,-12.12%,9.50%,-4.23%,-3.61%,-33.09%,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,1665,1450,1048,1105,1830,1929,2040,2288,2035,1586,2289,4179,5723,-,-,-,-,-,-,-
3,Last Close Price,13.51,12.87,10.72,11.53,14.57,16.32,16.75,17.28,16.24,14.60,17.32,17.76,24.04,-,-,-,-,-,-,-
4,PE Ratio,35.29,33.70,34.58,36.94,40.99,32.75,27.45,27.03,23.65,22.14,29.39,27.66,36.30,-,-,-,-,-,-,-
5,Forward PE,-,26.88,23.33,14.01,18.35,21.33,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,PS Ratio,4.18,3.99,3.54,3.71,4.53,4.54,4.27,4.42,4.16,3.79,5.05,5.14,6.77,-,-,-,-,-,-,-
7,PB Ratio,1.21,1.16,1.02,1.06,1.35,1.53,1.60,1.61,1.54,1.41,1.72,1.75,2.42,-,-,-,-,-,-,-
8,P/TBV Ratio,1.17,1.17,1.02,1.07,1.36,1.54,1.61,1.63,1.55,1.42,1.73,1.76,2.44,-,-,-,-,-,-,-
9,P/FCF Ratio,261.94,250.22,-,-8.87,-10.59,-,-,70.46,69.01,-,-,-71.96,-72.54,-,-,-,-,-,-,-
10,P/OCF Ratio,70.98,70.98,-,-694.90,-472.81,-,29.55,32.25,31.53,-,95.70,124.50,1405.07,-,-,-,-,-,-,-
11,EV/Sales Ratio,2.26,1.97,1.45,1.49,2.39,2.25,2.14,2.40,2.14,1.69,2.71,4.93,6.56,-,-,-,-,-,-,-
12,EV/EBITDA Ratio,20.56,18.69,-,19.53,-,21.11,16.38,17.12,13.47,9.40,16.05,23.26,28.79,-,-,-,-,-,-,-
