,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021
,Period Ending,"Mar '25 Mar 12, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021"
0,Market Capitalization,34789,38647,34789,36029,37958,39956,42504,47120,-,-,-,-,-
1,Market Cap Growth,-3.28%,-3.28%,-18.15%,-23.54%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,38655,42394,35850,36033,37962,39390,41236,49755,-,-,-,-,-
3,Last Close Price,5.05,5.61,5.05,5.03,5.30,5.58,5.74,6.37,-,-,-,-,-
4,PE Ratio,19.55,21.93,18.59,18.18,15.84,18.23,16.38,16.64,-,-,-,-,-
5,PS Ratio,2.49,2.80,2.79,3.02,3.16,3.15,3.02,3.16,-,-,-,-,-
6,PB Ratio,2.19,2.16,1.99,1.97,2.14,2.30,2.52,2.68,-,-,-,-,-
7,P/TBV Ratio,4.07,4.07,3.82,3.61,4.01,4.44,4.96,5.05,-,-,-,-,-
8,P/FCF Ratio,-,-,-,-,-,268.93,-,-,-,-,-,-,-
9,P/OCF Ratio,12.58,12.58,9.64,11.55,11.56,10.72,11.70,10.12,-,-,-,-,-
10,EV/Sales Ratio,2.80,3.07,2.87,3.02,3.16,3.10,2.93,3.33,-,-,-,-,-
11,EV/EBITDA Ratio,9.03,10.23,8.87,8.80,8.33,8.99,8.36,9.24,-,-,-,-,-
12,EV/EBIT Ratio,14.01,15.37,13.28,12.85,11.48,12.41,11.06,11.84,-,-,-,-,-
13,EV/FCF Ratio,-22.14,-,-,-,-,265.12,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.45,0.45,0.47,0.38,0.41,0.39,0.42,0.45,0.58,-,0.53,0.77,0.79
15,Debt / EBITDA Ratio,1.87,1.94,1.85,1.70,1.83,1.84,1.52,1.30,2.20,-,0.92,1.22,1.14
16,Debt / FCF Ratio,-,-,-,-,-,46.01,-,-,-,-,-,3.75,3.99
17,Asset Turnover,0.38,0.36,0.34,0.37,0.26,0.32,0.39,-,-,-,-,-,
18,Inventory Turnover,16.72,16.15,12.88,12.28,14.47,9.83,9.57,9.62,-,-,-,-,-
19,Quick Ratio,0.94,0.94,0.94,1.12,1.00,1.31,1.24,1.44,0.81,-,0.77,-,0.81
20,Current Ratio,1.11,1.11,1.15,1.32,1.27,1.47,1.36,1.59,1.04,-,0.88,-,0.88
21,Return on Equity (ROE),8.55%,12.72%,10.98%,12.57%,11.12%,15.85%,24.34%,-,-,36.17%,-,-,
22,Return on Assets (ROA),4.39%,4.82%,4.52%,4.33%,4.30%,5.76%,8.67%,-,-,-,-,-,
23,Return on Capital (ROIC),6.63%,7.31%,6.85%,6.48%,6.49%,8.62%,13.22%,-,-,19.37%,-,-,
24,Return on Capital Employed (ROCE),9.63%,9.63%,9.62%,9.77%,11.92%,11.69%,14.26%,15.42%,19.74%,-,20.08%,-,6.84%
25,Earnings Yield,5.07%,4.56%,5.38%,5.50%,6.31%,5.48%,6.10%,6.01%,-,-,-,-,-
26,FCF Yield,-5.02%,-4.52%,-2.92%,-2.20%,-2.06%,0.37%,0.35%,0.31%,-,-,-,-,-
27,Dividend Yield,4.15%,-,-,-,7.74%,-,-,3.14%,-,-,-,-,-
28,Payout Ratio,93.17%,22.68%,297.62%,13.45%,5.31%,336.61%,4.61%,4.36%,14.12%,5.79%,9.69%,7.48%,12.15%
29,Buyback Yield / Dilution,-3.54%,-7.68%,15.83%,-20.82%,-4.37%,-8.60%,-19.63%,1.18%,4.32%,-,-,-,-
30,Total Shareholder Return,0.70%,-7.68%,15.83%,-20.82%,3.37%,-8.60%,-19.63%,4.32%,4.32%,-,-,-,-
