,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021"
0,Cash & Equivalents,6162,6400,7845,7876,8696,9402,10806,6283,-,4856,-,6440
1,Cash & Short-Term Investments,6162,6400,7845,7876,8696,9402,10806,6283,-,4856,6440,6440
2,Cash Growth,-29.14%,-31.93%,-27.40%,25.37%,-,93.60%,67.79%,-2.45%,-,-,-,-
3,Accounts Receivable,3059,2992,2793,2336,1048,1328,1178,2229,-,1788,-,3313
4,Other Receivables,700.22,686.02,447.22,-49.76,1711,2200,2317,-47.09,-,2198,-,934.17
5,Receivables,3759,3678,3240,2286,2759,3528,3495,2181,-,3986,-,4247
6,Inventory,596.15,660.39,710.51,705.36,489.8,613.74,723.35,736.85,-,575.59,-,409.05
7,Prepaid Expenses,-,64.5,-,57.53,-,7.03,-,46.98,-,3.71,-,-
8,Other Current Assets,1123,1461,1286,1962,938.64,687.37,697.26,1578,-,670.6,-,465.79
9,Total Current Assets,11640,12264,13082,12887,12883,14238,15722,10825,-,10092,-,11562
10,"Property, Plant & Equipment",19008,17949,16901,16408,14008,12728,11760,11479,-,10503,-,10082
11,Long-Term Investments,422.08,422.1,428.94,419.68,411.47,414.36,411.34,408.41,-,421.09,-,445.54
12,Other Intangible Assets,6391,6409,6425,6456,6483,6508,6496,6530,-,6561,-,6632
13,Long-Term Deferred Tax Assets,849.13,851.49,860.54,851.81,882.27,870.23,886.37,920.01,-,976.93,-,940.01
14,Long-Term Deferred Charges,485.18,493.47,501.68,509.5,516.72,522.38,534.42,538.7,-,552.8,-,469.26
15,Other Long-Term Assets,389.06,354.81,399.45,359.43,704.22,1320,1336,1071,-,998.73,-,604.53
16,Total Assets,39185,38743,38599,37892,35890,36601,37146,31772,-,30106,-,30734
17,Accounts Payable,4867,4859,5055,4459,3186,3221,2927,2982,-,3464,-,2801
18,Accrued Expenses,338.48,541.99,215.48,650.77,258.13,423.82,256.34,740.9,-,564.98,-,297.84
19,Short-Term Debt,2217,2200,1826,2081,2286,2829,3804,3953,-,4351,-,5635
20,Current Portion of Long-Term Debt,-,323.83,-,406.83,-,196.13,-,190.04,-,-,-,731.7
21,Current Portion of Leases,-,16.85,-,17.05,-,17.02,-,16.05,-,-,-,-
22,Current Income Taxes Payable,361.31,116.57,296.21,241.5,296.61,175.6,502.47,287.78,-,285.29,-,628.75
23,Current Unearned Revenue,717.99,719.59,422.08,458.48,940.7,598.61,745.52,654.29,-,757.53,-,529.59
24,Other Current Liabilities,2022,1909,2091,1829,1778,2996,1669,1604,-,2097,-,2559
25,Total Current Liabilities,10524,10687,9906,10143,8745,10458,9904,10428,-,11519,-,13183
26,Long-Term Debt,5692,5575,5148,4792,4504,3960,3957,3090,-,1576,-,1128
27,Long-Term Leases,85.11,75.46,50.4,47.58,46.59,47.96,51.64,39.54,-,37.44,-,46.12
28,Long-Term Unearned Revenue,52.71,50.36,49.42,50.88,36.82,31.64,31.7,32.77,-,34.6,-,38.18
29,Long-Term Deferred Tax Liabilities,297.81,296.67,297.79,287.79,295.18,298.34,303.21,331.89,-,292.02,-,300.58
30,Other Long-Term Liabilities,4078,4032,4305,4266,4287,4272,4672,4625,-,4605,-,6523
31,Total Liabilities,21260,21266,20314,20154,18535,19730,19591,19225,-,18748,-,21219
32,Common Stock,6889,6889,6889,6889,6889,6889,6889,6200,-,6200,-,6200
33,Additional Paid-In Capital,2229,2229,-,-,2226,2226,2226,-,-,-,-,-1089
34,Retained Earnings,6531,6224,7171,6726,6216,5799,6568,5707,-,4582,-,2990
35,Comprehensive Income & Other,241.09,181.02,2343,2311,159.92,169.93,147.61,-990.1,-,-968.72,-,93.03
36,Total Common Equity,15890,15522,16403,15925,15490,15084,15830,10917,-,9813,8194,8194
37,Minority Interest,2035,1955,1882,1813,1864,1787,1725,1630,-,1545,-,1322
38,Shareholders' Equity,17925,17478,18285,17738,17354,16871,17555,12547,-,11358,9516,9516
39,Total Liabilities & Equity,39185,38743,38599,37892,35890,36601,37146,31772,-,30106,-,30734
40,Total Debt,7993,8192,7024,7345,6836,7049,7813,7288,-,5964,7343,7541
41,Net Cash (Debt),-1831,-1792,820.8,531.42,1859,2353,2994,-1005,-,-1108,-903.11,-1101
42,Net Cash Growth,-,-,-72.58%,-,-,-,-,-,-,-,-,-
43,Net Cash Per Share,-0.25,-0.30,0.11,0.08,0.27,0.33,0.49,-0.16,-,-0.18,-0.15,-0.17
44,Filing Date Shares Outstanding,6889,6889,6889,6889,6889,6889,6889,6889,6306,6200,6218,6430
45,Total Common Shares Outstanding,6889,6889,6889,6889,6889,6889,6889,6200,6306,6200,6218,6430
46,Working Capital,1117,1577,3176,2744,4138,3780,5818,397.27,-,-1427,-,-1621
47,Book Value Per Share,2.31,2.25,2.38,2.31,2.25,2.19,2.30,1.76,-,1.58,1.31,1.27
48,Tangible Book Value,9499,9114,9977,9469,9007,8576,9335,4387,-,3252,1562,1562
49,Tangible Book Value Per Share,1.38,1.32,1.45,1.37,1.31,1.24,1.36,0.71,-,0.52,0.25,0.24
50,Buildings,-,6522,-,6491,-,5610,-,5583,-,5280,-,-
51,Machinery,-,15793,-,14881,-,11613,-,11431,-,11107,-,-
52,Construction In Progress,-,4529,-,3340,-,3355,-,1853,-,1413,-,-
