,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021"
0,Operating Revenue,3906,3235,3281,3175,2456,2820,3361,3658,3979,3532,3574,3339
1,Other Revenue,-211.2,211.2,-,216.68,-104.19,104.19,-,396.36,-254.94,254.94,-,-
2,Revenue,3695,3446,3281,3392,2352,2924,3361,4054,3724,3787,3574,3339
3,Revenue Growth (YoY),57.09%,17.87%,-2.37%,-16.34%,-36.84%,-22.80%,-5.97%,21.43%,-,-,-,-
4,Cost of Revenue,2536,2208,2173,2162,1356,1600,1755,2976,2101,2021,1953,1632
5,Gross Profit,1159,1238,1109,1230,995.69,1324,1606,1079,1624,1766,1621,1707
6,"Selling, General & Admin",256.18,243.78,244.2,280.02,173.94,231.03,256.74,343.35,236.82,213.69,213.05,324.43
7,Research & Development,97.62,92,44.95,73.67,100.15,132.01,17.26,48.37,38.96,71.05,34.12,74.49
8,Other Operating Expenses,170.3,153.35,127.6,224.73,101.49,115.75,130.34,188.4,163.4,163.17,159.96,101.25
9,Operating Expenses,475,492.88,418.06,591.69,371.57,473.77,410.98,574.69,445.23,441.75,413.49,506.3
10,Operating Income,684.02,745.33,690.8,638.71,624.12,850.13,1195,504.02,1178,1324,1208,1200
11,Interest Expense,-29.37,-17.25,-75.04,-61.57,-4.52,-46.09,-36.84,-70.55,-28.36,-84.52,-57.15,-40.6
12,Interest & Investment Income,28.88,26.94,39.13,61.56,27.85,43.87,22.7,29.87,16.75,33.86,17.95,185.43
13,Earnings From Equity Investments,-,-9.09,9.09,-,-,-2.82,2.82,-,24.56,-17.13,-7.44,-
14,Currency Exchange Gain (Loss),-0.01,0.01,-,0.01,-,-,-,-0.2,0.2,-0.2,-,-
15,Other Non Operating Income (Expenses),-107.58,-44.18,-11.09,17.77,-72.53,-22.99,-42.06,24.35,-36.41,-45.37,-72.89,-326.54
