,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,8062,6281,4736,6242,7499,7231,8475,7399,8600,8629,5588,4229,6644,4083,4097,-,-,-,-,-
1,Market Cap Growth,-13.14%,-13.14%,-44.12%,-15.64%,-12.80%,-16.20%,51.66%,74.95%,29.45%,111.36%,36.41%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,7681,5979,4455,5897,7154,6771,7881,6675,7876,7897,4716,3268,5682,3066,4021,-,-,-,-,-
3,Last Close Price,47.59,37.09,27.96,36.30,43.61,42.05,49.28,42.63,49.55,49.72,32.20,24.10,37.85,23.26,23.11,-,-,-,-,-
4,PE Ratio,73.03,56.37,34.47,39.22,41.12,39.55,57.82,54.73,67.29,77.51,54.30,37.70,55.39,30.80,29.19,-,-,-,-,-
5,PS Ratio,4.30,3.32,2.44,3.38,4.06,4.35,6.46,6.77,8.54,9.55,6.63,5.00,8.01,5.16,5.39,-,-,-,-,-
6,PB Ratio,4.51,3.53,2.75,3.51,4.25,4.23,5.19,4.45,5.27,5.44,3.61,2.69,4.28,2.67,2.66,-,-,-,-,-
7,P/TBV Ratio,3.86,3.86,3.02,3.84,4.65,4.64,5.73,4.91,5.83,6.04,3.83,2.85,4.54,2.83,2.82,-,-,-,-,-
8,P/FCF Ratio,51.46,40.09,-66.41,-,-41.76,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,P/OCF Ratio,24.86,24.86,54.46,-,240.66,-,843.02,-,287.77,216.88,1030.08,-,117.22,44.86,38.73,-,-,-,-,-
10,EV/Sales Ratio,4.06,3.16,2.30,3.19,3.88,4.07,6.01,6.11,7.82,8.74,5.60,3.86,6.85,3.88,5.29,-,-,-,-,-
11,EV/EBITDA Ratio,50.18,40.98,24.98,29.95,33.25,33.33,50.14,48.45,64.67,71.54,48.82,30.64,45.97,20.72,24.56,-,-,-,-,-
12,EV/EBIT Ratio,70.35,54.76,30.97,35.80,38.62,38.60,59.12,57.28,75.42,81.52,56.22,33.29,49.01,21.73,25.58,-,-,-,-,-
13,EV/FCF Ratio,49.03,38.17,-62.47,-,-39.83,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,-,-,-,0.00
15,Debt / EBITDA Ratio,0.11,0.08,0.08,0.24,0.09,0.04,0.06,0.01,0.01,0.01,0.02,0.03,0.01,0.01,0.00,-,-,-,-,0.00
16,Debt / FCF Ratio,0.11,0.11,-0.14,-,-0.09,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
17,Asset Turnover,1.05,0.98,0.51,0.95,1.19,0.89,0.58,0.74,0.62,0.51,0.44,0.56,0.51,0.79,1.21,-,-,-,-,
18,Inventory Turnover,5.20,7.15,7.54,4.01,6.52,6.47,4.64,3.19,5.08,4.80,4.90,5.13,6.99,7.04,7.85,6.43,-,-,-,-
