,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,298.3,311.81,251.2,202.91,277.39,257.95,244.2,217.27,247.67,145.89,191.75,96.83,129.29,168.46,54.97,64.46,-,21.28,-
1,Trading Asset Securities,100.1,-,45.34,211.57,81.07,215.03,350.55,439.97,478.36,588.02,681.81,837.7,832.66,848.76,20.56,40.73,-,50.23,-
2,Cash & Short-Term Investments,398.41,311.81,296.55,414.48,358.46,472.98,594.75,657.24,726.03,733.91,873.56,934.53,961.96,1017,75.53,105.19,-,71.51,69.7
3,Cash Growth,11.14%,-34.08%,-50.14%,-36.94%,-50.63%,-35.55%,-31.92%,-29.67%,-24.53%,-27.85%,1056.61%,788.45%,-,1322.46%,8.36%,-,-,-,-
4,Accounts Receivable,744.64,798.69,805.37,800.25,796.55,548.54,390.92,388.94,349.24,308.49,321.74,286.59,266.38,245.8,229.53,210.91,-,185.23,-
5,Other Receivables,3.07,1.87,2.06,1.44,2.23,1.59,1.5,1.71,1.73,1.25,1.14,1.53,2.22,2.23,8.82,1.82,-,0.03,-
6,Receivables,747.71,800.56,807.43,801.69,798.78,550.13,392.42,390.65,350.98,309.75,322.88,288.12,268.6,248.03,238.35,212.73,-,185.26,-
7,Inventory,273.36,229.68,222.66,180.58,282.81,275.67,285.33,206.29,177.62,136.77,118.45,106.54,93.63,76.46,77.58,63.89,-,61.11,-
8,Other Current Assets,5.34,11.17,7.45,6.77,13.92,9.94,12.29,13.65,6.65,15.2,8.22,4.88,5.17,3.42,3.58,2.5,-,5.55,-
9,Total Current Assets,1425,1353,1334,1404,1454,1309,1285,1268,1261,1196,1323,1334,1329,1345,395.03,384.31,-,323.44,-
10,"Property, Plant & Equipment",640.26,633.48,638.02,611.91,554.06,509.2,441.18,428.15,340,293.27,278.19,268.72,218.16,197.51,137.85,111.16,-,69.83,-
11,Other Intangible Assets,148.02,149.86,150.75,151.91,153.62,154.99,156.13,157.6,158.18,88.56,87.09,88.05,83.96,84.58,50.34,50.67,-,51.52,-
12,Long-Term Deferred Tax Assets,6.14,3.63,3.47,3.84,8.47,6.27,4.47,4.3,3.14,2.81,2.76,2.87,2.71,2.38,2.13,1.88,-,1.68,-
13,Other Long-Term Assets,0.2,0.03,0.48,3.9,22.41,1.71,1.19,1.16,8.14,88.7,7.61,0.47,-,-,-,0.16,-,12.6,-
14,Total Assets,2219,2140,2127,2175,2193,1981,1888,1859,1771,1669,1699,1694,1634,1630,585.36,548.17,-,459.07,-
15,Accounts Payable,311.1,313.1,253.42,272.03,363.74,254.45,161.17,154.04,115.01,62.19,74.88,73.26,59.14,53.03,55.79,36.66,-,36.9,-
16,Accrued Expenses,45.08,45.93,24.9,61.03,37.16,36.38,19.02,35.69,24.74,18.46,12.41,28.53,19.48,14.98,10.81,25.44,-,13.58,-
17,Short-Term Debt,7.09,-,2.5,2.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
18,Current Portion of Leases,3.57,3.61,3.49,3.57,3.61,3.4,0.73,0.7,0.69,0.67,0.72,0.45,-,-,-,-,-,-,-
19,Current Income Taxes Payable,17.49,3.7,8.16,16.71,27.55,1.62,1.38,-,6.96,1.9,2.47,2.94,4.12,2.83,5.92,4.33,-,5.26,-
20,Current Unearned Revenue,10.48,8.74,10.1,12.39,6.85,7.35,10.14,8.83,12.11,11.98,10.09,11.79,9.84,7.45,8.08,5.56,-,4.07,-
21,Other Current Liabilities,2.85,2.77,3.12,3.72,2.51,8.03,2.53,2.67,2.2,2.17,1.78,2.66,1.93,1.7,1.5,1.61,-,0.7,-
22,Total Current Liabilities,397.65,377.86,305.7,371.95,441.42,311.24,194.98,201.93,161.72,97.37,102.34,119.63,94.51,79.99,82.09,73.59,-,60.52,-
23,Long-Term Leases,6.64,6.67,9.63,9.88,9.88,9.47,0.96,1.17,1.25,1.27,1.36,0.54,0.87,0.69,-,-,-,-,-
24,Long-Term Unearned Revenue,20.45,20.02,20.23,15.54,15.7,15.18,16.08,12.69,15.89,16.3,14.55,14.82,5.68,4.71,0.43,0.46,-,0.6,-
25,Long-Term Deferred Tax Liabilities,-,-,-,-,7.91,6.6,6.28,6.62,1.03,1.01,2.82,2.32,1.51,0.8,0.71,0.74,-,0.44,-
26,Other Long-Term Liabilities,17.57,16.22,14.67,14.61,7.07,5.64,5.06,4.97,4.45,4.2,4.15,4.24,4.3,3.65,3.33,3.21,-,2.42,-
27,Total Liabilities,442.31,420.77,350.23,411.97,481.98,348.13,223.36,227.38,184.33,120.15,125.22,141.56,106.87,89.83,86.56,78.01,-,63.97,-
28,Common Stock,168.48,168.48,168.48,168.48,168.48,168.48,93.6,93.6,93.6,93.6,52,52,52,52,39,39,-,39,-
29,Additional Paid-In Capital,1116,1107,1096,1088,1077,1072,1143,1139,1136,1136,1177,1177,1177,1177,185.88,185.88,-,185.88,-
30,Retained Earnings,492.52,444.64,511.98,506.85,465.35,391.5,427.71,399.35,357.41,319.81,344.5,323.54,298.08,310.5,273.94,245.19,-,170.16,-
31,Comprehensive Income & Other,0.22,-0.17,-0.13,0.25,0.08,0.38,-0.06,-0.12,-0.3,-0.29,-0.26,-0.21,-0.06,-0.03,-0.02,0.08,-,0.06,-
32,Shareholders' Equity,1777,1719,1777,1763,1711,1633,1664,1632,1586,1549,1574,1553,1527,1540,498.8,470.16,-,395.1,345.34
