,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,582.45,516.67,274.43,506.07,626.46,427.15,272.89,330,271.41,210.71,187.75,227.45,210.09,214.56,170.86,190.03,178.73,167.24,71.28
1,Other Revenue,-8.38,8.38,-,12.56,-5.09,5.09,-,7.7,-2.99,2.99,-,6.48,-2.99,2.99,-,4.99,-2,2,-
2,Revenue,574.08,525.05,274.43,518.63,621.37,432.25,272.89,337.7,268.42,213.7,187.75,233.93,207.1,217.55,170.86,195.03,176.73,169.25,71.28
3,Revenue Growth (YoY),-7.61%,21.47%,0.57%,53.58%,131.49%,102.27%,45.34%,44.36%,29.61%,-1.77%,9.89%,19.95%,17.18%,28.54%,139.68%,-,-,-,-
4,Cost of Revenue,449.42,426.51,202.18,377.44,451.81,325.09,196.04,243.87,188.57,156.39,144.26,174.83,149.68,151.08,113.7,136.36,108.75,104.78,43.99
5,Gross Profit,124.65,98.53,72.25,141.19,169.56,107.16,76.85,93.83,79.85,57.31,43.49,59.1,57.42,66.47,57.16,58.66,67.98,64.47,27.29
6,"Selling, General & Admin",53.15,52.26,47.42,74.92,48.3,38.07,35.13,37.61,27.63,22.2,20.73,26.62,22.28,21.1,16.02,7.43,17.72,15.17,10.73
7,Research & Development,26.05,24.35,21.55,28.31,23.48,19.67,17.32,20.58,12.46,9.25,7.48,9.08,7.75,6.75,5.87,7.04,5.55,4.48,2.82
8,Other Operating Expenses,-1.36,0.55,0.56,1.82,2.62,1.66,-2.93,5.31,-0.29,0.27,0.06,4.97,-0.2,-1.06,-0.04,2.43,0.91,0.29,0.61
