,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,142526,112001,60549,60264,69835,82793,75069,95957,63036,29484,40283,Upgrade
1,Market Cap Growth,85.85%,85.85%,-13.30%,-27.21%,-6.97%,-13.72%,19.09%,225.46%,56.48%,-37.57%,4.35%,Upgrade
2,Enterprise Value,182843,162849,111261,110185,96872,110186,104635,137601,110056,73878,103142,Upgrade
3,Last Close Price,15.06,11.28,5.95,5.65,6.45,7.28,6.34,7.67,4.96,2.34,2.91,Upgrade
4,PE Ratio,5.99,5.74,4.80,16.84,7.10,4.48,3.80,5.05,5.06,4.17,5.91,Upgrade
5,Forward PE,6.26,6.37,4.51,4.91,4.28,3.16,2.97,4.51,5.57,6.30,5.18,Upgrade
6,PS Ratio,0.86,0.74,0.41,0.43,0.47,0.54,0.53,0.81,0.62,0.32,0.43,Upgrade
7,PB Ratio,1.24,0.95,0.52,0.57,0.64,0.72,0.66,0.92,0.69,0.40,0.55,Upgrade
8,P/TBV Ratio,1.05,1.05,0.60,0.65,0.73,0.83,0.76,1.04,0.75,0.43,0.58,Upgrade
9,P/FCF Ratio,5.02,5.02,3.36,-14.41,-,4.10,2.70,3.44,4.24,1.40,3.18,Upgrade
10,P/OCF Ratio,3.52,3.52,2.45,11.10,-,3.10,2.13,2.75,2.99,1.15,2.48,Upgrade
11,PEG Ratio,0.27,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,Upgrade
12,EV/Sales Ratio,1.10,1.07,0.76,0.79,0.65,0.72,0.74,1.16,1.08,0.81,1.10,Upgrade
13,EV/EBITDA Ratio,4.06,4.43,4.57,10.12,4.66,3.25,2.78,3.83,4.30,3.73,4.72,Upgrade
14,EV/EBIT Ratio,4.86,5.54,6.68,36.57,7.37,4.14,3.53,4.89,6.23,6.14,7.48,Upgrade
15,EV/FCF Ratio,7.30,7.30,6.17,-26.34,-,5.46,3.76,4.93,7.41,3.50,8.15,Upgrade
16,Debt / Equity Ratio,0.63,0.63,0.60,0.65,0.62,0.62,0.65,0.77,0.98,1.22,1.19,Upgrade
17,Debt / FCF Ratio,3.35,3.35,3.90,-16.64,-,3.52,2.67,2.87,5.99,4.20,6.96,Upgrade
18,Return on Capital Employed (ROCE),19.93%,19.93%,11.98%,2.40%,10.16%,18.23%,19.25%,19.27%,13.74%,11.47%,10.79%,Upgrade
19,Earnings Yield,16.70%,17.42%,20.85%,5.94%,14.09%,22.32%,26.28%,19.81%,19.77%,24.00%,16.93%,Upgrade
20,FCF Yield,19.91%,19.91%,29.76%,-6.94%,-1.99%,24.36%,37.04%,29.10%,23.57%,71.56%,31.42%,Upgrade
21,Dividend Yield,13.55%,7.72%,6.89%,4.06%,7.91%,13.37%,16.56%,12.30%,13.09%,6.40%,-,Upgrade
22,Buyback Yield / Dilution,-4.01%,-,-8.06%,-2.69%,8.96%,-2.31%,-19.38%,-2.02%,5.20%,-2.44%,-1.54%,Upgrade
23,Total Shareholder Return,9.54%,7.72%,-1.17%,1.37%,16.87%,11.06%,-2.83%,10.28%,18.30%,3.97%,-1.54%,Upgrade
